No,Text_Review,Aspek,Label_IndoBERT,Label_ClaudeSonnet,Label_Narasumber
13,selalu puas dengan kebersihan keramahtamahan kompas gramedia group ini,Pelayanan,Positif,Positif,Positif
14,"hotel nya bersih, lokasi top diatas mall.",Pelayanan,Positif,Positif,Tidak ada
15,"tidak ada pengawasan di area kolam renang, staf tidak jujur ​​tentang ketersediaan kamar, tidak mengkomunikasikan hak istimewa, operator jarang mengangkat panggilan, lift sangat kecil. lobi dan area parkir sangat tidak nyaman.",Lokasi,Positif,Positif,Tidak ada
16,bersenang-senang menginap di sini,Kenyamanan,Negatif,Negatif,Tidak ada
17,melihat keluarga dan anak yang menyenangkan selama liburan di hotel santika bogor,Lokasi,Positif,Positif,Tidak ada
18,bagus dekat dengan mall,Pelayanan,Positif,Positif,Tidak ada
19,"service memuaskan, masakan enak, staf ramah dan baik",Pelayanan,Positif,Positif,Positif
20,"terbaik untuk kenyamanan, keamanan, lokasi yang sangat strategis dri transportasi umum serta pusat perbelanjaan.",Kenyamanan,Positif,Positif,Positif
21,variasi untuk makanan pagi nya sedikit,Kenyamanan,Positif,Positif,Tidak ada
22,sangat menyenangkan dan akan kembali lagi untuk liburan thn depan,Lokasi,Positif,Positif,Tidak ada
23,"kami menginap sayangnya hanya satu hari. anak2 senang bermain di kolam renang, dan jalan2 di mall malam hari",Makanan,Netral,Netral,Tidak ada
24,"lokasi ya berada di dalam botani juction, memudahkan untuk mencari makan dan nerbelanja, dekat dengan pusat kota, lokasi sangat menyenangkan dan kamar sangat bersih dan besar.",Fasilitas,Positif,Positif,Tidak ada
25,"saya menginap di kamar superior di hotel santika cirebon untuk kedua kalinya karena hotel ini cukup nyaman untuk bermalam. kamar tidur dan kamar mandi cukup luas dan dilengkapi dengan fasilitas yang memadai. salah satu nilai tambah yang luar biasa dari hotel ini adalah pembersihan kendaraan gratis, yang merupakan sentuhan yang bagus. menu sahurnya cukup lengkap dan enak. stafnya ramah, dan proses check-in dan check-out cepat dan efisien. secara keseluruhan, menginap di hotel ini adalah pengalaman yang sangat menyenangkan.",Harga,Positif,Positif,Positif
26,"kamar yang nyaman bersih. namun furniturnya agak kumuh, diperlukan peningkatan / perbaikan. secara keseluruhan, kami menikmati masa menginap kami. direkomendasikan.",Pelayanan,Netral,Netral,Tidak ada
27,tidak ada yang kurang dari luar biasa. saya datang ke tempat ini bersama istri dan bayi saya yang berumur 4 bulan. saya singgah di cirebon selama perjalanan ke semarang. saya mendapatkan istirahat yang sangat baik di cirebon dan saya sangat puas dengan pilihan saya menginap di hotel santika cirebon.,Kenyamanan,Positif,Positif,Tidak ada
28,lokasi yang strategis namun sayangnya disebelah hotel adalah gedung pemerintahan dan pada saat sarapan pagi di hari jumat terganggu dengan suara musik senam massal. namun menu makanan cukup baik dengan menu tradisional nasi yang dibungkus dengan daun jati.,Makanan,Netral,Netral,Netral
29,"cukup bagus, variasi makanan paginya lumayan walaupun tidak banyak tapi televisi yang ada di kamar kecil sekali untuk harga yang lumayan mahal",Pelayanan,Netral,Netral,Tidak ada
30,"kamar bagus, , kamar mandi luas, , view mengahadap ke swiming pool. bagus abis",Kebersihan,Positif,Positif,Tidak ada
31,"kami tinggal di sini dua malam. taksi sulit menemukan pintu masuk hotel. lokasinya strategis di sebelah pusat perbelanjaan kecil dan ada toko serba ada di dekatnya. tata letak ruangannya aneh. air conditioner di ruang tunggu tetapi tidak di kamar tidur, jadi kami merasa tidur di cuaca panas cukup sulit. air conditioner bermasalah dan bocor. sofa di ruang santai perlu diganti karena bernoda berat dan tidak nyaman untuk diduduki. kamar mandinya tidak sebersih yang kami inginkan, tapi baik. sarapannya enak dengan makanan lokal yang sangat kami nikmati",Kenyamanan,Netral,Netral,Netral
32,"seperti yang saya katakan sebelumnya, salah satu hotel terbaik di kota depok. jangan pernah meragukannya.",Pelayanan,Netral,Netral,Tidak ada
33,"bagaimanapun, sarapannya luar biasa. anda bisa menikmati hidangan dari seluruh indonesia yang berubah setiap harinya. stafnya baik dan menyenangkan. ini adalah kunjungan saya yang kedua. saya berencana untuk tinggal di sana lagi lain kali. sayangnya, ini terkait dengan handuk. itu buruk. mempertimbangkan harganya, saya rasa saya tidak punya pilihan selain berkompromi.",Kebersihan,Tidak ada,Tidak ada,Negatif
34,"lokasi dan layanan staf keduanya bagus. tapi bau kamar mandinya agak menyengat jadi saya tutup pintu kamar mandinya. meski kecil, kecoa juga muncul.",Kenyamanan,Negatif,Negatif,Negatif
35,"staf baik sangat membantu dan yang jelas fasilitasnya bagus, makanan enak",Pelayanan,Positif,Positif,Positif
36,"hotel sekelas santika msh kurang dalam fasilitas kamar, pelayanan bagus, untuk breakfast enak",Kenyamanan,Positif,Positif,Netral
37,"hotel yang bagus dengan kolam renang, makanan lezat",Makanan,Positif,Positif,Positif
38,pemeliharaan perlu banyak ditingkatkan.,Kenyamanan,Tidak ada,Tidak ada,Tidak ada
39,bagus kalau nginap di hotel santika via agoda,Makanan,Positif,Positif,Tidak ada
40,nyaman untuk staycation keluarga,Kenyamanan,Tidak ada,Tidak ada,Tidak ada
41,"harga pas, lokasi bagus, kamar bersih dan luas",Makanan,Positif,Positif,Tidak ada
42,"proses check-in cukup baik, termasuk handling travel bag. petugas hotel cukup ramah. minus: - lift (kapasitas 1500kg) sangat lambat, dan sering muncul peringatan ""overload"" walaupun cuma berisi 4 orang dewasa. - bangunan yang relatif baru, masih sering tercium aroma cat.",Kenyamanan,Positif,Positif,Tidak ada
43,staf nya baik semua. tambhin menu nya biar lebih byk pilihan. 2 malam disini. menyenangkan. cuma sapet kamar ujung. kalau malem seremm ajahh. krna lorkng kamar nya open space. bukan sprti hotel2 saat ini. old nya dapet. nyaman. anak2 suka kolam nya. kr a tidak langsung kena sina mataharilihat lebih sedikit,Kenyamanan,Positif,Positif,Positif
44,"kamarnya cozy, akses ke kota nya dekat sekali, pelayanannya excellent",Makanan,Negatif,Negatif,Tidak ada
45,"tempat dekat rs dan riau juction. pelayanan ramah dan bersahabat. kebersihan baik hotel terjangkau, pilihan terbaik.",Lokasi,Positif,Positif,Positif
46,sinyal handphone baik. hidangan gurih yang nikmat.,Pelayanan,Positif,Positif,Tidak ada
47,"hotel bersih, pelayanan ramah.",Lokasi,Positif,Positif,Tidak ada
48,hotel nya bagus deket kemanah2 hotel nya bersih makanan nya enak,Makanan,Tidak ada,Tidak ada,Positif
49,"hotelnya nyaman kamarnya luas, bersih, lokasinya baik ada diantara mall jadi kalau mau beli makan dll gampang, sarapannya enak, pilihannya banyak. terima kasih santika bandung",Kebersihan,Positif,Positif,Positif
50,"area yang nyaman. harga fantastis, pengalaman tak terlupakan. ada pilihan restoran di dalam hotel. staf yang luar biasa.",Fasilitas,Netral,Netral,Tidak ada
51,tempat tidur anak nyaman. fasilitas up-to-date. suasana tropis di tepi kolam. resepsionis yang ramah dan sigap. menyediakan layanan shuttle ke pusat kota. menyediakan layanan shuttle ke pusat kota.,Fasilitas,Positif,Positif,Tidak ada
52,"lokasinya baik, namun hotel sudah terlalu usang, makanannya tidak enak",Pelayanan,Positif,Positif,Tidak ada
53,"kamarnya bagus sangat bersih, segar, dan nyaman. taman yang terawat baik. ekonomis namun eksklusif.",Makanan,Positif,Positif,Tidak ada
54,staf ramah anak. fasilitas mewah. staf yang ramah anak dan tulus.,Kebersihan,Positif,Positif,Tidak ada
55,parkir dengan pencahayaan yang bagus. kebersihan tidak tertandingi.,Kenyamanan,Positif,Positif,Tidak ada
56,"tipe kamar family nya asik. ada ruang tamu. kamar mandi luar. sayangnya agak sempit. tapi fasilitas baik. kamar bersih, sprei kasur juga bersih. breakfastnya standart.",Kenyamanan,Negatif,Negatif,Tidak ada
57,ini mah sudah jelas bagus n ya,Kenyamanan,Tidak ada,Tidak ada,Tidak ada
58,strategis dan di atas mall,Pelayanan,Positif,Positif,Tidak ada
59,lounge nyaman banget. pelayan yang responsif dan ahli di bidangnya.,Kenyamanan,Positif,Positif,Positif
60,"waktu cek in tidak bisa lebih maju 1 jam alasan kamar full itu aja yang disayangkan, so far bagus semua",Kenyamanan,Tidak ada,Tidak ada,Positif
61,"penginapan budget. dulu hampir setipa bulan pasti sempetin staycation disini. tapi sedih karna menu pizzanya gaada, padahal itu beneran best seller banget menurut ku. kembalikan menu pizzanya yaa ehehe",Kenyamanan,Positif,Positif,Tidak ada
62,"baik, nyaman, fasilitasnya lengkap",Kebersihan,Positif,Positif,Tidak ada
63,"sedikit masukan ajh untuk toilet kamar nya bau gituh, tapi untuk keseluruhan sudah baik banget. bersih dan layanannya juga bagus.",Lokasi,Positif,Positif,Tidak ada
64,lumayan cuma dapat kamar yang tidak bisa lihat view luar. ketutup tembok,Kebersihan,Negatif,Negatif,Tidak ada
65,kebersihan di seluruh area hotel.,Lokasi,Positif,Positif,Tidak ada
66,"jadi satu dengan mall dan masjid dekat, bagus",Kenyamanan,Negatif,Negatif,Tidak ada
67,"suka bermalam di hotel santika bogor, tidak berisik. suasana hotel yang sangat menyenangkan dan pelayanan yang memuaskan dan petugas ramah"". jadi suka tidur di hotel ini. semua fasilitas baik banget deh. makanannyapun enak""lihat lebih sedikit",Pelayanan,Tidak ada,Tidak ada,Positif
68,menyajikan hidangan khas daerah. keamanan parkir terbaik. hemat biaya.,Kebersihan,Positif,Positif,Tidak ada
69,hotel yang pas buat keluarga kolam renang nya enak banget buat anak2. lokasinya pas tengah kota deket mall. recomended deh,Fasilitas,Tidak ada,Tidak ada,Netral
70,"jika anda mau pesan kamar pastikan contoh gambar kamarnya. kalau anda hanya lihat di profil bisa kecewa, kecewa dan kecewa. tidak sesuai yang kita mau. setelah check-in baru tahu deh. dalamnya ternyata",Pelayanan,Positif,Positif,Tidak ada
71,"officernya ramah, makanannya selalu enak",Kenyamanan,Negatif,Negatif,Tidak ada
72,"lokasi strategis, menu breakfast cukup variasi, kamar nyaman and petugas ramah. sepadan dengan harganya. sayangnya wi-fi tidak berfungsi baik.",Pelayanan,Positif,Positif,Positif
73,"hotel bagus, pelayanan memuaskan, sarapan enak. anak2 puas berenang, dan mobil dicuci. sangat berkesan",Pelayanan,Positif,Positif,Positif
74,lokasi strategis di tengah kota bandung,Lokasi,Positif,Positif,Positif
75,"kecuali makanannya, semua baik dan bagus",Lokasi,Positif,Positif,Tidak ada
76,"secara keseluruhan, pengalaman menginap cukup baik. namun, hotel ini sudah tua dan perlu direnovasi. keunggulan hotel ini adalah lokasinya yang strategis, dengan supermarket dan restoran tepat di depannya.",Makanan,Positif,Positif,Positif
77,ramah simpel dekat kemana mana,Pelayanan,Positif,Positif,Positif
78,"sudah beberapa kali menginap di santika hotel bogor. sejauh ini kemudahan akses saat cek in dengan pelayanan staf yang ramah, serta koneksi ke mal untuk pemenuhan keperluan dan kebutuhan selama menginap. keramahan staf dan berkomunikasi dengan baik. semoga bisa terus dipertahankan dan ditingkatkan. terima kasih atas pelayanan yang baik ini.",Kenyamanan,Negatif,Negatif,Tidak ada
79,"semua orang ramah. kamarnya juga luas. dekat ke mana-mana. sangat mudah untuk pergi ke mal. meskipun kami menunggu cukup lama untuk check in, mereka berusaha memberi kami satu kamar untuk beristirahat.",Lokasi,Positif,Positif,Tidak ada
80,"di ruangan kamar, berasa banyak debu, ngeres, badan saya gatel-gatel setiap bangun tidur, tapi so far baik yang lain. tingkatkan ya!",Kenyamanan,Negatif,Negatif,Netral
81,"semuanya ramah dan sangat membantu. buat yang akan menginap ke sini langsung aja masuk parkiran botani (depan convention hall). free parkir dengan stempel hotel. lokasi strategis, ke mall bisa punya akses langsung lewat lantai basement. bagi orang jakarta yang ingin pulang, bisa langsung akses toll jagorawi saat keluar parkir. makanan lumayan variatif, tersedia kolam renang buat anak. pagi-pagi bisa olahraga keliling kebun raya bogor.",Fasilitas,Positif,Positif,Positif
82,"alhamdulillah staffnya ramah, kalau ada kesempatan staycation lagi saya akan kesini lagi. makanan enak sangat bervariasi.",Pelayanan,Tidak ada,Tidak ada,Positif
83,secara keseluruhan seperti biasa memenuhi ekspektasi. mungkin sedikit masukan untuk tayangan televisinya di review kembali karena pas di kamar saya kok tampilannya tidak jernih dan sepertinya tidak ada televisi kabel.,Kenyamanan,Negatif,Tidak ada,Negatif
84,"pelayanannya sangat baik, lokasi nyambung sama mall botani square, sarapan enak dan banyak macam nya dan kebersihannya terjamin.",Kenyamanan,Positif,Positif,Positif
85,hotel yang lengkap dengan fasilitas dekat dengan mall jadi tidak perlu kemana-mana lagi untuk cari makan n hiburan untuk anak.,Pelayanan,Netral,Netral,Tidak ada
86,"check-in sangat cepat, untuk roomnya sendiri kamarnya cukup luas tapi sayang sekali sprei dan sarung bantalnya banyak bercak-bercak entah bekas kopi atau bekas nyaman darah. untuk kamar mandi lampunya kurang terang agak remang-remang gitu dan agak berbau.",Lokasi,Positif,Positif,Tidak ada
87,sarapan yang lebih baik diantarkan ke kamar,Kenyamanan,Positif,Positif,Positif
88,"hotelnya bersih, dekat dengan mal, jadi mau makan dan belanja gampang, pelayanannya ramah dan membantu, breakfast enak dan bervariasi, ada jamu juga, best pokoknya.",Pelayanan,Negatif,Negatif,Positif
89,sangat meyenangkan dekat mall botani di pusat kota bogor dekat damri ke bandara dekat terminal baranag siang pokoknya sangat strategis lokasinya.,Pelayanan,Positif,Positif,Tidak ada
90,"ramah, dekat kemana saja, sarapannya pun enak-enak.",Lokasi,Positif,Positif,Positif
91,tempat yang bagus dan pelayanan yang baik,Kenyamanan,Positif,Positif,Tidak ada
92,"tempat bersih dan nyaman, view bagus dan berada di pusat kota",Kenyamanan,Positif,Positif,Positif
93,suasana dan pelayanan yang baik,Pelayanan,Positif,Positif,Positif
94,selalu nginap di sini karena kolam renang dan akses nya,Kenyamanan,Negatif,Negatif,Tidak ada
95,satu-satunya masalah adalah nyamuk. tapi selain itu baik,Pelayanan,Positif,Positif,Tidak ada
96,"santika adalah hotel tua tetapi masih dikelola dengan baik. bersih, hangat, nyaman dan semua staf sangat membantu. kamar besar dan nyaman, makanan enak, parkir luas, ada kolam renang dan anak-anak saya senang bermain di kolam renang. akan memilih lagi ketika kita pergi ke cirebon lagi.",Kebersihan,Positif,Positif,Positif
97,breakfast nya dilayani tapi pelayannya kurang sigap. juga kurang komplit.,Makanan,Negatif,Negatif,Netral
98,"ini pertama kalinya nginep di sini, proses check in cepat, kamar bagus bersih, air conditioner dingin, televisi banyak channel dan lengkap isinya. sarapan enak-enak dan menjaga prokes. kolam renang menyenangkan buat anak-anak dan berair hangat. fasilitas hotel bagus, parkiran luas dan setiap pagi mobil kita dicuci bersih. minusnya cuma 1: wi-fi di dalam kamar buruk (414), tapi kalau ke depan lorong bagus signalnya. kapan-kapan mau kesini lagi, tentunya kalau dapat harga promo.",Pelayanan,Positif,Positif,Positif
99,"pertama kali ke sini tahun 2009. lalu saat natal 2019 kemarin kamai pun kembali menginap di sini. interiornya tidak berubah, masih sama seperti 10 tahun lalu, kamar rapi dan bersih, yang agak susah kuncinya, karena kuncinya masih semi-manual, tidak seperti kunci zaman sekarang yang tinggal tap kartu saja. pelayanannya juga masih baik. dan karena datangnya saat liburan natal, kami dapat compliment berupa cookies ginger bread man, definitely will come here again.",Kenyamanan,Positif,Positif,Positif
100,"kamar bersih, nyaman, pelayanan ramah, hanya 1 yang kurang tidak ada televisi cable kartun untuk anak-anak",Kenyamanan,Positif,Positif,Tidak ada
101,"hotelnya walaupun lama tapi sangat terawat, mulai dari pintu masuk, securitynya ramah sekali sampai lobby, welcome drink langsung tersedia. semua pegawainya ramah dan membantu, kamarnya bersih, cukup tenang, enak banget buat istirahat, kolam renangnya juga bersih, aman buat anak-anak, kaporitnya juga tidak terlalu menyengat. makanannya enak, apalagi paket barbeque malamnya bagus banget, harganya juga terjangkau. satu lagi, pas mau check-out masukin barang ke mobil, ternyata mobil sudah dicuciin. overall, bagus banget nih hotel. terima kasih management hotel santika, terimakasih traveloka.",Kenyamanan,Tidak ada,Tidak ada,Positif
102,"pelayanan khas santika, namun kondisi hotel yang sudah tua sehingga banyak hal yang kurang optimal. dan perlu diperbaharui.",Kebersihan,Positif,Positif,Tidak ada
103,"sangat memuaskan pelayanannya, kebersihan, kenyamanan dan makannya.",Kenyamanan,Positif,Positif,Positif
104,"saya pesan 2 kamar yang executive dan suite, yang kamar executive sempat masuk air dari jendela karena hujan tapi cepat diatasi setelah kami telepon room service, kamarnya yang suite bagus dan luas, cuma closet dan bathtubnya sudah lama tidak diganti warnanya kusam, hairdryernya juga copot pas mau digunakan, wifinya kenceng, sarapannya variatif, kolam renangnya luas, tapi sayang petugas penjaga kolam renangnya seperti kurang bersahabat, overall bagus.",Kenyamanan,Tidak ada,Tidak ada,Positif
105,cukup baik dan tidak mengecewakan,Kenyamanan,Negatif,Negatif,Tidak ada
106,sangat bagus dengan harga yang wajar. dengan dekorasi etnik dan unik.,Kenyamanan,Negatif,Negatif,Tidak ada
107,"secara keseluruhan baik, hanya tidak ada wi-fi (tergantung ketersediaan kamar), televisi masih lcd jadul bukan internet televisi (tergantung ketersediaan kamar), sama tidak ada hairdryer kebersihan baik, keramahan staf baik, sarapan enak dan sangat variatif",Kenyamanan,Tidak ada,Tidak ada,Netral
108,hotel terfavorit kalau lagi dinas ke depok,Kenyamanan,Negatif,Negatif,Tidak ada
109,"kamar agak terlalu kecil dari foto. tapi, bersenang-senang tinggal!",Kenyamanan,Negatif,Negatif,Tidak ada
110,"senang sekali menginap di hotel santika depok, pelayanan sangat ramah, kamar sangat nyaman, rapi dan bersih, dan breakfast menunya sangat enak dan memuaskan.",Makanan,Positif,Positif,Positif
111,overall sangat puas dengan pelayanan.,Pelayanan,Positif,Positif,Positif
112,layanan hebat dan sarapan enak.,Fasilitas,Negatif,Negatif,Tidak ada
113,"kamarnya bersih, nyaman, dan makanannya enak.",Fasilitas,Negatif,Negatif,Tidak ada
114,kenyamanan saat istirahat/tidur kurang karena terdengar suara yang berisik seperti suara mesin/pompa air) mungkin karena dapat kamar dekat area pompa/mesin.,Kenyamanan,Tidak ada,Tidak ada,Netral
115,kamarnya kecil type deluxe breakfast baik menunya kamar mandi agak bau selebihnya baik.,Pelayanan,Positif,Positif,Tidak ada
116,"kalau booked via online booking harus isi special request. saya hampir dikasih smoking room, untungnya tidak jadi.",Kenyamanan,Positif,Positif,Tidak ada
117,"bagus, sipp, bagus, tingkatkan terus",Lokasi,Positif,Positif,Tidak ada
118,"besar dan bersih, membuat saya merasa seperti di kamar saya sendiri",Pelayanan,Positif,Positif,Tidak ada
119,sudah baik tapi belum terlalu sesuai dengan tarif,Kenyamanan,Negatif,Negatif,Tidak ada
120,"kebersihan baik, kamarnya small, perlengkapan body masih kurang, cukur, bodylotion tidak ada, akses internet tidak normal, dengan tarif kamar yang ada harusnya sudah lengkap.",Kenyamanan,Tidak ada,Tidak ada,Negatif
121,pelayanan yang bagus dan lokasi yang bagus,Fasilitas,Negatif,Negatif,Tidak ada
122,banyak semut berjalan di teko listriknya. mungkin ada sisa gula atau minuman manis.,Kenyamanan,Negatif,Negatif,Tidak ada
123,walau semalam. ok semua. sedikit terganggu dengan adanya semut kecil keluar dari besek makan.,Kenyamanan,Positif,Positif,Tidak ada
124,"bagus service, banget lah pokoknya, pelayanan memuaskan, roomnya juga",Pelayanan,Positif,Positif,Positif
125,"kamarnya kecil, check-in baru bisa jam 2 siang jadi harus nunggu lama. tapi pelayanannya bagus, stafnya sangat ramah. bahkan barang saya yang sudah tertinggal lebih dari 1 minggu masih dapat diambil dan tidak hilang. tetapi harus call dulu untuk dicarikan. breakfastnya enak, beragam, dan jam 6 pagi sudah ready.",Kenyamanan,Tidak ada,Tidak ada,Negatif
126,"security hotel sangat baik dan ramah, petugas hotel juga sangat baik dan ramah, ada 1 sih yang agak jutek. tp untung yang lain baik2. makanan2nya enak, ada kids corner tapi lebih baik lagi jika diberi pagar sedikit. terima kasih santika",Kebersihan,Positif,Positif,Tidak ada
127,"lokasi bagus, tapi pintu kamar mandi di room saya rusak.",Pelayanan,Negatif,Negatif,Tidak ada
128,"sudah jam check in, tapi room nya belum ready. perlengkapan di kamar mandi, sudah tidak layak.",Lokasi,Positif,Positif,Tidak ada
129,tempatnya baik. sepi tidak berisik dengan suasana jalanan + langsung terkoneksi dengan pusat perbelanjaan. kolam renang baik buat anak-anak. varian sarapan juga banyak enak.,Pelayanan,Positif,Positif,Tidak ada
130,"kamar bersih, receptionist ramah, tapi kalau mau gofood agak susah karena hotelnya di atas mall, menu breakfast kurang banyak.",Kebersihan,Positif,Positif,Tidak ada
131,"akses yang sulit, mereka harus memastikan, customer tidak mendapatkan akses yang sulit untuk datang",Kebersihan,Positif,Positif,Tidak ada
132,"saya suka sarapannya, enak!",Makanan,Positif,Positif,Positif
133,"air panas di kamar mandi tidak berfungsi, sudah dibayar dan memesan untuk perpanjangan check out tetapi masih mengetuk oleh layanan kamar karena kurangnya koordinasi dengan staf kantor depan. jika tidak, makanannya enak, ada begitu banyak pilihan menu dari sarapan. bukan layanan khas santika tapi mungkin bisa lebih baik di masa depan.",Kenyamanan,Negatif,Negatif,Negatif
134,"petugas resepsionis tidak memberikan informasi detail kepada pelanggan, dia tidak tersenyum dan makanannya tidak enak",Pelayanan,Tidak ada,Tidak ada,Negatif
135,bagus makanan sedap tempat strategis.,Lokasi,Positif,Positif,Positif
136,"waktu kita check-out. resepsionis lama responnya dan judes. padahal hanya ada 1 pengunjung yang di layani saat itu, dan tidak ramah dan senyum sama sekali, namanya laurnya enak",Lokasi,Positif,Positif,Tidak ada
137,"mulai dari pelayanan, tempat, dan makanan semua enak nyaman.",Harga,Negatif,Negatif,Tidak ada
138,akses menuju hotel dari mall kalau malam sedikit membingungkan. selebihnya baik,Makanan,Tidak ada,Tidak ada,Negatif
139,"sangat memuaskan, lift dari mall ke hotel rada lama.",Kebersihan,Positif,Positif,Tidak ada
140,ada guest relation yang datang ke kamar untuk nawarin koran. tapi caranya yang main ketuk pintu terus langsung buka pintu itu tidak sopan banget ya.,Kenyamanan,Tidak ada,Tidak ada,Netral
141,"lantainya berdebu, bedding setnya pemilihannya bahannya yang kasar. ketika order room service, pesanannya lama sekali datangnya. kemudian kembali order room service di jam 11 pm, line room service tidak diangkat, operator juga tidak di angkat (room service 24 hr)",Kebersihan,Positif,Positif,Tidak ada
142,"kamar bau, tidak wangi. kamar mandi kuranh bersih. makanan sih enak ko",Kenyamanan,Positif,Positif,Netral
143,"enak dan nyaman, lokasinya strategis",Kebersihan,Negatif,Negatif,Tidak ada
144,"kami selalu menginap di hotel ini setiap kali kami bepergian ke tasikmalaya, baik untuk perjalanan keluarga maupun bisnis. stafnya ramah, makanannya enak, dan mereka menyajikan menu tradisional yang tidak akan anda temukan di tempat lain. kamar bersih dan bernilai uang. kolam renang yang bagus, meskipun saya tidak pernah memiliki kesempatan untuk mencoba gym. hotel ini terletak di sekitar restoran dan makanan jalanan, membuat hidup saya lebih mudah.",Kebersihan,Positif,Positif,Positif
145,"menu sarapan komplet, kamar mandi perlu retouch sedikit dan handuk prefer lebih tebal lagi. saya request smoking room, tapi tidak ada asbak. apa harus request ya?",Kenyamanan,Negatif,Negatif,Negatif
146,"lokasi hotel strategis, dekat dengan kuliner dan tempat bordir khas tasik",Kenyamanan,Positif,Positif,Tidak ada
147,"pelayanan ramah, hotel yang bersih, sarapan yang variatif dan tempat yang strategis di tengah kota. pokoknya recommended hotel deh.",Kebersihan,Tidak ada,Tidak ada,Positif
148,sangat bersih. rapi. wifinya juga cepet. pelayan nya sopan. pokoknya the best la,Kebersihan,Tidak ada,Tidak ada,Positif
149,hotel sahur prasmanan adalah menyenangkan! dan cinta keramahan. semua staf yang ramah kecuali staf meja depan. terima kasih,Lokasi,Netral,Netral,Tidak ada
150,"lokasi strategis, sarapan enak, kamar luas. keluarga senang.",Pelayanan,Positif,Positif,Tidak ada
