No,ID_Review,Platform,Hotel,Tanggal,Text_Review,Aspek,Label_IndoBERT,Label_ClaudeSonnet,Label_Narasumber,_score
29,2678,Agoda,Cirebon,2013-02-03,"cukup bagus, variasi makanan paginya lumayan walaupun tidak banyak tapi televisi yang ada di kamar kecil sekali untuk harga yang lumayan mahal",Pelayanan,Netral,Netral,Tidak ada,1
30,2685,Agoda,Cirebon,2013-01-07,"kamar bagus, , kamar mandi luas, , view mengahadap ke swiming pool. bagus abis",Kebersihan,Positif,Positif,Tidak ada,1
31,2803,Agoda,Depok,2025-01-10,"kami tinggal di sini dua malam. taksi sulit menemukan pintu masuk hotel. lokasinya strategis di sebelah pusat perbelanjaan kecil dan ada toko serba ada di dekatnya. tata letak ruangannya aneh. air conditioner di ruang tunggu tetapi tidak di kamar tidur, jadi kami merasa tidur di cuaca panas cukup sulit. air conditioner bermasalah dan bocor. sofa di ruang santai perlu diganti karena bernoda berat dan tidak nyaman untuk diduduki. kamar mandinya tidak sebersih yang kami inginkan, tapi baik. sarapannya enak dengan makanan lokal yang sangat kami nikmati",Kenyamanan,Netral,Netral,Netral,3
32,2862,Agoda,Depok,2024-02-09,"seperti yang saya katakan sebelumnya, salah satu hotel terbaik di kota depok. jangan pernah meragukannya.",Pelayanan,Netral,Netral,Tidak ada,1
33,3044,Agoda,Depok,2015-02-13,"bagaimanapun, sarapannya luar biasa. anda bisa menikmati hidangan dari seluruh indonesia yang berubah setiap harinya. stafnya baik dan menyenangkan. ini adalah kunjungan saya yang kedua. saya berencana untuk tinggal di sana lagi lain kali. sayangnya, ini terkait dengan handuk. itu buruk. mempertimbangkan harganya, saya rasa saya tidak punya pilihan selain berkompromi.",Kebersihan,Tidak ada,Tidak ada,Negatif,0
34,3064,Agoda,Depok,2024-04-21,"lokasi dan layanan staf keduanya bagus. tapi bau kamar mandinya agak menyengat jadi saya tutup pintu kamar mandinya. meski kecil, kecoa juga muncul.",Kenyamanan,Negatif,Negatif,Negatif,3
35,3088,Agoda,Depok,2025-10-07,"staf baik sangat membantu dan yang jelas fasilitasnya bagus, makanan enak",Pelayanan,Positif,Positif,Positif,3
36,3185,Agoda,Depok,2021-08-28,"hotel sekelas santika msh kurang dalam fasilitas kamar, pelayanan bagus, untuk breakfast enak",Kenyamanan,Positif,Positif,Netral,0
37,3356,Agoda,Tasikmalaya,2024-12-12,"hotel yang bagus dengan kolam renang, makanan lezat",Makanan,Positif,Positif,Positif,3
38,3435,Agoda,Tasikmalaya,2018-06-15,pemeliharaan perlu banyak ditingkatkan.,Kenyamanan,Tidak ada,Tidak ada,Tidak ada,-1
39,3636,Agoda,Tasikmalaya,2025-04-18,bagus kalau nginap di hotel santika via agoda,Makanan,Positif,Positif,Tidak ada,1
40,3647,Agoda,Tasikmalaya,2024-08-25,nyaman untuk staycation keluarga,Kenyamanan,Tidak ada,Tidak ada,Tidak ada,-1
41,3754,Agoda,Tasikmalaya,2017-04-13,"harga pas, lokasi bagus, kamar bersih dan luas",Makanan,Positif,Positif,Tidak ada,1
42,3882,Agoda,Tasikmalaya,2012-04-17,"proses check-in cukup baik, termasuk handling travel bag. petugas hotel cukup ramah. minus: - lift (kapasitas 1500kg) sangat lambat, dan sering muncul peringatan ""overload"" walaupun cuma berisi 4 orang dewasa. - bangunan yang relatif baru, masih sering tercium aroma cat.",Kenyamanan,Positif,Positif,Tidak ada,1
43,3943,Tiket,Bandung,2025-09-13,staf nya baik semua. tambhin menu nya biar lebih byk pilihan. 2 malam disini. menyenangkan. cuma sapet kamar ujung. kalau malem seremm ajahh. krna lorkng kamar nya open space. bukan sprti hotel2 saat ini. old nya dapet. nyaman. anak2 suka kolam nya. kr a tidak langsung kena sina mataharilihat lebih sedikit,Kenyamanan,Positif,Positif,Positif,3
44,3985,Tiket,Bandung,2025-02-11,"kamarnya cozy, akses ke kota nya dekat sekali, pelayanannya excellent",Makanan,Negatif,Negatif,Tidak ada,1
45,4013,Tiket,Bandung,2024-11-18,"tempat dekat rs dan riau juction. pelayanan ramah dan bersahabat. kebersihan baik hotel terjangkau, pilihan terbaik.",Lokasi,Positif,Positif,Positif,3
46,4063,Tiket,Bandung,2024-05-23,sinyal handphone baik. hidangan gurih yang nikmat.,Pelayanan,Positif,Positif,Tidak ada,1
47,4105,Tiket,Bandung,2024-02-16,"hotel bersih, pelayanan ramah.",Lokasi,Positif,Positif,Tidak ada,1
48,4140,Tiket,Bandung,2022-08-29,hotel nya bagus deket kemanah2 hotel nya bersih makanan nya enak,Makanan,Tidak ada,Tidak ada,Positif,0
49,4297,Tiket,Bandung,2025-01-13,"hotelnya nyaman kamarnya luas, bersih, lokasinya baik ada diantara mall jadi kalau mau beli makan dll gampang, sarapannya enak, pilihannya banyak. terima kasih santika bandung",Kebersihan,Positif,Positif,Positif,3
50,4330,Tiket,Bandung,2024-01-22,"area yang nyaman. harga fantastis, pengalaman tak terlupakan. ada pilihan restoran di dalam hotel. staf yang luar biasa.",Fasilitas,Netral,Netral,Tidak ada,1
51,4470,Tiket,Bandung,2024-03-16,tempat tidur anak nyaman. fasilitas up-to-date. suasana tropis di tepi kolam. resepsionis yang ramah dan sigap. menyediakan layanan shuttle ke pusat kota. menyediakan layanan shuttle ke pusat kota.,Fasilitas,Positif,Positif,Tidak ada,1
52,4503,Tiket,Bandung,2022-06-11,"lokasinya baik, namun hotel sudah terlalu usang, makanannya tidak enak",Pelayanan,Positif,Positif,Tidak ada,1
53,4561,Tiket,Megacity Bekasi,2026-01-13,"kamarnya bagus sangat bersih, segar, dan nyaman. taman yang terawat baik. ekonomis namun eksklusif.",Makanan,Positif,Positif,Tidak ada,1
54,4631,Tiket,Megacity Bekasi,2025-07-08,staf ramah anak. fasilitas mewah. staf yang ramah anak dan tulus.,Kebersihan,Positif,Positif,Tidak ada,1
55,4666,Tiket,Megacity Bekasi,2025-04-09,parkir dengan pencahayaan yang bagus. kebersihan tidak tertandingi.,Kenyamanan,Positif,Positif,Tidak ada,1
56,4788,Tiket,Megacity Bekasi,2024-08-28,"tipe kamar family nya asik. ada ruang tamu. kamar mandi luar. sayangnya agak sempit. tapi fasilitas baik. kamar bersih, sprei kasur juga bersih. breakfastnya standart.",Kenyamanan,Negatif,Negatif,Tidak ada,1
57,4827,Tiket,Megacity Bekasi,2024-07-14,ini mah sudah jelas bagus n ya,Kenyamanan,Tidak ada,Tidak ada,Tidak ada,-1
58,4849,Tiket,Megacity Bekasi,2024-06-09,strategis dan di atas mall,Pelayanan,Positif,Positif,Tidak ada,1
59,4871,Tiket,Megacity Bekasi,2024-05-06,lounge nyaman banget. pelayan yang responsif dan ahli di bidangnya.,Kenyamanan,Positif,Positif,Positif,3
60,5203,Tiket,Megacity Bekasi,2019-10-28,"waktu cek in tidak bisa lebih maju 1 jam alasan kamar full itu aja yang disayangkan, so far bagus semua",Kenyamanan,Tidak ada,Tidak ada,Positif,0
61,5295,Tiket,Megacity Bekasi,2024-03-07,"penginapan budget. dulu hampir setipa bulan pasti sempetin staycation disini. tapi sedih karna menu pizzanya gaada, padahal itu beneran best seller banget menurut ku. kembalikan menu pizzanya yaa ehehe",Kenyamanan,Positif,Positif,Tidak ada,1
62,5377,Tiket,Megacity Bekasi,2021-04-20,"baik, nyaman, fasilitasnya lengkap",Kebersihan,Positif,Positif,Tidak ada,1
63,5439,Tiket,Megacity Bekasi,2021-01-03,"sedikit masukan ajh untuk toilet kamar nya bau gituh, tapi untuk keseluruhan sudah baik banget. bersih dan layanannya juga bagus.",Lokasi,Positif,Positif,Tidak ada,1
64,5461,Tiket,Megacity Bekasi,2025-01-02,lumayan cuma dapat kamar yang tidak bisa lihat view luar. ketutup tembok,Kebersihan,Negatif,Negatif,Tidak ada,1
65,5466,Tiket,Megacity Bekasi,2024-10-03,kebersihan di seluruh area hotel.,Lokasi,Positif,Positif,Tidak ada,1
66,5665,Tiket,Bogor,2024-04-30,"jadi satu dengan mall dan masjid dekat, bagus",Kenyamanan,Negatif,Negatif,Tidak ada,1
67,5734,Tiket,Bogor,2022-04-03,"suka bermalam di hotel santika bogor, tidak berisik. suasana hotel yang sangat menyenangkan dan pelayanan yang memuaskan dan petugas ramah"". jadi suka tidur di hotel ini. semua fasilitas baik banget deh. makanannyapun enak""lihat lebih sedikit",Pelayanan,Tidak ada,Tidak ada,Positif,0
68,5837,Tiket,Cirebon,2025-11-19,menyajikan hidangan khas daerah. keamanan parkir terbaik. hemat biaya.,Kebersihan,Positif,Positif,Tidak ada,1
69,6078,Tiket,Cirebon,2018-12-26,hotel yang pas buat keluarga kolam renang nya enak banget buat anak2. lokasinya pas tengah kota deket mall. recomended deh,Fasilitas,Tidak ada,Tidak ada,Netral,0
70,6671,Traveloka,Bandung,2019-03-02,"jika anda mau pesan kamar pastikan contoh gambar kamarnya. kalau anda hanya lihat di profil bisa kecewa, kecewa dan kecewa. tidak sesuai yang kita mau. setelah check-in baru tahu deh. dalamnya ternyata",Pelayanan,Positif,Positif,Tidak ada,1
71,6881,Traveloka,Bandung,2017-11-18,"officernya ramah, makanannya selalu enak",Kenyamanan,Negatif,Negatif,Tidak ada,1
72,7140,Traveloka,Bandung,2017-01-21,"lokasi strategis, menu breakfast cukup variasi, kamar nyaman and petugas ramah. sepadan dengan harganya. sayangnya wi-fi tidak berfungsi baik.",Pelayanan,Positif,Positif,Positif,3
73,7177,Traveloka,Bandung,2016-12-24,"hotel bagus, pelayanan memuaskan, sarapan enak. anak2 puas berenang, dan mobil dicuci. sangat berkesan",Pelayanan,Positif,Positif,Positif,3
74,7198,Traveloka,Bandung,2016-10-22,lokasi strategis di tengah kota bandung,Lokasi,Positif,Positif,Positif,3
75,7321,Traveloka,Bandung,2016-05-14,"kecuali makanannya, semua baik dan bagus",Lokasi,Positif,Positif,Tidak ada,1
76,7415,Traveloka,Bandung,2015-12-12,"secara keseluruhan, pengalaman menginap cukup baik. namun, hotel ini sudah tua dan perlu direnovasi. keunggulan hotel ini adalah lokasinya yang strategis, dengan supermarket dan restoran tepat di depannya.",Makanan,Positif,Positif,Positif,3
77,7508,Traveloka,Bandung,2015-07-18,ramah simpel dekat kemana mana,Pelayanan,Positif,Positif,Positif,3
78,7690,Traveloka,Bogor,2025-07-26,"sudah beberapa kali menginap di santika hotel bogor. sejauh ini kemudahan akses saat cek in dengan pelayanan staf yang ramah, serta koneksi ke mal untuk pemenuhan keperluan dan kebutuhan selama menginap. keramahan staf dan berkomunikasi dengan baik. semoga bisa terus dipertahankan dan ditingkatkan. terima kasih atas pelayanan yang baik ini.",Kenyamanan,Negatif,Negatif,Tidak ada,1
79,7761,Traveloka,Bogor,2025-01-04,"semua orang ramah. kamarnya juga luas. dekat ke mana-mana. sangat mudah untuk pergi ke mal. meskipun kami menunggu cukup lama untuk check in, mereka berusaha memberi kami satu kamar untuk beristirahat.",Lokasi,Positif,Positif,Tidak ada,1
80,7792,Traveloka,Bogor,2024-07-13,"di ruangan kamar, berasa banyak debu, ngeres, badan saya gatel-gatel setiap bangun tidur, tapi so far baik yang lain. tingkatkan ya!",Kenyamanan,Negatif,Negatif,Netral,0
81,7874,Traveloka,Bogor,2023-07-22,"semuanya ramah dan sangat membantu. buat yang akan menginap ke sini langsung aja masuk parkiran botani (depan convention hall). free parkir dengan stempel hotel. lokasi strategis, ke mall bisa punya akses langsung lewat lantai basement. bagi orang jakarta yang ingin pulang, bisa langsung akses toll jagorawi saat keluar parkir. makanan lumayan variatif, tersedia kolam renang buat anak. pagi-pagi bisa olahraga keliling kebun raya bogor.",Fasilitas,Positif,Positif,Positif,3
82,7970,Traveloka,Bogor,2022-10-15,"alhamdulillah staffnya ramah, kalau ada kesempatan staycation lagi saya akan kesini lagi. makanan enak sangat bervariasi.",Pelayanan,Tidak ada,Tidak ada,Positif,0
83,8006,Traveloka,Bogor,2022-06-04,secara keseluruhan seperti biasa memenuhi ekspektasi. mungkin sedikit masukan untuk tayangan televisinya di review kembali karena pas di kamar saya kok tampilannya tidak jernih dan sepertinya tidak ada televisi kabel.,Kenyamanan,Negatif,Tidak ada,Negatif,2
84,8019,Traveloka,Bogor,2022-05-14,"pelayanannya sangat baik, lokasi nyambung sama mall botani square, sarapan enak dan banyak macam nya dan kebersihannya terjamin.",Kenyamanan,Positif,Positif,Positif,3
85,8029,Traveloka,Bogor,2022-03-26,hotel yang lengkap dengan fasilitas dekat dengan mall jadi tidak perlu kemana-mana lagi untuk cari makan n hiburan untuk anak.,Pelayanan,Netral,Netral,Tidak ada,1
86,8210,Traveloka,Bogor,2020-10-17,"check-in sangat cepat, untuk roomnya sendiri kamarnya cukup luas tapi sayang sekali sprei dan sarung bantalnya banyak bercak-bercak entah bekas kopi atau bekas nyaman darah. untuk kamar mandi lampunya kurang terang agak remang-remang gitu dan agak berbau.",Lokasi,Positif,Positif,Tidak ada,1
87,8240,Traveloka,Bogor,2020-08-08,sarapan yang lebih baik diantarkan ke kamar,Kenyamanan,Positif,Positif,Positif,3
88,8255,Traveloka,Bogor,2020-04-04,"hotelnya bersih, dekat dengan mal, jadi mau makan dan belanja gampang, pelayanannya ramah dan membantu, breakfast enak dan bervariasi, ada jamu juga, best pokoknya.",Pelayanan,Negatif,Negatif,Positif,0
89,8292,Traveloka,Bogor,2020-01-18,sangat meyenangkan dekat mall botani di pusat kota bogor dekat damri ke bandara dekat terminal baranag siang pokoknya sangat strategis lokasinya.,Pelayanan,Positif,Positif,Tidak ada,1
90,8331,Traveloka,Bogor,2019-10-19,"ramah, dekat kemana saja, sarapannya pun enak-enak.",Lokasi,Positif,Positif,Positif,3
91,8998,Traveloka,Bogor,2016-03-05,tempat yang bagus dan pelayanan yang baik,Kenyamanan,Positif,Positif,Tidak ada,1
92,9016,Traveloka,Bogor,2016-01-30,"tempat bersih dan nyaman, view bagus dan berada di pusat kota",Kenyamanan,Positif,Positif,Positif,3
93,9122,Traveloka,Bogor,2015-07-04,suasana dan pelayanan yang baik,Pelayanan,Positif,Positif,Positif,3
94,9265,Traveloka,Cirebon,2025-02-22,selalu nginap di sini karena kolam renang dan akses nya,Kenyamanan,Negatif,Negatif,Tidak ada,1
95,9280,Traveloka,Cirebon,2024-10-19,satu-satunya masalah adalah nyamuk. tapi selain itu baik,Pelayanan,Positif,Positif,Tidak ada,1
96,9361,Traveloka,Cirebon,2023-01-14,"santika adalah hotel tua tetapi masih dikelola dengan baik. bersih, hangat, nyaman dan semua staf sangat membantu. kamar besar dan nyaman, makanan enak, parkir luas, ada kolam renang dan anak-anak saya senang bermain di kolam renang. akan memilih lagi ketika kita pergi ke cirebon lagi.",Kebersihan,Positif,Positif,Positif,3
97,9407,Traveloka,Cirebon,2022-02-12,breakfast nya dilayani tapi pelayannya kurang sigap. juga kurang komplit.,Makanan,Negatif,Negatif,Netral,0
98,9431,Traveloka,Cirebon,2021-11-20,"ini pertama kalinya nginep di sini, proses check in cepat, kamar bagus bersih, air conditioner dingin, televisi banyak channel dan lengkap isinya. sarapan enak-enak dan menjaga prokes. kolam renang menyenangkan buat anak-anak dan berair hangat. fasilitas hotel bagus, parkiran luas dan setiap pagi mobil kita dicuci bersih. minusnya cuma 1: wi-fi di dalam kamar buruk (414), tapi kalau ke depan lorong bagus signalnya. kapan-kapan mau kesini lagi, tentunya kalau dapat harga promo.",Pelayanan,Positif,Positif,Positif,3
99,9546,Traveloka,Cirebon,2020-01-18,"pertama kali ke sini tahun 2009. lalu saat natal 2019 kemarin kamai pun kembali menginap di sini. interiornya tidak berubah, masih sama seperti 10 tahun lalu, kamar rapi dan bersih, yang agak susah kuncinya, karena kuncinya masih semi-manual, tidak seperti kunci zaman sekarang yang tinggal tap kartu saja. pelayanannya juga masih baik. dan karena datangnya saat liburan natal, kami dapat compliment berupa cookies ginger bread man, definitely will come here again.",Kenyamanan,Positif,Positif,Positif,3
100,9705,Traveloka,Cirebon,2018-06-16,"kamar bersih, nyaman, pelayanan ramah, hanya 1 yang kurang tidak ada televisi cable kartun untuk anak-anak",Kenyamanan,Positif,Positif,Tidak ada,1
101,9712,Traveloka,Cirebon,2018-05-19,"hotelnya walaupun lama tapi sangat terawat, mulai dari pintu masuk, securitynya ramah sekali sampai lobby, welcome drink langsung tersedia. semua pegawainya ramah dan membantu, kamarnya bersih, cukup tenang, enak banget buat istirahat, kolam renangnya juga bersih, aman buat anak-anak, kaporitnya juga tidak terlalu menyengat. makanannya enak, apalagi paket barbeque malamnya bagus banget, harganya juga terjangkau. satu lagi, pas mau check-out masukin barang ke mobil, ternyata mobil sudah dicuciin. overall, bagus banget nih hotel. terima kasih management hotel santika, terimakasih traveloka.",Kenyamanan,Tidak ada,Tidak ada,Positif,0
102,9856,Traveloka,Cirebon,2017-07-15,"pelayanan khas santika, namun kondisi hotel yang sudah tua sehingga banyak hal yang kurang optimal. dan perlu diperbaharui.",Kebersihan,Positif,Positif,Tidak ada,1
103,9892,Traveloka,Cirebon,2017-06-03,"sangat memuaskan pelayanannya, kebersihan, kenyamanan dan makannya.",Kenyamanan,Positif,Positif,Positif,3
104,9968,Traveloka,Cirebon,2017-03-04,"saya pesan 2 kamar yang executive dan suite, yang kamar executive sempat masuk air dari jendela karena hujan tapi cepat diatasi setelah kami telepon room service, kamarnya yang suite bagus dan luas, cuma closet dan bathtubnya sudah lama tidak diganti warnanya kusam, hairdryernya juga copot pas mau digunakan, wifinya kenceng, sarapannya variatif, kolam renangnya luas, tapi sayang petugas penjaga kolam renangnya seperti kurang bersahabat, overall bagus.",Kenyamanan,Tidak ada,Tidak ada,Positif,0
105,10053,Traveloka,Cirebon,2016-08-13,cukup baik dan tidak mengecewakan,Kenyamanan,Negatif,Negatif,Tidak ada,1
106,10163,Traveloka,Cirebon,2015-12-05,sangat bagus dengan harga yang wajar. dengan dekorasi etnik dan unik.,Kenyamanan,Negatif,Negatif,Tidak ada,1
107,10309,Traveloka,Depok,2025-12-06,"secara keseluruhan baik, hanya tidak ada wi-fi (tergantung ketersediaan kamar), televisi masih lcd jadul bukan internet televisi (tergantung ketersediaan kamar), sama tidak ada hairdryer kebersihan baik, keramahan staf baik, sarapan enak dan sangat variatif",Kenyamanan,Tidak ada,Tidak ada,Netral,0
108,10375,Traveloka,Depok,2025-02-15,hotel terfavorit kalau lagi dinas ke depok,Kenyamanan,Negatif,Negatif,Tidak ada,1
109,10669,Traveloka,Depok,2020-10-24,"kamar agak terlalu kecil dari foto. tapi, bersenang-senang tinggal!",Kenyamanan,Negatif,Negatif,Tidak ada,1
110,10837,Traveloka,Depok,2019-04-13,"senang sekali menginap di hotel santika depok, pelayanan sangat ramah, kamar sangat nyaman, rapi dan bersih, dan breakfast menunya sangat enak dan memuaskan.",Makanan,Positif,Positif,Positif,3
111,11045,Traveloka,Depok,2018-08-25,overall sangat puas dengan pelayanan.,Pelayanan,Positif,Positif,Positif,3
112,11093,Traveloka,Depok,2018-06-30,layanan hebat dan sarapan enak.,Fasilitas,Negatif,Negatif,Tidak ada,1
113,11096,Traveloka,Depok,2018-06-23,"kamarnya bersih, nyaman, dan makanannya enak.",Fasilitas,Negatif,Negatif,Tidak ada,1
114,11125,Traveloka,Depok,2018-04-21,kenyamanan saat istirahat/tidur kurang karena terdengar suara yang berisik seperti suara mesin/pompa air) mungkin karena dapat kamar dekat area pompa/mesin.,Kenyamanan,Tidak ada,Tidak ada,Netral,0
115,11201,Traveloka,Depok,2017-12-23,kamarnya kecil type deluxe breakfast baik menunya kamar mandi agak bau selebihnya baik.,Pelayanan,Positif,Positif,Tidak ada,1
116,11227,Traveloka,Depok,2017-11-25,"kalau booked via online booking harus isi special request. saya hampir dikasih smoking room, untungnya tidak jadi.",Kenyamanan,Positif,Positif,Tidak ada,1
117,11335,Traveloka,Depok,2017-07-15,"bagus, sipp, bagus, tingkatkan terus",Lokasi,Positif,Positif,Tidak ada,1
118,11482,Traveloka,Depok,2017-01-28,"besar dan bersih, membuat saya merasa seperti di kamar saya sendiri",Pelayanan,Positif,Positif,Tidak ada,1
119,11596,Traveloka,Depok,2016-08-27,sudah baik tapi belum terlalu sesuai dengan tarif,Kenyamanan,Negatif,Negatif,Tidak ada,1
120,11710,Traveloka,Depok,2016-05-07,"kebersihan baik, kamarnya small, perlengkapan body masih kurang, cukur, bodylotion tidak ada, akses internet tidak normal, dengan tarif kamar yang ada harusnya sudah lengkap.",Kenyamanan,Tidak ada,Tidak ada,Negatif,0
121,11954,Traveloka,Depok,2015-10-24,pelayanan yang bagus dan lokasi yang bagus,Fasilitas,Negatif,Negatif,Tidak ada,1
122,12009,Traveloka,Depok,2015-08-22,banyak semut berjalan di teko listriknya. mungkin ada sisa gula atau minuman manis.,Kenyamanan,Negatif,Negatif,Tidak ada,1
123,12010,Traveloka,Depok,2015-08-15,walau semalam. ok semua. sedikit terganggu dengan adanya semut kecil keluar dari besek makan.,Kenyamanan,Positif,Positif,Tidak ada,1
124,12138,Traveloka,Depok,2015-03-07,"bagus service, banget lah pokoknya, pelayanan memuaskan, roomnya juga",Pelayanan,Positif,Positif,Positif,3
125,12148,Traveloka,Depok,2015-01-31,"kamarnya kecil, check-in baru bisa jam 2 siang jadi harus nunggu lama. tapi pelayanannya bagus, stafnya sangat ramah. bahkan barang saya yang sudah tertinggal lebih dari 1 minggu masih dapat diambil dan tidak hilang. tetapi harus call dulu untuk dicarikan. breakfastnya enak, beragam, dan jam 6 pagi sudah ready.",Kenyamanan,Tidak ada,Tidak ada,Negatif,0
