No.,ID_Review,Text_Review,IndoBERT_Kenyamanan,IndoBERT_Kebersihan,IndoBERT_Pelayanan,IndoBERT_Harga,IndoBERT_Lokasi,IndoBERT_Fasilitas,IndoBERT_Makanan,Claude_Kenyamanan,Claude_Kebersihan,Claude_Pelayanan,Claude_Harga,Claude_Lokasi,Claude_Fasilitas,Claude_Makanan,Expert_Kenyamanan,Expert_Kebersihan,Expert_Pelayanan,Expert_Harga,Expert_Lokasi,Expert_Fasilitas,Expert_Makanan
26,2237,"kamar yang nyaman bersih. namun furniturnya agak kumuh, diperlukan peningkatan / perbaikan. secara keseluruhan, kami menikmati masa menginap kami. direkomendasikan.",negatif,-,netral,-,-,-,-,netral,-,netral,-,-,-,-,positif,positif,-,-,-,-,-
27,2361,tidak ada yang kurang dari luar biasa. saya datang ke tempat ini bersama istri dan bayi saya yang berumur 4 bulan. saya singgah di cirebon selama perjalanan ke semarang. saya mendapatkan istirahat yang sangat baik di cirebon dan saya sangat puas dengan pilihan saya menginap di hotel santika cirebon.,positif,positif,positif,netral,-,netral,positif,positif,positif,positif,netral,-,netral,positif,-,-,-,-,-,-,-
28,2677,lokasi yang strategis namun sayangnya disebelah hotel adalah gedung pemerintahan dan pada saat sarapan pagi di hari jumat terganggu dengan suara musik senam massal. namun menu makanan cukup baik dengan menu tradisional nasi yang dibungkus dengan daun jati.,-,-,-,positif,positif,-,netral,-,-,-,positif,positif,-,netral,-,-,-,negatif,netral,-,netral
29,2678,"cukup bagus, variasi makanan paginya lumayan walaupun tidak banyak tapi televisi yang ada di kamar kecil sekali untuk harga yang lumayan mahal",positif,-,netral,positif,positif,negatif,positif,positif,-,netral,positif,positif,negatif,positif,netral,-,-,netral,-,netral,netral
30,2685,"kamar bagus, , kamar mandi luas, , view mengahadap ke swiming pool. bagus abis",-,positif,positif,positif,positif,-,negatif,-,positif,positif,positif,positif,-,negatif,positif,-,-,-,-,-,-
31,2803,"kami tinggal di sini dua malam. taksi sulit menemukan pintu masuk hotel. lokasinya strategis di sebelah pusat perbelanjaan kecil dan ada toko serba ada di dekatnya. tata letak ruangannya aneh. air conditioner di ruang tunggu tetapi tidak di kamar tidur, jadi kami merasa tidur di cuaca panas cukup sulit. air conditioner bermasalah dan bocor. sofa di ruang santai perlu diganti karena bernoda berat dan tidak nyaman untuk diduduki. kamar mandinya tidak sebersih yang kami inginkan, tapi baik. sarapannya enak dengan makanan lokal yang sangat kami nikmati",netral,-,-,negatif,-,negatif,-,netral,-,-,negatif,-,negatif,-,netral,netral,-,netral,netral,-,netral
32,2862,"seperti yang saya katakan sebelumnya, salah satu hotel terbaik di kota depok. jangan pernah meragukannya.",-,-,netral,-,-,-,-,-,-,netral,-,-,-,-,-,-,-,-,positif,-,-
33,3044,"bagaimanapun, sarapannya luar biasa. anda bisa menikmati hidangan dari seluruh indonesia yang berubah setiap harinya. stafnya baik dan menyenangkan. ini adalah kunjungan saya yang kedua. saya berencana untuk tinggal di sana lagi lain kali. sayangnya, ini terkait dengan handuk. itu buruk. mempertimbangkan harganya, saya rasa saya tidak punya pilihan selain berkompromi.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,negatif,positif,negatif,-,negatif,negatif
34,3064,"lokasi dan layanan staf keduanya bagus. tapi bau kamar mandinya agak menyengat jadi saya tutup pintu kamar mandinya. meski kecil, kecoa juga muncul.",negatif,-,negatif,-,positif,-,-,negatif,-,negatif,-,positif,-,-,negatif,negatif,positif,-,positif,-,-
35,3088,"staf baik sangat membantu dan yang jelas fasilitasnya bagus, makanan enak",-,-,positif,-,-,-,-,-,-,positif,-,-,-,-,-,-,positif,-,-,-,positif
36,3185,"hotel sekelas santika msh kurang dalam fasilitas kamar, pelayanan bagus, untuk breakfast enak",positif,-,positif,-,-,-,-,positif,-,positif,-,-,-,-,netral,-,netral,-,-,netral,-
37,3356,"hotel yang bagus dengan kolam renang, makanan lezat",positif,positif,-,-,-,-,positif,positif,positif,-,-,-,-,positif,-,-,-,-,-,positif,positif
38,3435,pemeliharaan perlu banyak ditingkatkan.,-,-,-,-,-,positif,-,-,-,-,-,-,netral,-,-,-,-,-,-,-,-
39,3636,bagus kalau nginap di hotel santika via agoda,-,-,-,-,-,-,positif,-,-,-,-,-,-,positif,-,-,-,-,-,-,-
40,3647,nyaman untuk staycation keluarga,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41,3754,"harga pas, lokasi bagus, kamar bersih dan luas",positif,positif,-,-,positif,-,positif,positif,positif,-,-,positif,-,positif,netral,netral,-,netral,netral,-,-
42,3882,"proses check-in cukup baik, termasuk handling travel bag. petugas hotel cukup ramah. minus: - lift (kapasitas 1500kg) sangat lambat, dan sering muncul peringatan ""overload"" walaupun cuma berisi 4 orang dewasa. - bangunan yang relatif baru, masih sering tercium aroma cat.",positif,-,-,positif,-,-,negatif,positif,-,-,positif,-,-,negatif,-,-,-,-,-,negatif,-
43,3943,staf nya baik semua. tambhin menu nya biar lebih byk pilihan. 2 malam disini. menyenangkan. cuma sapet kamar ujung. kalau malem seremm ajahh. krna lorkng kamar nya open space. bukan sprti hotel2 saat ini. old nya dapet. nyaman. anak2 suka kolam nya. kr a tidak langsung kena sina mataharilihat lebih sedikit,positif,-,-,-,-,-,-,positif,-,-,-,-,-,-,positif,-,positif,-,-,-,-
44,3985,"kamarnya cozy, akses ke kota nya dekat sekali, pelayanannya excellent",-,negatif,-,-,-,-,negatif,-,positif,-,-,-,-,negatif,positif,-,positif,-,positif,-,-
45,4013,"tempat dekat rs dan riau juction. pelayanan ramah dan bersahabat. kebersihan baik hotel terjangkau, pilihan terbaik.",-,positif,-,-,positif,-,-,-,positif,-,-,positif,-,-,-,netral,positif,positif,positif,-,-
46,4063,sinyal handphone baik. hidangan gurih yang nikmat.,negatif,-,positif,-,-,negatif,positif,-,-,positif,-,-,negatif,positif,-,-,-,-,-,-,-
47,4105,"hotel bersih, pelayanan ramah.",-,-,-,-,positif,-,-,-,-,-,-,positif,-,-,-,-,positif,-,-,-,-
48,4140,hotel nya bagus deket kemanah2 hotel nya bersih makanan nya enak,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,positif
49,4297,"hotelnya nyaman kamarnya luas, bersih, lokasinya baik ada diantara mall jadi kalau mau beli makan dll gampang, sarapannya enak, pilihannya banyak. terima kasih santika bandung",-,positif,positif,-,-,-,positif,-,positif,positif,-,-,-,positif,positif,positif,-,-,positif,-,-
50,4330,"area yang nyaman. harga fantastis, pengalaman tak terlupakan. ada pilihan restoran di dalam hotel. staf yang luar biasa.",-,-,-,-,-,netral,-,-,-,-,-,-,netral,-,positif,-,-,negatif,-,-,netral
51,4470,tempat tidur anak nyaman. fasilitas up-to-date. suasana tropis di tepi kolam. resepsionis yang ramah dan sigap. menyediakan layanan shuttle ke pusat kota. menyediakan layanan shuttle ke pusat kota.,-,-,-,-,-,positif,positif,-,-,-,-,-,positif,positif,positif,-,positif,-,-,-,-
52,4503,"lokasinya baik, namun hotel sudah terlalu usang, makanannya tidak enak",-,-,positif,positif,-,-,positif,-,-,positif,positif,-,-,positif,-,-,-,-,negatif,-,negatif
53,4561,"kamarnya bagus sangat bersih, segar, dan nyaman. taman yang terawat baik. ekonomis namun eksklusif.",-,-,-,-,-,-,positif,-,-,-,-,-,-,positif,positif,positif,-,-,-,-,-
54,4631,staf ramah anak. fasilitas mewah. staf yang ramah anak dan tulus.,-,positif,-,-,-,negatif,-,-,positif,-,-,-,-,-,-,-,positif,-,-,positif,-
55,4666,parkir dengan pencahayaan yang bagus. kebersihan tidak tertandingi.,positif,positif,-,-,-,-,-,positif,positif,-,-,-,-,-,-,netral,-,-,-,positif,-
56,4788,"tipe kamar family nya asik. ada ruang tamu. kamar mandi luar. sayangnya agak sempit. tapi fasilitas baik. kamar bersih, sprei kasur juga bersih. breakfastnya standart.",negatif,-,-,-,-,-,-,negatif,-,-,-,-,-,-,-,netral,-,-,-,-,netral
57,4827,ini mah sudah jelas bagus n ya,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
58,4849,strategis dan di atas mall,-,-,positif,-,-,positif,-,-,-,positif,-,-,positif,-,-,-,-,positif,positif,-,-
59,4871,lounge nyaman banget. pelayan yang responsif dan ahli di bidangnya.,positif,-,-,-,-,-,-,positif,-,-,-,-,-,-,positif,-,-,-,-,-,-
60,5203,"waktu cek in tidak bisa lebih maju 1 jam alasan kamar full itu aja yang disayangkan, so far bagus semua",-,-,-,-,-,-,-,-,-,-,-,-,-,-,positif,-,-,-,-,-,-
61,5295,"penginapan budget. dulu hampir setipa bulan pasti sempetin staycation disini. tapi sedih karna menu pizzanya gaada, padahal itu beneran best seller banget menurut ku. kembalikan menu pizzanya yaa ehehe",positif,positif,positif,positif,-,positif,-,positif,positif,positif,positif,-,positif,-,-,-,-,-,-,-,netral
62,5377,"baik, nyaman, fasilitasnya lengkap",-,positif,-,-,-,-,-,-,positif,-,-,-,-,-,positif,-,-,-,-,positif,-
63,5439,"sedikit masukan ajh untuk toilet kamar nya bau gituh, tapi untuk keseluruhan sudah baik banget. bersih dan layanannya juga bagus.",positif,-,-,-,positif,-,-,positif,-,-,-,positif,-,-,netral,positif,netral,-,-,-,-
64,5461,lumayan cuma dapat kamar yang tidak bisa lihat view luar. ketutup tembok,-,negatif,negatif,-,-,negatif,-,-,negatif,negatif,-,-,negatif,-,netral,-,-,-,-,-,-
65,5466,kebersihan di seluruh area hotel.,-,-,-,-,positif,-,-,-,-,-,-,positif,-,-,-,positif,-,-,-,-,-
66,5665,"jadi satu dengan mall dan masjid dekat, bagus",negatif,-,-,-,-,-,-,negatif,-,-,-,-,-,-,-,-,-,-,positif,-,-
67,5734,"suka bermalam di hotel santika bogor, tidak berisik. suasana hotel yang sangat menyenangkan dan pelayanan yang memuaskan dan petugas ramah"". jadi suka tidur di hotel ini. semua fasilitas baik banget deh. makanannyapun enak""lihat lebih sedikit",-,-,-,-,-,-,positif,-,-,-,-,-,-,-,-,-,positif,-,-,-,netral
68,5837,menyajikan hidangan khas daerah. keamanan parkir terbaik. hemat biaya.,-,positif,-,-,-,positif,-,-,positif,-,-,-,positif,-,-,-,-,-,-,-,-
69,6078,hotel yang pas buat keluarga kolam renang nya enak banget buat anak2. lokasinya pas tengah kota deket mall. recomended deh,-,-,-,-,-,-,negatif,-,-,-,-,-,-,negatif,-,-,-,-,-,netral,positif
70,6671,"jika anda mau pesan kamar pastikan contoh gambar kamarnya. kalau anda hanya lihat di profil bisa kecewa, kecewa dan kecewa. tidak sesuai yang kita mau. setelah check-in baru tahu deh. dalamnya ternyata",-,-,positif,-,-,-,-,-,-,positif,-,-,-,-,-,-,-,-,-,-,-
71,6881,"officernya ramah, makanannya selalu enak",negatif,negatif,-,-,netral,-,-,negatif,negatif,-,-,netral,-,-,-,-,positif,-,-,-,positif
72,7140,"lokasi strategis, menu breakfast cukup variasi, kamar nyaman and petugas ramah. sepadan dengan harganya. sayangnya wi-fi tidak berfungsi baik.",-,positif,positif,-,-,-,-,-,positif,positif,-,-,-,-,positif,-,positif,netral,positif,negatif,positif
73,7177,"hotel bagus, pelayanan memuaskan, sarapan enak. anak2 puas berenang, dan mobil dicuci. sangat berkesan",-,-,positif,-,positif,-,negatif,-,-,positif,-,positif,-,negatif,-,-,positif,-,-,-,positif
74,7198,lokasi strategis di tengah kota bandung,-,-,-,-,positif,-,-,-,-,-,-,positif,-,-,-,-,-,positif,positif,-,-
75,7321,"kecuali makanannya, semua baik dan bagus",-,-,-,-,positif,-,-,-,-,-,-,positif,-,-,-,-,-,-,-,-,positif
76,7415,"secara keseluruhan, pengalaman menginap cukup baik. namun, hotel ini sudah tua dan perlu direnovasi. keunggulan hotel ini adalah lokasinya yang strategis, dengan supermarket dan restoran tepat di depannya.",positif,-,positif,-,-,-,positif,positif,-,positif,-,-,-,positif,negatif,-,-,positif,positif,-,positif
77,7508,ramah simpel dekat kemana mana,positif,positif,positif,-,positif,-,-,positif,positif,positif,-,positif,-,-,-,-,positif,-,positif,-,-
78,7690,"sudah beberapa kali menginap di santika hotel bogor. sejauh ini kemudahan akses saat cek in dengan pelayanan staf yang ramah, serta koneksi ke mal untuk pemenuhan keperluan dan kebutuhan selama menginap. keramahan staf dan berkomunikasi dengan baik. semoga bisa terus dipertahankan dan ditingkatkan. terima kasih atas pelayanan yang baik ini.",negatif,negatif,positif,-,positif,positif,positif,negatif,negatif,positif,-,positif,positif,positif,-,-,netral,-,netral,-,netral
79,7761,"semua orang ramah. kamarnya juga luas. dekat ke mana-mana. sangat mudah untuk pergi ke mal. meskipun kami menunggu cukup lama untuk check in, mereka berusaha memberi kami satu kamar untuk beristirahat.",positif,-,-,-,positif,-,positif,positif,-,-,-,positif,-,positif,netral,-,positif,-,-,-,netral
80,7792,"di ruangan kamar, berasa banyak debu, ngeres, badan saya gatel-gatel setiap bangun tidur, tapi so far baik yang lain. tingkatkan ya!",negatif,-,-,-,-,-,negatif,negatif,-,-,-,-,-,negatif,netral,negatif,-,-,-,-,netral
81,7874,"semuanya ramah dan sangat membantu. buat yang akan menginap ke sini langsung aja masuk parkiran botani (depan convention hall). free parkir dengan stempel hotel. lokasi strategis, ke mall bisa punya akses langsung lewat lantai basement. bagi orang jakarta yang ingin pulang, bisa langsung akses toll jagorawi saat keluar parkir. makanan lumayan variatif, tersedia kolam renang buat anak. pagi-pagi bisa olahraga keliling kebun raya bogor.",-,-,-,-,-,positif,-,-,-,-,-,-,positif,-,-,-,positif,positif,positif,positif,positif
82,7970,"alhamdulillah staffnya ramah, kalau ada kesempatan staycation lagi saya akan kesini lagi. makanan enak sangat bervariasi.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,positif,-,-,-,positif
83,8006,secara keseluruhan seperti biasa memenuhi ekspektasi. mungkin sedikit masukan untuk tayangan televisinya di review kembali karena pas di kamar saya kok tampilannya tidak jernih dan sepertinya tidak ada televisi kabel.,negatif,-,-,-,-,-,-,-,-,negatif,-,-,-,-,negatif,-,-,-,-,negatif,-
84,8019,"pelayanannya sangat baik, lokasi nyambung sama mall botani square, sarapan enak dan banyak macam nya dan kebersihannya terjamin.",positif,positif,negatif,-,-,negatif,positif,positif,positif,negatif,-,-,negatif,positif,positif,positif,positif,-,positif,positif,-
85,8029,hotel yang lengkap dengan fasilitas dekat dengan mall jadi tidak perlu kemana-mana lagi untuk cari makan n hiburan untuk anak.,-,-,netral,-,positif,negatif,-,-,-,netral,-,positif,negatif,-,-,-,-,-,-,netral,netral
86,8210,"check-in sangat cepat, untuk roomnya sendiri kamarnya cukup luas tapi sayang sekali sprei dan sarung bantalnya banyak bercak-bercak entah bekas kopi atau bekas nyaman darah. untuk kamar mandi lampunya kurang terang agak remang-remang gitu dan agak berbau.",positif,-,negatif,-,positif,-,-,positif,-,negatif,-,positif,-,-,netral,netral,netral,-,-,-,netral
87,8240,sarapan yang lebih baik diantarkan ke kamar,positif,positif,positif,negatif,positif,-,positif,positif,positif,positif,negatif,positif,-,positif,positif,-,-,-,-,-,positif
88,8255,"hotelnya bersih, dekat dengan mal, jadi mau makan dan belanja gampang, pelayanannya ramah dan membantu, breakfast enak dan bervariasi, ada jamu juga, best pokoknya.",-,-,negatif,-,-,-,-,-,-,negatif,-,-,-,-,-,-,positif,-,positif,-,positif
89,8292,sangat meyenangkan dekat mall botani di pusat kota bogor dekat damri ke bandara dekat terminal baranag siang pokoknya sangat strategis lokasinya.,-,-,positif,-,positif,-,-,-,-,positif,-,positif,-,-,-,-,-,-,-,-,-
90,8331,"ramah, dekat kemana saja, sarapannya pun enak-enak.",-,-,-,-,positif,-,-,-,-,-,-,positif,-,-,-,-,positif,-,positif,-,positif
91,8998,tempat yang bagus dan pelayanan yang baik,positif,netral,positif,-,-,-,positif,positif,-,positif,-,-,-,positif,-,-,-,-,-,-,-
92,9016,"tempat bersih dan nyaman, view bagus dan berada di pusat kota",positif,positif,-,-,-,-,positif,positif,positif,-,-,-,-,positif,positif,-,-,-,positif,-,-
93,9122,suasana dan pelayanan yang baik,-,positif,positif,-,-,-,negatif,-,positif,positif,-,-,-,negatif,positif,-,positif,-,-,-,-
94,9265,selalu nginap di sini karena kolam renang dan akses nya,negatif,-,negatif,-,-,-,negatif,negatif,-,negatif,-,-,-,negatif,-,-,-,-,-,-,-
95,9280,satu-satunya masalah adalah nyamuk. tapi selain itu baik,-,-,positif,-,-,negatif,positif,-,-,positif,-,-,negatif,positif,-,negatif,-,-,-,-,-
96,9361,"santika adalah hotel tua tetapi masih dikelola dengan baik. bersih, hangat, nyaman dan semua staf sangat membantu. kamar besar dan nyaman, makanan enak, parkir luas, ada kolam renang dan anak-anak saya senang bermain di kolam renang. akan memilih lagi ketika kita pergi ke cirebon lagi.",positif,positif,-,-,positif,-,-,positif,positif,-,-,positif,-,-,netral,positif,positif,-,-,-,positif
97,9407,breakfast nya dilayani tapi pelayannya kurang sigap. juga kurang komplit.,-,-,-,-,-,-,negatif,-,-,-,-,-,-,negatif,-,-,-,-,-,-,netral
98,9431,"ini pertama kalinya nginep di sini, proses check in cepat, kamar bagus bersih, air conditioner dingin, televisi banyak channel dan lengkap isinya. sarapan enak-enak dan menjaga prokes. kolam renang menyenangkan buat anak-anak dan berair hangat. fasilitas hotel bagus, parkiran luas dan setiap pagi mobil kita dicuci bersih. minusnya cuma 1: wi-fi di dalam kamar buruk (414), tapi kalau ke depan lorong bagus signalnya. kapan-kapan mau kesini lagi, tentunya kalau dapat harga promo.",-,-,positif,-,-,-,positif,-,-,positif,-,-,-,positif,positif,positif,positif,negatif,-,netral,netral
99,9546,"pertama kali ke sini tahun 2009. lalu saat natal 2019 kemarin kamai pun kembali menginap di sini. interiornya tidak berubah, masih sama seperti 10 tahun lalu, kamar rapi dan bersih, yang agak susah kuncinya, karena kuncinya masih semi-manual, tidak seperti kunci zaman sekarang yang tinggal tap kartu saja. pelayanannya juga masih baik. dan karena datangnya saat liburan natal, kami dapat compliment berupa cookies ginger bread man, definitely will come here again.",positif,negatif,positif,-,-,-,-,positif,negatif,positif,-,-,-,-,positif,positif,netral,-,-,-,-
100,9705,"kamar bersih, nyaman, pelayanan ramah, hanya 1 yang kurang tidak ada televisi cable kartun untuk anak-anak",positif,-,-,-,-,positif,positif,positif,-,-,-,-,positif,positif,-,negatif,negatif,-,-,-,-
101,9712,"hotelnya walaupun lama tapi sangat terawat, mulai dari pintu masuk, securitynya ramah sekali sampai lobby, welcome drink langsung tersedia. semua pegawainya ramah dan membantu, kamarnya bersih, cukup tenang, enak banget buat istirahat, kolam renangnya juga bersih, aman buat anak-anak, kaporitnya juga tidak terlalu menyengat. makanannya enak, apalagi paket barbeque malamnya bagus banget, harganya juga terjangkau. satu lagi, pas mau check-out masukin barang ke mobil, ternyata mobil sudah dicuciin. overall, bagus banget nih hotel. terima kasih management hotel santika, terimakasih traveloka.",-,positif,positif,-,-,-,-,-,positif,positif,-,-,-,-,positif,netral,netral,positif,netral,netral,netral
102,9856,"pelayanan khas santika, namun kondisi hotel yang sudah tua sehingga banyak hal yang kurang optimal. dan perlu diperbaharui.",-,positif,-,-,-,-,positif,-,positif,-,-,-,-,positif,negatif,-,negatif,-,negatif,-,-
103,9892,"sangat memuaskan pelayanannya, kebersihan, kenyamanan dan makannya.",positif,positif,-,-,-,-,negatif,positif,positif,-,-,-,-,negatif,positif,positif,positif,-,-,-,positif
104,9968,"saya pesan 2 kamar yang executive dan suite, yang kamar executive sempat masuk air dari jendela karena hujan tapi cepat diatasi setelah kami telepon room service, kamarnya yang suite bagus dan luas, cuma closet dan bathtubnya sudah lama tidak diganti warnanya kusam, hairdryernya juga copot pas mau digunakan, wifinya kenceng, sarapannya variatif, kolam renangnya luas, tapi sayang petugas penjaga kolam renangnya seperti kurang bersahabat, overall bagus.",-,-,-,-,-,-,-,-,-,-,-,-,-,-,positif,-,positif,-,-,netral,-
105,10053,cukup baik dan tidak mengecewakan,negatif,-,-,negatif,positif,negatif,positif,negatif,-,-,-,-,-,positif,-,-,-,-,-,-,-
106,10163,sangat bagus dengan harga yang wajar. dengan dekorasi etnik dan unik.,negatif,negatif,-,-,-,negatif,-,negatif,negatif,-,-,-,negatif,-,-,-,-,netral,-,-,-
107,10309,"secara keseluruhan baik, hanya tidak ada wi-fi (tergantung ketersediaan kamar), televisi masih lcd jadul bukan internet televisi (tergantung ketersediaan kamar), sama tidak ada hairdryer kebersihan baik, keramahan staf baik, sarapan enak dan sangat variatif",-,-,-,-,-,-,-,-,-,-,-,-,-,-,netral,negatif,positif,-,-,netral,positif
108,10375,hotel terfavorit kalau lagi dinas ke depok,negatif,positif,-,-,positif,-,positif,negatif,positif,-,-,positif,-,positif,-,-,-,-,-,-,-
109,10669,"kamar agak terlalu kecil dari foto. tapi, bersenang-senang tinggal!",negatif,-,negatif,-,-,-,-,negatif,-,negatif,-,-,-,-,-,-,-,-,-,-,-
110,10837,"senang sekali menginap di hotel santika depok, pelayanan sangat ramah, kamar sangat nyaman, rapi dan bersih, dan breakfast menunya sangat enak dan memuaskan.",-,-,-,-,-,negatif,positif,-,-,-,-,-,negatif,positif,netral,positif,-,-,-,-,positif
111,11045,overall sangat puas dengan pelayanan.,-,positif,positif,-,-,negatif,positif,-,positif,positif,-,-,negatif,positif,-,-,positif,-,-,-,-
112,11093,layanan hebat dan sarapan enak.,-,-,-,-,-,negatif,-,-,-,-,-,-,negatif,-,-,-,netral,-,-,-,positif
113,11096,"kamarnya bersih, nyaman, dan makanannya enak.",negatif,-,-,-,-,negatif,-,negatif,-,-,-,-,negatif,-,positif,positif,-,-,-,-,positif
