review_id,platform,hotel_name,text_review,text_review_original,date,original_language
11,Agoda,Hotel Santika Bandung,"Hotel klasik, tenang, estetis, dan layanan pelanggan yang luar biasa.","Classic, calm, esthetic hotel and great customer services.",2026-02-21,en
12,Agoda,Hotel Santika Bandung,"Datang hampir jam 10 malam, hotel terlihat sepi tapi begitu turun mobil ada 1 doorman yang langsung menyambut dan membukakan pintu hotel. Di lobby 1 concierge standby dan sat set mencari kamar yang kita booking dan melayani permintaan breakfast on the go. Besoknya 2 kotak sarapan sudah siap diambil jam setengah 6 pagi sesuai permintaan. Terimakasih Santika ...","Datang hampir jam 10 malam, hotel terlihat sepi tapi begitu turun mobil ada 1 doorman yang langsung menyambut dan membukakan pintu hotel. Di lobby 1 concierge standby dan sat set mencari kamar yang kita booking dan melayani permintaan breakfast on the go. Besoknya 2 kotak sarapan sudah siap diambil jam setengah 6 pagi sesuai permintaan. Terimakasih Santika ...",2026-02-17,id
13,Agoda,Hotel Santika Bandung,lokasi bagus dan tempat menginap yang bagus di Bandung,good location and good place to stay in Bandung,2026-02-04,en
14,Agoda,Hotel Santika Bandung,Masih mencari rekomendasi hotel di bandung khususnya untuk keluarga atau rombongan. Staf dan layanan yang ramah dan baik. Lokasi strategis.,"Still looking for hotel recommendations in Bandung, especially for families or groups. Friendly and good staff and services. Strategic location.",2026-01-29,en
15,Agoda,Hotel Santika Bandung,Saya suka Santika Bandung. Kenangan indah bersama keluarga tercinta. Saya pernah ke sana bersama mendiang Papa Mama tercinta.,I love Santika Bandung. Good memories with my beloved families. I had been there with my late beloved Papa Mama.,2026-01-26,en
16,Agoda,Hotel Santika Bandung,"semua fantastis, hanya makanan perlu di tingkatkan sedikit secara taste, tp staff semua ramah bintang 5","semua fantastis, hanya makanan perlu di tingkatkan sedikit secara taste, tp staff semua ramah bintang 5",2026-01-15,id
17,Agoda,Hotel Santika Bandung,Nilai untuk uang,Value for money,2026-01-01,en
18,Agoda,Hotel Santika Bandung,"Saya tidak tahu apa yang bisa saya katakan, semuanya sempurna","I don't know what can I say, just everything was perfect",2025-12-28,en
19,Agoda,Hotel Santika Bandung,Hebat : Dekat tempat dan resto populer di kota Bandung,Great : Near popular place and resto in Bandung city,2025-12-20,en
20,Agoda,Hotel Santika Bandung,Lokasi bijaksana adalah sarapan terbaik dan lezat,Location wise is best and delicious breakfast,2025-12-15,en
21,Agoda,Hotel Santika Bandung,"Pengalaman menginap yang menyenangkan, dengan fasilitas hotel yang memadai, lokasi strategis di pusat kota, dan harga terjangkau.","A pleasant stay experience, with adequate hotel facilities, strategically located in the city center, and affordable prices.",2025-12-10,en
22,Agoda,Hotel Santika Bandung,"Hotel dengan keramahan yang baik, lokasi strategis, rate cukup bagus juga harganya.","The hotel with good hospitality,strategic location, good rate enough also the price is.",2025-11-29,en
23,Agoda,Hotel Santika Bandung,"Rekomendasi hotel untuk liburan atau bisnis di bandung, Saya selalu menginap di Hotel Santika karena lokasinya yang strategis, fasilitasnya lengkap, terutama sarapannya yang enak dan bervariasi.","Recommended hotel for vacation or business in Bandung, I always stay at Hotel Santika because of its strategic location, complete facilities, especially the delicious and varied breakfast.",2025-11-22,en
24,Agoda,Hotel Santika Bandung,"Properti ini menawarkan nilai luar biasa dengan lokasinya yang strategis, membuatnya mudah untuk menjelajahi daerah tersebut. Kebersihannya terbaik, dan stafnya ramah dan penuh perhatian, memastikan pengalaman yang menyenangkan. Fasilitasnya bagus, menampilkan kamar yang luas dengan air panas dan tempat parkir yang nyaman. Secara keseluruhan, ini adalah pilihan tepat bagi siapa saja yang mencari kenyamanan dan aksesibilitas selama menginap.","This property offers exceptional value with its prime location, making it easy ta explore the area. The cleanliness is top- notch, and the staff is friendly and attentive, ensuring a pleasant experience The facilities are great, featuring spacious rooms with hot water and convenient parking. Overall, it's an excellent choice for anyone looking for comfort and accessibility during their stay.",2025-11-14,en
25,Agoda,Hotel Santika Bandung,"Overall hotel ini recomended, mulai dari pelayanan, makanan, dan lokasinya, kalau harganya relatif pas. Satu hal yang selalu saya sukai dari menginap di Santika adalah variasi makanan yang tersedia, baik tradisional maupun western, serta rasanya yang menggugah selera.","Overall, this hotel is recommended, starting from the service, food, and location, if the price is relatively right. One thing I always like about staying at Santika is the variety of food available, both traditional and Western, and the taste is pleasing to the palate.",2025-11-06,en
26,Agoda,Hotel Santika Bandung,"Nyaman, dimana-mana bersih. Toiletnya berbau harum. Saran: cat ulang pintu kamar mandi agar terlihat lebih segar.","Comfortable, everywhere is clean. The toilet smells nice. A suggestion: repaint the bathroom doors to make them look fresher.",2025-11-05,en
27,Agoda,Hotel Santika Bandung,Sejauh ini bagus untuk menginap,So far good to stay,2025-11-02,en
28,Agoda,Hotel Santika Bandung,recommed,recommed,2025-10-30,unknown
29,Agoda,Hotel Santika Bandung,Great location. Meskipun hotel yang sedikit berumur tapi masih terawat dan bersih. Cocok untuk tinggal bersama keluarga.,Great location. Meskipun hotel yang sedikit berumur tapi masih terawat dan bersih. Cocok untuk tinggal bersama keluarga.,2025-10-27,id
30,Agoda,Hotel Santika Bandung,Untuk ruangan dan fasilitasnya sudah bagus. Hanya perlu meningkatkan makanan untuk sarapan dan pencahayaan ruangan.,For the room and facilities already good. Just need to improve food for bfast and the lighting for the room.,2025-10-27,en
31,Agoda,Hotel Santika Bandung,"Hotel terjangkau di lokasi strategis. Ruangan itu luas dan tempat tidur nyaman. Tapi kamar dan furniturnya cukup kuno, AC tidak bisa diatur, dan handuknya terlalu tipis dan tua. Semua staf baik dan cepat tanggap dalam menangani pertanyaan.","An affordable hotel in a strategic location. The room was spacious and comfortable bed. But the room and furnitures are quite oldies, aircon was not adjustable, and the towels were too thin and old. All of the staff were nice and fast-response handling the inquiry.",2025-10-24,en
32,Agoda,Hotel Santika Bandung,Sangat senang!,Very happy!,2025-10-15,en
33,Agoda,Hotel Santika Bandung,"Hotel lama yg nyaman, dan dekat dari outlet di jalan Riau dan mudah cari makanan, mantapppp","Hotel lama yg nyaman, dan dekat dari outlet di jalan Riau dan mudah cari makanan, mantapppp",2025-10-08,id
34,Agoda,Hotel Santika Bandung,Nikmati tinggal di pusat kota,Enjoy stay in city central,2025-10-06,en
35,Agoda,Hotel Santika Bandung,sarapan gratis,Free bfast,2025-10-02,en
36,Agoda,Hotel Santika Bandung,Lokasi bagus,Good location,2025-09-21,en
37,Agoda,Hotel Santika Bandung,Good hotel to stay,Good hotel to stay,2025-09-19,unknown
38,Agoda,Hotel Santika Bandung,"Pengalaman saya secara umum sangat baik di hotel ini. Baru pertama kali menginap disini itu pun karena kehabisan hotel lain di weekend dan memang dadakan baru cari di hari H. Memang gedung lama tapi lokasi sangat baik di tengah kota jadi sangat strategis kalau mau kemana2, kamar terbilang luas, feels bed pun sangat enak dan sekalipun double twin dijadikan satu tidak berasa ada lubang di tengah2. Yg paling highlight buat saya adalah breakfast karena jenis makanannya banyak dan rasanya pun enak2, plusnya lagi saya mendapat compliment breakfast untuk anak saya yg berusia 8. Compliment karena seharusnya bayar menurut staff restaurant tp waktu check in di info anak hingga usia 8 masih gratis.. Sepertinya perlu disepakati lagi dalam management. Tapi thanks anyway for the compliment.","Pengalaman saya secara umum sangat baik di hotel ini. Baru pertama kali menginap disini itu pun karena kehabisan hotel lain di weekend dan memang dadakan baru cari di hari H. Memang gedung lama tapi lokasi sangat baik di tengah kota jadi sangat strategis kalau mau kemana2, kamar terbilang luas, feels bed pun sangat enak dan sekalipun double twin dijadikan satu tidak berasa ada lubang di tengah2. Yg paling highlight buat saya adalah breakfast karena jenis makanannya banyak dan rasanya pun enak2, plusnya lagi saya mendapat compliment breakfast untuk anak saya yg berusia 8. Compliment karena seharusnya bayar menurut staff restaurant tp waktu check in di info anak hingga usia 8 masih gratis.. Sepertinya perlu disepakati lagi dalam management. Tapi thanks anyway for the compliment.",2025-09-18,id
39,Agoda,Hotel Santika Bandung,lokasi bagus dan pelayanan bagus,good location and good service,2025-09-13,en
40,Agoda,Hotel Santika Bandung,"Saya pesan kamar ini untuk ayah saya saya, dan ayah saya suka dengan hotel ini","Saya pesan kamar ini untuk ayah saya saya, dan ayah saya suka dengan hotel ini",2025-09-11,id
41,Agoda,Hotel Santika Bandung,"Saya pesan kamar ini untuk ayah saya, dan ayah saya menyukainya","Saya pesan kamar ini untuk ayah saya, dan ayah saya menyukainya",2025-09-11,id
42,Agoda,Hotel Santika Bandung,"Hotel butik ini hanya berjarak 100 meter dari stasiun kereta bandara. Pelayanannya ramah dan sebanding dengan hotel bintang lima, dan semua staf fasih berbahasa Inggris. Desain kamarnya cukup unik, dengan tabung di kamar mandi menghadap ke jendela. Sayangnya kolam renangnya kecil. Menu makanan dalam kamar bervariasi, enak, dan harga cukup bersaing dengan restoran di Platinum Mall. Tersedia antar-jemput tuktuk gratis ke stasiun kereta. Secara keseluruhan, ini adalah pengalaman menginap yang sangat menyenangkan, dan saya berharap untuk kembali lagi di masa mendatang.","This boutique hotel is only 100 meters from the airport train station. The service is friendly and comparable to a five-star hotel, and all staff speak fluent English. The room design is quite unique, with a tube in the bathroom facing the window. Unfortunately, the swimming pool is small. The in-room food menu is varied, delicious, and the prices are quite competitive with restaurants in Platinum Mall. Free tuktuk shuttles to the train station are available. Overall, it's a very happy stay, and I am looking forward to coming back in the future.",2025-09-08,en
43,Agoda,Hotel Santika Bandung,"Parkir dibasement tidak sempit muat sekitar 25-30 mobil. Sarapan ok, kacang ijo bubur sumsum selalu ada. Tradisional food. Dekat dengan bip tinggal nyebrang dan mall yogya disebrang kanannya. Saya dapat di kamar 427, kamar executive tapi ac kurang dingin. Ada ruang duduk sama tv tambahan kecil di depan tapi kurang efektif mending dikasih kasur 1 lagi","Parkir dibasement tidak sempit muat sekitar 25-30 mobil. Sarapan ok, kacang ijo bubur sumsum selalu ada. Tradisional food. Dekat dengan bip tinggal nyebrang dan mall yogya disebrang kanannya. Saya dapat di kamar 427, kamar executive tapi ac kurang dingin. Ada ruang duduk sama tv tambahan kecil di depan tapi kurang efektif mending dikasih kasur 1 lagi",2025-09-08,id
44,Agoda,Hotel Santika Bandung,"Hotel tua yang bersih, tapi pelayanannya bagus. Saya menikmati sarapan saya yang lezat dan jamu wedang sekang. Saya akan mempertimbangkan ini lagi jika saya berada di sekitar area tersebut","Clean old hotel, but the service was good. I enjoy my tastefully breakfast n jamu wedang sekang. I will consider this again if im around the area",2025-09-02,en
45,Agoda,Hotel Santika Bandung,"Hotel ini dihuni oleh kelelawar. Dinding hotel seperti terlihat di foto kotoran kelelawar & di lantai. Gymnya👎🏾👎🏾👎🏾 satu-satunya treadmill yang rusak, pergelangan kaki saya hampir terkilir saat menggunakannya. Papan langkah di bawah mekanisme rusak ketika Anda menginjaknya dengan goyah. Tidak ada barbel yang dipasang dengan benar. Untuk meluruskannya. Lebih baik tutup gym & gunakan ruang itu untuk hal lain","The hotel is inhabited by bats. The wall of the hotel as seen on the photo excrements of bats & on the floor. The gym is👎🏾👎🏾👎🏾 the only treadmill is faulty, i nearly twisted my ankle when i used it . The step board under merchanism faulty when u step on it wobbly. No proper barbels set. To put it straight. Better close the gym & use the space for something else",2025-08-21,en
46,Agoda,Hotel Santika Bandung,"Akomodasi ini menawarkan nilai yang sangat baik dengan lokasi yang strategis dan kebersihan yang terjaga. Stafnya sangat ramah dan membantu, membuat pengalaman menjadi lebih menyenangkan. Fasilitas yang tersedia juga memuaskan, cocok untuk berbagai kebutuhan. Secara keseluruhan, ini adalah tempat yang sangat direkomendasikan bagi siapapun yang mencari kenyamanan dan pelayanan terbaik selama menginap.","This accommodation offers excellent value with a strategic location and maintained cleanliness. The staff is very friendly and helpful, making the experience even more enjoyable. The available facilities are also satisfactory, suitable for various needs. Overall, this is a highly recommended place for anyone looking for comfort and the best service while staying.",2025-08-14,en
47,Agoda,Hotel Santika Bandung,Secara keseluruhan bagus,Overall good,2025-08-08,en
48,Agoda,Hotel Santika Bandung,Menginap di Santika akan membuat Anda nyaman dengan lokasinya yang tepat berada di pusat kota Bandung yang ramai.,Staying at Santika will make you comfortable with its location right in the center of the bustling city of Bandung.,2025-08-03,en
49,Agoda,Hotel Santika Bandung,"Kamarnya luas ,rapi Dan bersih ,kamar mandi juga bersih","Kamarnya luas ,rapi Dan bersih ,kamar mandi juga bersih",2025-07-29,id
50,Agoda,Hotel Santika Bandung,"Letaknya di lokasi yang sangat bagus, di seberang Riau Junction dan dekat Bandung Indah Plaza dengan banyak tempat makan. Kamarnya luas dan sarapannya enak. Staf sangat membantu dan ramah, layanan pelanggan terbaik. Ini adalah hotel yang akan saya kembalikan setiap kali saya pergi ke Bandung.","It is in a very good location, across Riau Junction and near Bandung Indah Plaza with lots of eating places. The room is spacious and nice breakfast. The staff were very helpful and friendly, the best customer service. It is a hotel that I would come back every time I go to Bandung.",2025-07-26,en
51,Agoda,Hotel Santika Bandung,Tarif bagus Lokasi bagus,Good rate Good location,2025-07-12,en
52,Agoda,Hotel Santika Bandung,"Tarif bagus, lokasi bagus, staf ramah","Good rate, good location, friendly staff",2025-07-12,en
53,Agoda,Hotel Santika Bandung,"Nyaman, bersih, fasilitas lengkap, lokasi strategis.. kalau ke bandung mau stay di hotel ini lagi","Nyaman, bersih, fasilitas lengkap, lokasi strategis.. kalau ke bandung mau stay di hotel ini lagi",2025-07-10,id
54,Agoda,Hotel Santika Bandung,"Hotelnya bersih dengan fasilitas yang terpelihara dengan baik. Yang benar-benar menonjol adalah layanan terbaiknya — mulai dari pelayan, resepsionis, hingga tim F&B, setiap anggota staf benar-benar ramah dan profesional. Meskipun furnitur dan kamar mandinya perlu ditingkatkan agar sesuai dengan keunggulan hotel di area lain, secara keseluruhan pengalaman menginap ini menyenangkan dan terpuji.","The hotel is clean with well-maintained facilities. What truly stands out is the excellent service — from the bellman, reception, to the F&B team, every staff member was genuinely welcoming and professional. While the furniture and bathrooms could use some upgrading to match the hotel’s strengths in other areas, overall it was a pleasant and commendable stay.",2025-07-08,en
55,Agoda,Hotel Santika Bandung,"Hotel tua tapi nyaman untuk ditinggali. Terasa homey, lobi dan restorannya bikin betah. Terdapat fasilitas sepeda gratis. Saya pakai bersama kedua anak saya untuk jalan-jalan keliling, mengunjungi sate dan factory outlet terdekat, jalan-jalan. Nyaman dan strategis. Sarapannya biasa saja, dengan pilihan makanan tradisional yang cukup lengkap. Tersedia Bakery, snack gurih, kopi mesin espresso, bubur ketan, mie, dan salad lengkap. Kamarnya bersih dan TVnya oke, besar. Kita seharusnya tinggal di sini selama 2 malam. Dekat dengan supermarket, Martadinata. Cocok untuk nongkrong, BIP. Lain kali kami akan kembali ke sini lagi. Kebetulan harganya murah di hari biasa. Weekend masih standar.. Terima kasih Santika. Stafnya ramah.","An old hotel but comfortable to stay in. It feels homey, the lobby and restaurant make you feel at home. There are free bike facilities. I used it with my two kids to go around the area, visiting the nearest satay and factory outlet, wandering around. Comfortable and strategic. The breakfast is so-so, with a fairly complete selection of traditional food. Bakery, savory snacks, espresso machine coffee, sticky rice porridge, noodles, and a complete salad are available. The room is clean and the TV is okay, big. We should have stayed here for 2 nights. It's close to a supermarket, Martadinata. Good for hanging out, BIP. Next time we will come back here again. The price happens to be cheap on weekdays. Weekends are still standard... Thank you, Santika. The staff is friendly.",2025-07-08,en
56,Agoda,Hotel Santika Bandung,Staf yang kami temui sangat luar biasa termasuk General Manager yang mendekati kami di lobi untuk mengobrol tentang waktu kami di Bandung. Nilai yang sangat bagus dan kami selalu senang menginap di properti Santika karena alasan ini.,The staff we encountered were wonderful including the General Manager whom approached us in the lobby to have a chat about our time in Bandung. Very good value and we always love staying at Santika properties for this reason.,2025-07-05,en
57,Agoda,Hotel Santika Bandung,Selalu puas menginap disini. Tempat tidur yang sangat bagus.,Always satisfied staying here. Really nice bed.,2025-06-30,en
58,Agoda,Hotel Santika Bandung,"Saya nyaman menginap di hotel JNJ. Meskipun menurut saya kopinya kurang rasa, ketika saya meminta kopi yang lebih kuat, staf segera menyediakannya.","I am comfortable staying at the JNJ hotel. Although I found the coffee to be lacking in flavor, when I requested a stronger coffee, the staff quickly provided it.",2025-06-26,en
59,Agoda,Hotel Santika Bandung,Semua fasilitas dan layanan staf OK ⭐️⭐️⭐️⭐️⭐️,Semua fasilitas dan layanan staf OK ⭐️⭐️⭐️⭐️⭐️,2025-06-18,id
60,Agoda,Hotel Santika Bandung,"Selalu nyaman menginap di hotel ini, lokasi prima dikelilingi pusat perbelanjaan dan makanan. Pelayanan hotel dan kamarnya sangat baik. Kamarnya luas dan bersih. Sarapan yang beragam dan lezat. Tidak perlu ragu lagi memilih Santika Jalan Sumatera sebagai pilihan saat menginap di Bandung. ⭐️⭐️⭐️⭐️⭐️","Always comfortable staying at this hotel, prime location surrounded by shopping centers and food. The hotel service and rooms are very good. The rooms are spacious and clean. A diverse and delicious breakfast. There is no doubt in choosing Santika Jalan Sumatera as a choice when staying in Bandung. ⭐️⭐️⭐️⭐️⭐️",2025-06-15,en
61,Agoda,Hotel Santika Bandung,Nilai untuk uang. Meskipun agak tua tapi terawat dengan baik dan lokasinya bagus,Value for money. Although a bit old but wel maintained and good location,2025-06-11,en
62,Agoda,Hotel Santika Bandung,"Hotel dengan bangunan klasik dan vintage yang berlokasi di pusat kota Bandung. Untuk lokasi tidak perlu diragukan lagi karena sangat strategis. Bangunan hotel sudah cukup berumur dengan interior di dalamnya termasuk kamar yang sudah cukup outdated dan perlu segera ada refurbishment. Tapi overall kualitas tempat tidur, bantal dan duvet tetep oke punya. Kebersihannya pun juga cukup terjaga dengan baik. AC rasanya kurang dingin karena menggunakan pengaturan AC model lama, untungnya kota Bandung by default kalo malam cukup sejuk udaranya. Overall oke banget menginap di sini dengan harga yang reasonable pula sudah termasuk sarapan.","Hotel dengan bangunan klasik dan vintage yang berlokasi di pusat kota Bandung. Untuk lokasi tidak perlu diragukan lagi karena sangat strategis. Bangunan hotel sudah cukup berumur dengan interior di dalamnya termasuk kamar yang sudah cukup outdated dan perlu segera ada refurbishment. Tapi overall kualitas tempat tidur, bantal dan duvet tetep oke punya. Kebersihannya pun juga cukup terjaga dengan baik. AC rasanya kurang dingin karena menggunakan pengaturan AC model lama, untungnya kota Bandung by default kalo malam cukup sejuk udaranya. Overall oke banget menginap di sini dengan harga yang reasonable pula sudah termasuk sarapan.",2025-06-04,id
63,Agoda,Hotel Santika Bandung,Tinggal di sini selama 1 malam tapi satu hal yang pasti adalah hotel ini bernilai uang dan memiliki makanan enak untuk sarapan!!!,Stayed here for 1 night but one thing for sure is this hotel is value for money and have a good food for breakfast!!!,2025-06-01,en
64,Agoda,Hotel Santika Bandung,Perlu direnovasi juga lama mendapat lingkungan sehat karena tempatnya kumuh,Need to be renovated too old get a healthy environment as the place is rundown,2025-05-25,en
65,Agoda,Hotel Santika Bandung,"Letaknya strategis, semua staf ramah, ruangan sangat besar (saya menginap di kamar executive). Dan surprise juga pas diinfo saat cek in kalau sudah dapat paket makan malam dan sarapan. Makananya lumayan enak.","Letaknya strategis, semua staf ramah, ruangan sangat besar (saya menginap di kamar executive). Dan surprise juga pas diinfo saat cek in kalau sudah dapat paket makan malam dan sarapan. Makananya lumayan enak.",2025-05-14,id
66,Agoda,Hotel Santika Bandung,"Staf sangat penuh perhatian, tidak pernah membiarkan kami membawa barang bawaan kami ke dan dari kamar kami. Mampu memenuhi permintaan kami setiap saat. Lokasi bagus dan banyak restoran di dekatnya.","Staffs are very attentive, never let us carry our luggages to and from grab to our rooms. Able to attend to our request every time. Great location and a lot of eateries nearby.",2025-05-10,en
67,Agoda,Hotel Santika Bandung,"Saya baru-baru ini menginap di Hotel Santika Bandung. Seperti biasa, Santika tetap menjaga reputasinya sebagai hotel yang sudah lama berdiri dengan fasilitas yang terawat dan suasana yang nyaman. Menu sarapannya cukup enak dan menawarkan berbagai pilihan yang enak. Namun, kali ini saya sedikit kecewa. Saya telah memesan kamar dengan satu tempat tidur besar, tetapi malah diberikan dua tempat tidur single yang disatukan, yang mempengaruhi kenyamanan menginap secara keseluruhan.","I recently stayed at Hotel Santika Bandung. As usual, Santika maintains its reputation as a long-established hotel with well-maintained facilities and a comfortable atmosphere. The breakfast menu was quite good and offered a nice variety of options. However, I was a bit disappointed this time. I had booked a room with one large bed, but was given two single beds pushed together instead, which affected the overall comfort of the stay.",2025-05-08,en
68,Agoda,Hotel Santika Bandung,"Grup Santika adalah salah satu hotel favorit saya untuk menginap di Indonesia. Lokasi bagus, staf membantu, kamar bersih dan besar, sarapan lengkap dan enak, dan harga terjangkau.","Santika group is one of my favorite hotel to stay in Indonesia. Great location, helpful staff, clean n big room, complete n nice breakfast and affordable price.",2025-05-04,en
69,Agoda,Hotel Santika Bandung,"Saya suka suasana, staf yang ramah, dekat dengan pusat perbelanjaan legenda dan tidur yang nyenyak. Satu hal yang mengganggu saya adalah (tidak yakin) burung atau kelelawar berjatuhan di area aula. Kelihatannya seperti terjatuh tapi saya tidak yakin, semoga kunjungan berikutnya tanda itu bersih","I love the ambiences, friendly staf, close to the legend shopping mall and good sleep. One thing annoy me is the (not sure) the bird or bat dropping in hall area. It look like drop thing but I'm not sure, hopefully next visit that mark get clean",2025-05-02,en
70,Agoda,Hotel Santika Bandung,"Makanannya enak, stafnya sangat membantu, kamarnya bagus, hanya beberapa furnitur yang perlu diganti",Food was great the staff was helpful the room was nice just some furniture need to replace,2025-04-22,en
71,Agoda,Hotel Santika Bandung,Sangat recomend bagi yg ingin dekat kemana-mana di Bandung,Sangat recomend bagi yg ingin dekat kemana-mana di Bandung,2025-04-21,id
72,Agoda,Hotel Santika Bandung,Lokasi terbaik dan hotel nyaman untuk menjelajahi Kota Bandung,Best location and comfortable hotel to exploring Bandung City,2025-04-11,en
73,Agoda,Hotel Santika Bandung,"Selalu senang menginap di Hotel Santika Bandung, stafnya ramah dan baik dalam pelayanan. Kamarnya bersih, fasilitasnya lengkap. Lokasi dikelilingi pusat perbelanjaan dan kuliner. Sarapannya lengkap, bervariasi, dan juga enak. Saya tidak pernah bosan tinggal di sini.","Always happy to stay at Hotel Santika Bandung, the staff is friendly and good in service. The rooms are clean, with complete facilities. The location is surrounded by shopping centers and food. The breakfast is complete, varied, and also delicious. I never get tired of staying here.",2025-04-11,en
74,Agoda,Hotel Santika Bandung,"Lokasi strategis, dekat pusat perbelanjaan. Kamar nyaman. Staf ramah. Makanan enak.","Lokasi strategis, dekat pusat perbelanjaan. Kamar nyaman. Staf ramah. Makanan enak.",2025-04-07,id
75,Agoda,Hotel Santika Bandung,"Menginap disini 3 malam strategis banget, di sekitar banyak food street tapi karena lebaran banyak yang tutup. Kamar bersih dan nyaman, AC dan air panas berfungsi dengan baik, sarapan bervariasi, dan staf sangat ramah dari pintu masuk hingga housekeeping.","Staying here for 3 nights is very strategic, there are many food streets around but because of Eid, many are closed. The room is clean and comfortable, the AC and hot water work well, breakfast is varied, and the staff is very friendly from the entrance to housekeeping.",2025-04-06,en
