aspect,label,split,full_count,full_pct,split_count,split_pct,abs_pct_diff
Pelayanan,negatif,train,844,0.05723197938563776,674,0.05713316944986013,9.880993577762731e-05
Pelayanan,negatif,validation,844,0.05723197938563776,85,0.0576271186440678,0.000395139258430037
Pelayanan,negatif,test,844,0.05723197938563776,85,0.0576271186440678,0.000395139258430037
Pelayanan,netral,train,360,0.024411744761646436,287,0.024328219038738663,8.35257229077728e-05
Pelayanan,netral,validation,360,0.024411744761646436,36,0.02440677966101695,4.9651006294865185e-06
Pelayanan,netral,test,360,0.024411744761646436,37,0.025084745762711864,0.0006730010010654285
Pelayanan,none,train,8588,0.5823557333694989,6872,0.5825209799101466,0.00016524654064775657
Pelayanan,none,validation,8588,0.5823557333694989,858,0.5816949152542373,0.00066081811526153
Pelayanan,none,test,8588,0.5823557333694989,858,0.5816949152542373,0.00066081811526153
Harga,positif,train,616,0.04177120770326168,492,0.041705518352123425,6.568935113825808e-05
Harga,positif,validation,616,0.04177120770326168,62,0.04203389830508475,0.00026269060182306653
Harga,positif,test,616,0.04177120770326168,62,0.04203389830508475,0.00026269060182306653
Harga,negatif,train,241,0.016342306909879974,192,0.016275324234974995,6.698267490497928e-05
Harga,negatif,validation,241,0.016342306909879974,25,0.01694915254237288,0.000606845632492907
Harga,negatif,test,241,0.016342306909879974,24,0.016271186440677966,7.112046920200801e-05
Harga,netral,train,138,0.009357835491964468,109,0.009239637195897262,0.00011819829606720539
Harga,netral,validation,138,0.009357835491964468,14,0.009491525423728813,0.00013368993176434557
Harga,netral,test,138,0.009357835491964468,15,0.010169491525423728,0.0008116560334592605
Harga,none,train,13752,0.9325286498948939,11004,0.9327795202170043,0.00025087032211035254
Harga,none,validation,13752,0.9325286498948939,1374,0.9315254237288135,0.0010032261660803954
Harga,none,test,13752,0.9325286498948939,1374,0.9315254237288135,0.0010032261660803954
Lokasi,positif,train,4088,0.27720892384891843,3270,0.27718911587691786,1.9807972000573937e-05
Lokasi,positif,validation,4088,0.27720892384891843,409,0.27728813559322035,7.921174430192135e-05
Lokasi,positif,test,4088,0.27720892384891843,409,0.27728813559322035,7.921174430192135e-05
Lokasi,negatif,train,258,0.01749508374584661,206,0.017462066627108586,3.3017118738026124e-05
Lokasi,negatif,validation,258,0.01749508374584661,26,0.017627118644067796,0.00013203489822118455
Lokasi,negatif,test,258,0.01749508374584661,26,0.017627118644067796,0.00013203489822118455
Lokasi,netral,train,183,0.012409303587170272,145,0.012291260489955073,0.0001180430972151994
Lokasi,netral,validation,183,0.012409303587170272,19,0.01288135593220339,0.00047205234503311724
Lokasi,netral,test,183,0.012409303587170272,19,0.01288135593220339,0.00047205234503311724
Lokasi,none,train,10218,0.6928866888180647,8176,0.6930575570060185,0.00017086818795375436
Lokasi,none,validation,10218,0.6928866888180647,1021,0.6922033898305084,0.0006832989875562578
Lokasi,none,test,10218,0.6928866888180647,1021,0.6922033898305084,0.0006832989875562578
Fasilitas,positif,train,1418,0.09615515020004069,1133,0.09604136644909723,0.0001137837509434525
Fasilitas,positif,validation,1418,0.09615515020004069,142,0.09627118644067796,0.00011603624063727391
Fasilitas,positif,test,1418,0.09615515020004069,143,0.09694915254237288,0.0007940023423321924
Fasilitas,negatif,train,1514,0.1026649488031464,1212,0.10273798423327965,7.303543013324754e-05
Fasilitas,negatif,validation,1514,0.1026649488031464,151,0.1023728813559322,0.0002920674472142032
Fasilitas,negatif,test,1514,0.1026649488031464,151,0.1023728813559322,0.0002920674472142032
Fasilitas,netral,train,554,0.037566962772089235,442,0.037467152665932014,9.981010615722069e-05
Fasilitas,netral,validation,554,0.037566962772089235,56,0.03796610169491525,0.00039913892282601726
Fasilitas,netral,test,554,0.037566962772089235,56,0.03796610169491525,0.00039913892282601726
Fasilitas,none,train,11261,0.7636129382247236,9010,0.7637534966516911,0.00014055842696747423
Fasilitas,none,validation,11261,0.7636129382247236,1126,0.7633898305084745,0.00022310771624911574
Fasilitas,none,test,11261,0.7636129382247236,1125,0.7627118644067796,0.0009010738179440203
Makanan,positif,train,3780,0.2563233199972876,3023,0.25625158938713233,7.173061015525173e-05
Makanan,positif,validation,3780,0.2563233199972876,379,0.2569491525423729,0.0006258325450853031
Makanan,positif,test,3780,0.2563233199972876,378,0.256271186440678,5.2133556609601506e-05
Makanan,negatif,train,894,0.06062249949142198,715,0.060608629312537084,1.387017888489911e-05
Makanan,negatif,validation,894,0.06062249949142198,90,0.061016949152542375,0.00039444966112039265
Makanan,negatif,test,894,0.06062249949142198,89,0.06033898305084746,0.0002835164405745258
Makanan,netral,train,558,0.03783820438055198,446,0.03780622192082733,3.198245972464708e-05
Makanan,netral,validation,558,0.03783820438055198,56,0.03796610169491525,0.00012789731436327334
Makanan,netral,test,558,0.03783820438055198,56,0.03796610169491525,0.00012789731436327334
Makanan,none,train,9515,0.6452159761307384,7613,0.6453335593795033,0.00011758324876487425
Makanan,none,validation,9515,0.6452159761307384,950,0.6440677966101694,0.0011481795205690037
Makanan,none,test,9515,0.6452159761307384,952,0.6454237288135594,0.0002077526828209164
