ID_Review,Platform,Nama_Hotel,Review_Date,Text_Review,Kenyamanan,Kebersihan,Pelayanan,Harga,Lokasi,Fasilitas,Makanan,Alasan_Kenyamanan,Alasan_Kebersihan,Alasan_Pelayanan,Alasan_Harga,Alasan_Lokasi,Alasan_Fasilitas,Alasan_Makanan,split
11,Agoda,Hotel Santika Bandung,2/21/2026,"hotel klasik, tenang, estetis, dan layanan pelanggan yang luar biasa.",positif,none,positif,none,none,none,none,hotel klasik tenang estetis,,layanan pelanggan yang luar biasa,,,,,validation
12,Agoda,Hotel Santika Bandung,2/17/2026,"datang hampir jam 10 malam, hotel terlihat sepi tapi begitu turun mobil ada 1 doorman yang langsung menyambut dan membukakan pintu hotel. di lobby 1 concierge standby dan sat set mencari kamar yang kita booking dan melayani permintaan breakfast on the go. besoknya 2 kotak sarapan sudah siap diambil jam setengah 6 pagi sesuai permintaan. terimakasih santika.",none,none,positif,none,none,none,none,,,doorman yang langsung menyambut dan membukakan pintu hotel,,,,,train
13,Agoda,Hotel Santika Bandung,2/4/2026,lokasi bagus dan tempat menginap yang bagus di bandung,none,none,none,none,positif,none,none,,,,,lokasi bagus,,,train
14,Agoda,Hotel Santika Bandung,1/29/2026,masih mencari rekomendasi hotel di bandung khususnya untuk keluarga atau rombongan. staf dan layanan yang ramah dan baik. lokasi strategis.,none,none,positif,none,positif,none,none,,,staf dan layanan yang ramah dan baik,,lokasi strategis,,,train
15,Agoda,Hotel Santika Bandung,1/26/2026,saya suka santika bandung. kenangan indah bersama keluarga tercinta. saya pernah ke sana bersama mendiang papa mama tercinta.,none,none,none,none,none,none,none,,,,,,,,train
16,Agoda,Hotel Santika Bandung,1/15/2026,"semua fantastis, hanya makanan perlu di tingkatkan sedikit secara taste, tapi staf semua ramah bintang 5",none,none,positif,none,none,none,negatif,,,staf semua ramah bintang 5,,,,makanan perlu di tingkatkan sedikit secara taste,train
17,Agoda,Hotel Santika Bandung,12/28/2025,"saya tidak tahu apa yang bisa saya katakan, semuanya sempurna",none,none,none,none,none,none,none,,,,,,,,train
18,Agoda,Hotel Santika Bandung,12/20/2025,hebat: dekat tempat dan resto populer di kota bandung,none,none,none,none,positif,none,none,,,,,dekat tempat dan resto populer di kota bandung,,,train
19,Agoda,Hotel Santika Bandung,12/15/2025,lokasi bijaksana adalah sarapan terbaik dan lezat,none,none,none,none,none,none,positif,,,,,,,sarapan terbaik dan lezat,train
20,Agoda,Hotel Santika Bandung,12/10/2025,"pengalaman menginap yang menyenangkan, dengan fasilitas hotel yang memadai, lokasi strategis di pusat kota, dan harga terjangkau.",none,none,none,positif,positif,positif,none,,,,harga terjangkau,lokasi strategis di pusat kota,fasilitas hotel yang memadai,,test
21,Agoda,Hotel Santika Bandung,11/29/2025,"hotel dengan keramahan yang baik, lokasi strategis, rate cukup bagus juga harganya.",none,none,positif,positif,positif,none,none,,,keramahan yang baik,rate cukup bagus juga harganya,lokasi strategis,,,train
22,Agoda,Hotel Santika Bandung,11/22/2025,"rekomendasi hotel untuk liburan atau bisnis di bandung, saya selalu menginap di hotel santika karena lokasinya yang strategis, fasilitasnya lengkap, terutama sarapannya yang enak dan bervariasi.",none,none,none,none,positif,positif,positif,,,,,lokasinya yang strategis,fasilitasnya lengkap,sarapannya yang enak dan bervariasi,train
23,Agoda,Hotel Santika Bandung,11/14/2025,"properti ini menawarkan nilai luar biasa dengan lokasinya yang strategis, membuatnya mudah untuk menjelajahi daerah tersebut. kebersihannya terbaik, dan stafnya ramah dan penuh perhatian, memastikan pengalaman yang menyenangkan. fasilitasnya bagus, menampilkan kamar yang luas dengan air panas dan tempat parkir yang nyaman. secara keseluruhan, ini adalah pilihan tepat bagi siapa saja yang mencari kenyamanan dan aksesibilitas selama menginap.",positif,positif,positif,positif,positif,positif,none,"fasilitasnya bagus, menampilkan kamar yang luas dengan air panas dan tempat parkir yang nyaman.",kebersihannya terbaik,stafnya ramah dan penuh perhatian,menawarkan nilai luar biasa,lokasinya yang strategis,fasilitasnya bagus menampilkan kamar yang luas dengan air panas dan tempat parkir,,train
24,Agoda,Hotel Santika Bandung,11/6/2025,"overall hotel ini recomended, mulai dari pelayanan, makanan, dan lokasinya, kalau harganya relatif pas. satu hal yang selalu saya sukai dari menginap di santika adalah variasi makanan yang tersedia, baik tradisional maupun western, serta rasanya yang menggugah selera.",none,none,positif,positif,positif,none,positif,,,pelayanan,harganya relatif pas,lokasinya,,variasi makanan yang tersedia baik tradisional maupun western serta rasanya yang menggugah selera,train
25,Agoda,Hotel Santika Bandung,11/5/2025,"nyaman, dimana-mana bersih. toiletnya berbau harum. saran: cat ulang pintu kamar mandi agar terlihat lebih segar.",negatif,positif,none,none,none,none,none,cat ulang pintu kamar mandi agar terlihat lebih segar,dimana-mana bersih. toiletnya berbau harum,,,,,,train
26,Agoda,Hotel Santika Bandung,11/2/2025,sejauh ini bagus untuk menginap,none,none,none,none,none,none,none,,,,,,,,train
27,Agoda,Hotel Santika Bandung,10/27/2025,bagus location. meskipun hotel yang sedikit berumur tapi masih terawat dan bersih. cocok untuk tinggal bersama keluarga.,none,positif,none,none,positif,none,none,,masih terawat dan bersih,,,bagus location,,,train
28,Agoda,Hotel Santika Bandung,10/27/2025,untuk ruangan dan fasilitasnya sudah bagus. hanya perlu meningkatkan makanan untuk sarapan dan pencahayaan ruangan.,negatif,none,none,none,none,positif,negatif,pencahayaan ruangan,,,,,ruangan dan fasilitasnya sudah bagus,perlu meningkatkan makanan untuk sarapan,train
29,Agoda,Hotel Santika Bandung,10/24/2025,"hotel terjangkau di lokasi strategis. ruangan itu luas dan tempat tidur nyaman. tapi kamar dan furniturnya cukup kuno, air conditioner tidak bisa diatur, dan handuknya terlalu tipis dan tua. semua staf baik dan cepat tanggap dalam menangani pertanyaan.",netral,none,positif,positif,positif,negatif,none,ruangan itu luas dan tempat tidur nyaman. tapi kamar dan furniturnya cukup kuno,,semua staf baik dan cepat tanggap dalam menangani pertanyaan,hotel terjangkau,lokasi strategis,air conditioner tidak bisa diatur dan handuknya terlalu tipis dan tua,,train
30,Agoda,Hotel Santika Bandung,10/8/2025,"hotel lama yang nyaman, dan dekat dari outlet di jalan riau dan mudah cari makanan, bagus",positif,none,none,none,positif,none,none,hotel lama yang nyaman,,,,dekat dari outlet di jalan riau dan mudah cari makanan,,,train
31,Agoda,Hotel Santika Bandung,10/6/2025,nikmati tinggal di pusat kota,none,none,none,none,positif,none,none,,,,,tinggal di pusat kota,,,train
32,Agoda,Hotel Santika Bandung,9/18/2025,"pengalaman saya secara umum sangat baik di hotel ini. baru pertama kali menginap disini itu pun karena kehabisan hotel lain di weekend dan memang dadakan baru cari di hari h. memang gedung lama tapi lokasi sangat baik di tengah kota jadi sangat strategis kalau mau kemana2, kamar terbilang luas, feels bed pun sangat enak dan sekalipun double twin dijadikan satu tidak berasa ada lubang di tengah2. yang paling highlight buat saya adalah breakfast karena jenis makanannya banyak dan rasanya pun enak2, plusnya lagi saya mendapat compliment breakfast untuk anak saya yang berusia 8. compliment karena seharusnya bayar menurut staf restaurant tapi waktu check in di info anak hingga usia 8 masih gratis. sepertinya perlu disepakati lagi dalam management. tapi terima kasih anyway for the compliment.",positif,none,netral,positif,positif,none,positif,kamar terbilang luas feels bed pun sangat enak,,karena seharusnya bayar menurut staf restaurant tapi waktu check in di info anak,di info anak hingga usia 8 masih gratis,lokasi sangat baik di tengah kota jadi sangat strategis,,jenis makanannya banyak dan rasanya pun enak2,train
33,Agoda,Hotel Santika Bandung,9/13/2025,lokasi bagus dan pelayanan bagus,none,none,positif,none,positif,none,none,,,pelayanan bagus,,lokasi bagus,,,validation
34,Agoda,Hotel Santika Bandung,9/11/2025,"saya pesan kamar ini untuk ayah saya saya, dan ayah saya suka dengan hotel ini",none,none,none,none,none,none,none,,,,,,,,train
35,Agoda,Hotel Santika Bandung,9/11/2025,"saya pesan kamar ini untuk ayah saya, dan ayah saya menyukainya",none,none,none,none,none,none,none,,,,,,,,train
36,Agoda,Hotel Santika Bandung,9/8/2025,"hotel butik ini hanya berjarak 100 meter dari stasiun kereta bandara. pelayanannya ramah dan sebanding dengan hotel bintang lima, dan semua staf fasih berbahasa inggris. desain kamarnya cukup unik, dengan tabung di kamar mandi menghadap ke jendela. sayangnya kolam renangnya kecil. menu makanan dalam kamar bervariasi, enak, dan harga cukup bersaing dengan restoran di platinum mall. tersedia antar-jemput tuktuk gratis ke stasiun kereta. secara keseluruhan, ini adalah pengalaman menginap yang sangat menyenangkan, dan saya berharap untuk kembali lagi di masa mendatang.",netral,none,positif,positif,positif,negatif,positif,"desain kamarnya cukup unik, dengan tabung di kamar mandi menghadap ke jendela.",,pelayanannya ramah dan sebanding dengan hotel bintang lima,harga cukup bersaing dengan restoran di platinum mall,hanya berjarak 100 meter dari stasiun kereta bandara,kolam renangnya kecil,menu makanan dalam kamar bervariasi enak,train
37,Agoda,Hotel Santika Bandung,9/8/2025,"parkir dibasement tidak sempit muat sekitar 25-30 mobil. sarapan baik, kacang ijo bubur sumsum selalu ada. tradisional food. dekat dengan bip tinggal nyebrang dan mall yogya disebrang kanannya. saya dapat di kamar 427, kamar executive tapi air conditioner kurang dingin. ada ruang duduk sama televisi tambahan kecil di depan tapi kurang efektif mending dikasih kasur 1 lagi",negatif,none,none,none,positif,positif,positif,air conditioner kurang dingin,,,,dekat dengan bip tinggal nyebrang dan mall yogya disebrang kanannya,parkir dibasement tidak sempit muat sekitar 25-30 mobil,sarapan baik kacang ijo bubur sumsum selalu ada,train
38,Agoda,Hotel Santika Bandung,9/2/2025,"hotel tua yang bersih, tapi pelayanannya bagus. saya menikmati sarapan saya yang lezat dan jamu wedang sekang. saya akan mempertimbangkan ini lagi jika saya berada di sekitar area tersebut",negatif,positif,positif,none,none,none,positif,"hotel tua yang bersih, tapi pelayanannya bagus.",hotel tua yang bersih,pelayanannya bagus,,,,sarapan saya yang lezat dan jamu wedang sekang,validation
39,Agoda,Hotel Santika Bandung,8/21/2025,"hotel ini dihuni oleh kelelawar. dinding hotel seperti terlihat di foto kotoran kelelawar di lantai. gymnya satu-satunya treadmill yang rusak, pergelangan kaki saya hampir terkilir saat menggunakannya. papan langkah di bawah mekanisme rusak ketika anda menginjaknya dengan goyah. tidak ada barbel yang dipasang dengan benar. untuk meluruskannya. lebih baik tutup gym gunakan ruang itu untuk hal lain",none,negatif,none,none,none,negatif,none,,kotoran kelelawar di lantai,,,,gymnya satu-satunya treadmill yang rusak,,train
40,Agoda,Hotel Santika Bandung,8/14/2025,"akomodasi ini menawarkan nilai yang sangat baik dengan lokasi yang strategis dan kebersihan yang terjaga. stafnya sangat ramah dan membantu, membuat pengalaman menjadi lebih menyenangkan. fasilitas yang tersedia juga memuaskan, cocok untuk berbagai kebutuhan. secara keseluruhan, ini adalah tempat yang sangat direkomendasikan bagi siapapun yang mencari kenyamanan dan pelayanan terbaik selama menginap.",none,positif,positif,positif,positif,positif,none,,kebersihan yang terjaga,stafnya sangat ramah dan membantu,menawarkan nilai yang sangat baik,lokasi yang strategis,fasilitas yang tersedia juga memuaskan,,validation
41,Agoda,Hotel Santika Bandung,8/8/2025,secara keseluruhan bagus,none,none,none,none,none,none,none,,,,,,,,test
42,Agoda,Hotel Santika Bandung,8/3/2025,menginap di santika akan membuat anda nyaman dengan lokasinya yang tepat berada di pusat kota bandung yang ramai.,positif,none,none,none,positif,none,none,di santika akan membuat anda nyaman dengan lokasinya yang tepat berada di pusat kota,,,,lokasinya yang tepat berada di pusat kota bandung,,,train
43,Agoda,Hotel Santika Bandung,7/29/2025,"kamarnya luas, rapi dan bersih, kamar mandi juga bersih",positif,positif,none,none,none,none,none,kamarnya luas rapi,kamarnya luas rapi dan bersih kamar mandi juga bersih,,,,,,train
44,Agoda,Hotel Santika Bandung,7/26/2025,"letaknya di lokasi yang sangat bagus, di seberang riau junction dan dekat bandung indah plaza dengan banyak tempat makan. kamarnya luas dan sarapannya enak. staf sangat membantu dan ramah, layanan pelanggan terbaik. ini adalah hotel yang akan saya kembalikan setiap kali saya pergi ke bandung.",positif,none,positif,none,positif,none,positif,kamarnya luas,,staf sangat membantu dan ramah layanan pelanggan terbaik,,letaknya di lokasi yang sangat bagus di seberang riau junction dan dekat bandung indah plaza,,sarapannya enak,train
45,Agoda,Hotel Santika Bandung,7/12/2025,tarif bagus lokasi bagus,none,none,none,positif,positif,none,none,,,,tarif bagus,lokasi bagus,,,train
46,Agoda,Hotel Santika Bandung,7/12/2025,"tarif bagus, lokasi bagus, staf ramah",none,none,positif,positif,positif,none,none,,,staf ramah,tarif bagus,lokasi bagus,,,test
47,Agoda,Hotel Santika Bandung,7/10/2025,"nyaman, bersih, fasilitas lengkap, lokasi strategis. kalau ke bandung mau stay di hotel ini lagi",none,positif,none,none,positif,positif,none,,bersih,,,lokasi strategis,fasilitas lengkap,,train
48,Agoda,Hotel Santika Bandung,7/8/2025,"hotelnya bersih dengan fasilitas yang terpelihara dengan baik. yang benar-benar menonjol adalah layanan terbaiknya - mulai dari pelayan, resepsionis, hingga tim f b, setiap anggota staf benar-benar ramah dan profesional. meskipun furnitur dan kamar mandinya perlu ditingkatkan agar sesuai dengan keunggulan hotel di area lain, secara keseluruhan pengalaman menginap ini menyenangkan dan terpuji.",negatif,positif,positif,none,none,positif,none,furnitur dan kamar mandinya perlu ditingkatkan,hotelnya bersih dengan fasilitas yang terpelihara dengan baik,layanan terbaiknya mulai dari pelayan resepsionis hingga tim f b setiap anggota staf benar-benar ramah,,,hotelnya bersih dengan fasilitas yang terpelihara dengan baik.,,test
49,Agoda,Hotel Santika Bandung,7/8/2025,"hotel tua tapi nyaman untuk ditinggali. terasa homey, lobi dan restorannya bikin betah. terdapat fasilitas sepeda gratis. saya pakai bersama kedua anak saya untuk jalan-jalan keliling, mengunjungi sate dan factory outlet terdekat, jalan-jalan. nyaman dan strategis. sarapannya biasa saja, dengan pilihan makanan tradisional yang cukup lengkap. tersedia bakery, snack gurih, kopi mesin espresso, bubur ketan, mie, dan salad lengkap. kamarnya bersih dan tvnya baik, besar. kita seharusnya tinggal di sini selama 2 malam. dekat dengan supermarket, martadinata. cocok untuk nongkrong, bip. lain kali kami akan kembali ke sini lagi. kebetulan harganya murah di hari biasa. weekend masih standar. terima kasih santika. stafnya ramah.",positif,positif,positif,positif,positif,positif,netral,hotel tua tapi nyaman untuk ditinggali. terasa homey,kamarnya bersih,stafnya ramah,harganya murah di hari biasa,nyaman dan strategis,terdapat fasilitas sepeda gratis,sarapannya biasa saja dengan pilihan makanan tradisional yang cukup lengkap,train
50,Agoda,Hotel Santika Bandung,7/5/2025,staf yang kami temui sangat luar biasa termasuk general manager yang mendekati kami di lobi untuk mengobrol tentang waktu kami di bandung. nilai yang sangat bagus dan kami selalu senang menginap di properti santika karena alasan ini.,none,none,positif,positif,none,none,none,,,staf yang kami temui sangat luar biasa termasuk general manager,nilai yang sangat bagus,,,,train
51,Agoda,Hotel Santika Bandung,6/30/2025,selalu puas menginap disini. tempat tidur yang sangat bagus.,positif,none,none,none,none,none,none,tempat tidur yang sangat bagus,,,,,,,train
52,Agoda,Hotel Santika Bandung,6/26/2025,"saya nyaman menginap di hotel jnj. meskipun menurut saya kopinya kurang rasa, ketika saya meminta kopi yang lebih kuat, staf segera menyediakannya.",positif,none,positif,none,none,none,negatif,saya nyaman menginap di hotel jnj.,,staf segera menyediakannya,,,,kopinya kurang rasa,train
53,Agoda,Hotel Santika Bandung,6/18/2025,semua fasilitas dan layanan staf baik,none,none,positif,none,none,positif,none,,,layanan staf baik,,,semua fasilitas,,train
54,Agoda,Hotel Santika Bandung,6/15/2025,"selalu nyaman menginap di hotel ini, lokasi prima dikelilingi pusat perbelanjaan dan makanan. pelayanan hotel dan kamarnya sangat baik. kamarnya luas dan bersih. sarapan yang beragam dan lezat. tidak perlu ragu lagi memilih santika jalan sumatera sebagai pilihan saat menginap di bandung.",positif,positif,positif,none,positif,none,positif,kamarnya luas,kamarnya luas dan bersih,pelayanan hotel dan kamarnya sangat baik,,lokasi prima dikelilingi pusat perbelanjaan dan makanan,,sarapan yang beragam dan lezat,validation
55,Agoda,Hotel Santika Bandung,6/11/2025,nilai untuk uang. meskipun agak tua tapi terawat dengan baik dan lokasinya bagus,none,none,none,positif,positif,none,none,,,,nilai untuk uang,lokasinya bagus,,,train
56,Agoda,Hotel Santika Bandung,6/4/2025,"hotel dengan bangunan klasik dan vintage yang berlokasi di pusat kota bandung. untuk lokasi tidak perlu diragukan lagi karena sangat strategis. bangunan hotel sudah cukup berumur dengan interior di dalamnya termasuk kamar yang sudah cukup outdated dan perlu segera ada refurbishment. tapi overall kualitas tempat tidur, bantal dan duvet tetep baik punya. kebersihannya pun juga cukup terjaga dengan baik. air conditioner rasanya kurang dingin karena menggunakan pengaturan air conditioner model lama, untungnya kota bandung by default kalau malam cukup sejuk udaranya. overall baik banget menginap di sini dengan harga yang reasonable pula sudah termasuk sarapan.",negatif,positif,none,positif,positif,none,netral,air conditioner rasanya kurang dingin,kebersihannya pun juga cukup terjaga dengan baik,,harga yang reasonable pula sudah termasuk sarapan,untuk lokasi tidak perlu diragukan lagi karena sangat strategis,,overall baik banget menginap di sini dengan harga yang reasonable pula sudah termasuk sarapan.,train
57,Agoda,Hotel Santika Bandung,6/1/2025,tinggal di sini selama 1 malam tapi satu hal yang pasti adalah hotel ini bernilai uang dan memiliki makanan enak untuk sarapan!,none,none,none,positif,none,none,positif,,,,hotel ini bernilai uang,,,makanan enak untuk sarapan,train
58,Agoda,Hotel Santika Bandung,5/25/2025,perlu direnovasi juga lama mendapat lingkungan sehat karena tempatnya kumuh,negatif,none,none,none,none,none,none,perlu direnovasi juga lama mendapat lingkungan sehat karena tempatnya kumuh,,,,,,,validation
59,Agoda,Hotel Santika Bandung,5/14/2025,"letaknya strategis, semua staf ramah, ruangan sangat besar (saya menginap di kamar executive). dan surprise juga pas diinfo saat cek in kalau sudah dapat paket makan malam dan sarapan. makananya lumayan enak.",positif,none,positif,none,positif,none,positif,ruangan sangat besar,,semua staf ramah,,letaknya strategis,,makananya lumayan enak,train
60,Agoda,Hotel Santika Bandung,5/10/2025,"staf sangat penuh perhatian, tidak pernah membiarkan kami membawa barang bawaan kami ke dan dari kamar kami. mampu memenuhi permintaan kami setiap saat. lokasi bagus dan banyak restoran di dekatnya.",none,none,positif,none,positif,none,none,,,staf sangat penuh perhatian tidak pernah membiarkan kami membawa barang bawaan,,lokasi bagus dan banyak restoran di dekatnya,,,train
61,Agoda,Hotel Santika Bandung,5/8/2025,"saya baru-baru ini menginap di hotel santika bandung. seperti biasa, santika tetap menjaga reputasinya sebagai hotel yang sudah lama berdiri dengan fasilitas yang terawat dan suasana yang nyaman. menu sarapannya cukup enak dan menawarkan berbagai pilihan yang enak. namun, kali ini saya sedikit kecewa. saya telah memesan kamar dengan satu tempat tidur besar, tetapi malah diberikan dua tempat tidur single yang disatukan, yang mempengaruhi kenyamanan menginap secara keseluruhan.",positif,none,negatif,none,none,positif,positif,yang terawat dan suasana yang nyaman,,diberikan dua tempat tidur single yang disatukan yang mempengaruhi kenyamanan,,,fasilitas yang terawat,menu sarapannya cukup enak dan menawarkan berbagai pilihan yang enak,train
62,Agoda,Hotel Santika Bandung,5/4/2025,"grup santika adalah salah satu hotel favorit saya untuk menginap di indonesia. lokasi bagus, staf membantu, kamar bersih dan besar, sarapan lengkap dan enak, dan harga terjangkau.",positif,positif,positif,positif,positif,none,positif,kamar bersih dan besar,kamar bersih,staf membantu,harga terjangkau,lokasi bagus,,sarapan lengkap dan enak,train
63,Agoda,Hotel Santika Bandung,5/2/2025,"saya suka suasana, staf yang ramah, dekat dengan pusat perbelanjaan legenda dan tidur yang nyenyak. satu hal yang mengganggu saya adalah (tidak yakin) burung atau kelelawar berjatuhan di area aula. kelihatannya seperti terjatuh tapi saya tidak yakin, semoga kunjungan berikutnya tanda itu bersih",positif,negatif,positif,none,positif,none,none,tidur yang nyenyak,burung atau kelelawar berjatuhan di area aula,staf yang ramah,,dekat dengan pusat perbelanjaan legenda,,,train
64,Agoda,Hotel Santika Bandung,4/22/2025,"makanannya enak, stafnya sangat membantu, kamarnya bagus, hanya beberapa furnitur yang perlu diganti",negatif,none,positif,none,none,none,positif,beberapa furnitur yang perlu diganti,,stafnya sangat membantu,,,,makanannya enak,train
65,Agoda,Hotel Santika Bandung,4/21/2025,sangat recomend bagi yang ingin dekat kemana-mana di bandung,none,none,none,none,positif,none,none,,,,,dekat kemana-mana di bandung,,,validation
66,Agoda,Hotel Santika Bandung,4/11/2025,lokasi terbaik dan hotel nyaman untuk menjelajahi kota bandung,positif,none,none,none,positif,none,none,lokasi terbaik dan hotel nyaman untuk menjelajahi kota bandung,,,,lokasi terbaik,,,validation
67,Agoda,Hotel Santika Bandung,4/11/2025,"selalu senang menginap di hotel santika bandung, stafnya ramah dan baik dalam pelayanan. kamarnya bersih, fasilitasnya lengkap. lokasi dikelilingi pusat perbelanjaan dan kuliner. sarapannya lengkap, bervariasi, dan juga enak. saya tidak pernah bosan tinggal di sini.",none,positif,positif,none,positif,positif,positif,,kamarnya bersih,stafnya ramah dan baik dalam pelayanan,,lokasi dikelilingi pusat perbelanjaan dan kuliner,fasilitasnya lengkap,sarapannya lengkap bervariasi dan juga enak,train
68,Agoda,Hotel Santika Bandung,4/7/2025,"lokasi strategis, dekat pusat perbelanjaan. kamar nyaman. staf ramah. makanan enak.",positif,none,positif,none,positif,none,positif,kamar nyaman.,,staf ramah,,lokasi strategis dekat pusat perbelanjaan,,makanan enak,train
69,Agoda,Hotel Santika Bandung,4/6/2025,"menginap disini 3 malam strategis banget, di sekitar banyak food street tapi karena lebaran banyak yang tutup. kamar bersih dan nyaman, air conditioner dan air panas berfungsi dengan baik, sarapan bervariasi, dan staf sangat ramah dari pintu masuk hingga housekeeping.",positif,positif,positif,none,positif,none,positif,kamar bersih dan nyaman air conditioner dan air panas berfungsi dengan baik,kamar bersih,staf sangat ramah dari pintu masuk hingga housekeeping,,strategis banget di sekitar banyak food street,,sarapan bervariasi,train
70,Agoda,Hotel Santika Bandung,4/5/2025,"akomodasi hotel ini cocok untuk keluarga yang menikmati ketenangan; tempatnya sejuk dan tenang. fasilitas standar tidak termasuk pengering rambut, dan dekat dengan bip mall dan riau junction. sekadar saran, harap ditambah lagi pilihan menu sarapannya. terima kasih: )",positif,none,none,none,positif,negatif,negatif,tempatnya sejuk dan tenang,,,,dekat dengan bip mall dan riau junction,fasilitas standar tidak termasuk pengering rambut,harap ditambah lagi pilihan menu sarapannya,test
71,Agoda,Hotel Santika Bandung,3/28/2025,tepat di tengah-tengah antara kota dan bandara.,none,none,none,none,positif,none,none,,,,,tepat di tengah-tengah antara kota dan bandara,,,train
72,Agoda,Hotel Santika Bandung,3/23/2025,makanan enak dekat kompleks perbelanjaan,none,none,none,none,positif,none,positif,,,,,dekat kompleks perbelanjaan,,makanan enak,train
