ID_Review,aspect,original_label,v3_label,Platform,Nama_Hotel,Review_Date,Text_Review,original_reason,v3_reason
2311,Kenyamanan,none,positif,Agoda,Hotel Santika Cirebon,10/28/2013,"kamar yang sangat nyaman, staf yang sangat raman, dan makanan yang lezat untuk dinikmati",,"kamar yang sangat nyaman, staf yang sangat raman, dan makanan yang lezat untuk dinikmati"
2468,Kenyamanan,none,positif,Agoda,Hotel Santika Depok,3/29/2026,kenyamanan untuk keluarga dan kebersihan juga tempatnya strategis,,kenyamanan untuk keluarga dan kebersihan juga tempatnya strategis
2558,Kenyamanan,none,positif,Agoda,Hotel Santika Depok,11/13/2020,"hotelnya bagus seperti kamarnya luas, lokasi strategis dekat dengan mall, tempat parkir dan rapi, proses check-in cukup cepat.",,"hotelnya bagus seperti kamarnya luas, lokasi strategis dekat dengan mall, tempat parkir dan rapi, proses check-in cukup cepat."
2860,Kenyamanan,netral,positif,Agoda,Hotel Santika Depok,3/22/2017,"lokasi di mall dengan banyak pilihan restoran bahkan departemen store. air minum yang disediakan lebih banyak dari standar hotel lain, yaitu 4 botol dengan ukuran sedang. kenyamanan tidur sangat memuaskan dengan bed yang sangat nyaman dan 2 bantal yang nyaman di masing masing bed (twin). kondisi kamar sangat bersih dan fasilitas kamar mandi juga lengkap. yang cukup mengganggu adalah suhu air shower yang sangat tidak stabil, panas dingin bergantian. namun yang paling mengecewakan untuk kami adalah fasilitas wi-fi yang amat sangat lambat, bahkan tidak bisa kami gunakan sama sekali.",kenyamanan tidur sangat memuaskan dengan bed yang sangat nyaman. yang cukup mengganggu adalah suhu air shower yang sangat tidak stabil,kenyamanan tidur sangat memuaskan dengan bed yang sangat nyaman dan 2 bantal yang nyaman di masing masing bed (twin).
3585,Kenyamanan,none,positif,Tiket,Hotel Santika Bandung,12/6/2025,"bagus, bersih, nyaman. top pokoknya",,"bagus, bersih, nyaman."
4662,Kenyamanan,none,positif,Tiket,Hotel Santika Mega City Bekasi,6/24/2022,fantastis sekali bersih nyaman lah pkkoknya,,fantastis sekali bersih nyaman lah pkkoknya
5383,Kenyamanan,none,positif,Tiket,Hotel Santika Bogor,4/15/2022,"bagus nyaman sopan, dan ramah, tingkatkan lagu",,"bagus nyaman sopan, dan ramah, tingkatkan lagu"
5422,Kenyamanan,positif,none,Tiket,Hotel Santika Bogor,4/29/2021,"bagus, rapih, bersih deket dengan mall",rapih,
5467,Kenyamanan,negatif,none,Tiket,Hotel Santika Bogor,4/1/2018,"kami menginap di kamar 616. saluran pembuangan shower lambat meskipun kotoran/rambut sudah dibersihkan oleh staf hotel. lokasi hotel cukup bagus, memiliki akses langsung ke pusat perbelanjaan botany square. dan botanic. ",saluran pembuangan shower lambat,
5488,Kenyamanan,netral,positif,Tiket,Hotel Santika Cirebon,11/20/2025,"baik untuk frontliner, service dari team di resto, kamar lega dingin amenities baik, hotel aga tua tapi tetep nyaman overall hanya dari interior design ada mark atau kerusakan sedikit2 saja tapi tidak mempengaruhi kenyamanan. cuma yang sangat kurang adalah saya menginap di kamar 305, kenyamanan saat tidur sangat kurang karena di kamar berisik sekali bunyi mesin gitu entah dari air conditioner atau apa didalam kamar dan membuat tidur tidak nyenyak dan itu terjadi di malam hari. sudah disampaikan ke frontliner tapi tidak ada tanggapan lebih lanjut hanya memastikan ""tapi dingin kan bu"". yaudah itu aja. ",hotel aga tua tapi tetep nyaman. di kamar berisik sekali bunyi mesin,"baik untuk frontliner, service dari team di resto, kamar lega dingin amenities baik, hotel aga tua tapi tetep nyaman overall hanya dari interior design ada mark atau kerusakan sedikit2 saja tapi tidak mempengaruhi kenyamanan."
5984,Kenyamanan,none,positif,Traveloka,Hotel Santika Bandung,2/12/2025,"nyaman, lokasi strategis, receptionist nya ramah banget",,"nyaman, lokasi strategis, receptionist nya ramah banget"
6468,Kenyamanan,positif,none,Traveloka,Hotel Santika Bandung,12/27/2017,"old fashioned hotel tapi terpelihara dengan baik. lokasi yang strategis, di samping mal bip dan hanya berjarak ratusan meter ke taman lalu lintas.",terpelihara dengan baik,
6487,Kenyamanan,none,positif,Traveloka,Hotel Santika Bandung,12/6/2017,"lokasi strategis, sangat bersih dan nyaman. pelayanan ramah dan cepat. breakfast enak dan banyak menunya. saya puas.",,"lokasi strategis, sangat bersih dan nyaman."
7120,Kenyamanan,netral,positif,Traveloka,Hotel Santika Bandung,8/19/2015,"ramah, nyaman hanya terlalu bebas untuk smoking: (","ramah, nyaman","ramah, nyaman hanya terlalu bebas untuk smoking: ("
7505,Kenyamanan,none,positif,Traveloka,Hotel Santika Bogor,11/29/2023,"hotelnya sangat bagus, kamarnya sangat memuaskan. apalagi waktu sarapan pagi. menu komplit dan enak-enak banget. pelayanannya juga ramah-ramah dan selalu full senyum maze.",,"hotelnya sangat bagus, kamarnya sangat memuaskan."
7508,Kenyamanan,none,positif,Traveloka,Hotel Santika Bogor,11/1/2023,"tempatnya strategis, kamar bersih, karyawan staf hotelnya ramah. anak anak pengalaman baru ada bioskop film anak anak di sore hari sangat terhibur. liburan yang berkesan.",,"tempatnya strategis, kamar bersih, karyawan staf hotelnya ramah."
7633,Kenyamanan,none,positif,Traveloka,Hotel Santika Bogor,8/24/2022,nyaman dan sarapan pagi yang nikmat.,,nyaman dan sarapan pagi yang nikmat.
7652,Kenyamanan,none,positif,Traveloka,Hotel Santika Bogor,6/15/2022,"menyenangkan. kamar bersih, sarapan baik, dekat dengan mall.",,"kamar bersih, sarapan baik, dekat dengan mall."
7854,Kenyamanan,none,positif,Traveloka,Hotel Santika Bogor,10/14/2020,"saat pertama check in perlengkapan mandi tidak ada. bahkan gula pasirnya keras, kami pikir layanan kamar akan datang nanti untuk diisi karena mungkin ini adalah kebijakan hotel. keesokan harinya saya meminta untuk bersih-bersih, kemudian mereka memberikan perlengkapan mandi yang layak dan kopi sachet. tidak ada parkir gratis untuk tamu, tempat parkir terbatas dan mereka menunjukkan mal di dekat taman dan masih tidak ada parkir gratis",,"keesokan harinya saya meminta untuk bersih-bersih, kemudian mereka memberikan perlengkapan mandi yang layak dan kopi sachet."
7989,Kenyamanan,none,positif,Traveloka,Hotel Santika Bogor,9/4/2019,"tempat sangat strategis, parkinya mudah, check-in cepat. pelayanan sangat ramah, handuk sprei dan bersih. air conditioner dan water heater berfungsi dengan baik, tapi tidak ada hair dryer.",,"air conditioner dan water heater berfungsi dengan baik, tapi tidak ada hair dryer."
8022,Kenyamanan,none,positif,Traveloka,Hotel Santika Bogor,6/19/2019,"hari pertama, kedua dan ketiga begitu nyaman. namun, akhirnya kecewa dengan sikap dan tindakan resepsionis pada saat ingin extend, akhirnya saya check-out, kenyamanan sebelumnya di akhiri dengan kekecewaan.",,"hari pertama, kedua dan ketiga begitu nyaman."
8040,Kenyamanan,none,negatif,Traveloka,Hotel Santika Bogor,6/12/2019,"kamar yang cukup baik untuk tidak kecil, dan varian untuk sarapan sedikit kurang, rasanya cukup. kolam kecil yang tenang tapi stafnya sangat ramah secara keseluruhan hotel ini bagus dan membuat liburan saya hampir sempurna terima kasih santika bogor",,"kamar yang cukup baik untuk tidak kecil, dan varian untuk sarapan sedikit kurang, rasanya cukup."
8952,Kenyamanan,none,positif,Traveloka,Hotel Santika Cirebon,6/19/2024,"menginap satu malam di hotel santika cirebon sangat menyenangkan. untuk kamar bersih, untuk sarapan the best, banyak pilihan.",,"untuk kamar bersih, untuk sarapan the best, banyak pilihan."
9298,Kenyamanan,none,positif,Traveloka,Hotel Santika Cirebon,11/7/2018,"lokasi strategis, kamar baik, kebersihan baik, pokoknya the best lah",,"lokasi strategis, kamar baik, kebersihan baik, pokoknya the best lah"
9361,Kenyamanan,none,positif,Traveloka,Hotel Santika Cirebon,5/16/2018,"tempatnya cukup strategis, kamar bersih dan rapi. recommended bagi yang bawa keluarga.",,"tempatnya cukup strategis, kamar bersih dan rapi."
9515,Kenyamanan,none,positif,Traveloka,Hotel Santika Cirebon,6/21/2017,"tempat strategis, parkiran luas, kamar bersih. good",,"tempat strategis, parkiran luas, kamar bersih."
9696,Kenyamanan,positif,none,Traveloka,Hotel Santika Cirebon,8/17/2016,saya suka hotel dengan nuansa alami.,saya suka hotel dengan nuansa alami,
10272,Kenyamanan,negatif,none,Traveloka,Hotel Santika Depok,4/28/2021,"bagus, tapi peralatan sudah kuno",peralatan sudah kuno,
10435,Kenyamanan,none,positif,Traveloka,Hotel Santika Depok,6/26/2019,"lokasi baik mudah akses ke dmall, tetapi menurut saya kondisi fasilitas hotel (seperti kolam renang, gym) dan kondisi kamar (seperti furniture, luas kamar, dan kebersihan kamar) tidak sesuai dengan harga yang diberikan.",,"lokasi baik mudah akses ke dmall, tetapi menurut saya kondisi fasilitas hotel (seperti kolam renang, gym) dan kondisi kamar (seperti furniture, luas kamar, dan kebersihan kamar) tidak sesuai dengan harga yang diberikan."
10570,Kenyamanan,positif,none,Traveloka,Hotel Santika Depok,1/9/2019,pemandangan gunung yang indah dari jendela saya. sarapan yang luar biasa. lokasi yang bagus. harga yang pantas,pemandangan gunung yang indah dari jendela saya,
11135,Kenyamanan,positif,none,Traveloka,Hotel Santika Depok,1/18/2017,"lokasinya strategis, mudah diakses dengan berbagai alternatif kendaraan dengan staf yang ramah dan ruangan yang bersih.",ruangan yang bersih,
11468,Kenyamanan,none,positif,Traveloka,Hotel Santika Depok,2/3/2016,"pelayan baik, kamar baik, makanan baik.",,"pelayan baik, kamar baik, makanan baik."
11939,Kenyamanan,none,negatif,Traveloka,Hotel Santika Mega City Bekasi,5/15/2024,"pelayan baik, kebersihan baik banget. cuma view-nya kurang menarik. makanan juga enak kok.",,cuma view-nya kurang menarik.
12126,Kenyamanan,positif,none,Traveloka,Hotel Santika Mega City Bekasi,9/8/2021,menyenangkan. sesuai kelas nya. semua baik banget. bersih.,menyenangkan sesuai kelasnya semua baik banget bersih,
12145,Kenyamanan,none,negatif,Traveloka,Hotel Santika Mega City Bekasi,6/2/2021,"puas banget sama pelayanan, kebersihan dan fasilitasnya. cuma pas di kamar saya air conditioner nya kurang dingin padahal temperatur sudah paling kecil. overall baik kok tapi! bakal staycation ke sini lagi next time.",,cuma pas di kamar saya air conditioner nya kurang dingin padahal temperatur sudah paling kecil.
12415,Kenyamanan,netral,positif,Traveloka,Hotel Santika Mega City Bekasi,7/10/2019,"hari pertama di hotel ini kesannya cukup enak. kebetulan karena type kamar yang kami pesan habis, kamar kami diupdgrade ke type deluxe. pertama kali masuk kamar memang berasa air conditioner kurang dingin (sesuai ulasan review dari orang-orang). karena sudah cukup malam kami malas komplain dan biarkan saja, syukurlah tambah malam tambah dingin, letak hotel di pusat kota, dekat dengan stasiun, lobby-nya di lantai 5 mega mal giant, pelayanan ramah, security ramah, makanan cukup lah variannya. butuh kebutuhan apa apa tinggal turun ada giant, atm dan lain-lain lengkap. dan akhirnya kita memutuskan extend lagi.",air conditioner kurang dingin,"karena sudah cukup malam kami malas komplain dan biarkan saja, syukurlah tambah malam tambah dingin, letak hotel di pusat kota, dekat dengan stasiun, lobby-nya di lantai 5 mega mal giant, pelayanan ramah, security ramah, makanan cukup lah variannya."
12627,Kenyamanan,none,positif,Traveloka,Hotel Santika Mega City Bekasi,1/2/2019,"pelayanannya bagus, hotelnya bersih, kolam renangnya nyaman.",kolam renangnya nyaman,kolam renangnya nyaman
13770,Kenyamanan,none,negatif,Traveloka,Hotel Santika Tasikmalaya,10/11/2023,"senang staycation di hotel santika, sudah langganan kalau lagi ke tasikmalaya, cuma pesan kamar yang non smoking di kasih smoking room.",kamar bau rokok,kamar bau rokok
14283,Kenyamanan,positif,none,Traveloka,Hotel Santika Tasikmalaya,11/15/2017,"pelayanan yang ramah, menu sarapan sangat beragam, check in dan check out dengan proses yang mudah dan cepat. shower besar.",,
14679,Kenyamanan,positif,none,Traveloka,Hotel Santika Tasikmalaya,8/19/2015,"sangat berkesan untuk tempat istirahat, lokasi yang sangat strategis",sangat berkesan untuk tempat istirahat,
105,Kebersihan,netral,positif,Agoda,Hotel Santika Bandung,8/19/2024,"hotel yang termasuk sudah legendaris ini terletak di pusat kota, mall hanya tinggal melangkah kesebrang, staf yang ramah, kebersihan cukup baik, hanya sedikit yang perlu diperhatikan yaitu mengganti seprai tidur yang nampak sudah tua dan ada noda yang tidak dapat dibersihkan.","kebersihan cukup baik, hanya sedikit yang perlu diperhatikan yaitu mengganti seprai tidur yang nampak sudah tua dan ada noda","hotel yang termasuk sudah legendaris ini terletak di pusat kota, mall hanya tinggal melangkah kesebrang, staf yang ramah, kebersihan cukup baik, hanya sedikit yang perlu diperhatikan yaitu mengganti seprai tidur yang nampak sudah tua dan ada noda yang tidak dapat dibersihkan."
616,Kebersihan,none,positif,Agoda,Hotel Santika Bandung,1/2/2014,"hotel yang bagus dalam servis, kebersihan dan kenyamanan",,"hotel yang bagus dalam servis, kebersihan dan kenyamanan"
836,Kebersihan,netral,positif,Agoda,Hotel Santika Bogor,8/11/2024,"lokasi bagus, dalam hal layanan staf, ini bagus dari tim fo dan dilakukan dengan baik. tapi untuk f b service pelayanannya buruk apalagi saat sarapan pagi ini tidak tersenyum dan terkesan tidak ramah. beberapa staf layanan f b tidak mengetahui beberapa item sarapan kosong dan hanya melihat sekeliling sampai saya membawakan item tersebut kepada mereka yang kosong. tidak sadar kalau meja diluar ruangan sangat kotor, hingga mengingatkan mereka untuk membersihkan meja dan menjadikannya bersih dan rapi. ayolah, anda orang yang suka menerima tamu tapi kenapa anda semua hanya melihat sekeliling dan tidak sadar dengan meja kerja anda. mohon manajemen hotel santika meninjau tim layanan f b dan menjadikannya layanan yang tulus. mungkin dalam waktu dekat pelayanan yang lebih baik terutama pada waktu sarapan.","kalau meja diluar ruangan sangat kotor, hingga mengingatkan mereka untuk membersihkan","tidak sadar kalau meja diluar ruangan sangat kotor, hingga mengingatkan mereka untuk membersihkan meja dan menjadikannya bersih dan rapi."
1988,Kebersihan,none,positif,Agoda,Hotel Santika Cirebon,8/23/2013,"ini bukan pertama kalinya saya menginap di hotel ini, dan saya juga telah menginap di beberapa santika. namun, saya harus mengatakan ini adalah saat terburuk yang pernah saya alami di santika cirebon dimana saya menemukan kamar saya penuh dengan nyamuk berdarah dan rambut di lantai. mereka sepertinya tidak memperhatikan kebersihan kamar dan kehilangan perhatian pada detail. lain kali saya mengunjungi cirebon, saya mungkin tidak akan memilih hotel ini lagi karena ada hotel bintang 4 baru (yang luar biasa) lebih murah daripada santika cirebon bintang 3.",,mereka sepertinya tidak memperhatikan kebersihan kamar dan kehilangan perhatian pada detail.
2222,Kebersihan,none,positif,Agoda,Hotel Santika Cirebon,1/3/2018,"makan pagi ok, sdh siap dari pagi kamar sblm jam 12 sudah siap mbl dicuci, good suasana dan kebersihan secara keseluruhan baik lingkungan sekitar hotel berisik",,"makan pagi ok, sdh siap dari pagi kamar sblm jam 12 sudah siap mbl dicuci, good suasana dan kebersihan secara keseluruhan baik lingkungan sekitar hotel berisik"
2429,Kebersihan,none,positif,Agoda,Hotel Santika Depok,10/8/2024,"lokasi sangat bagus dekat pusat perbelanjaan, kebersihan luar biasa dengan staf yang ramah, makanan sederhana namun lezat",,"lokasi sangat bagus dekat pusat perbelanjaan, kebersihan luar biasa dengan staf yang ramah, makanan sederhana namun lezat"
2468,Kebersihan,none,positif,Agoda,Hotel Santika Depok,3/29/2026,kenyamanan untuk keluarga dan kebersihan juga tempatnya strategis,,kenyamanan untuk keluarga dan kebersihan juga tempatnya strategis
3979,Kebersihan,netral,negatif,Tiket,Hotel Santika Bandung,2/21/2024,"hotel lama toilet sudah direnovasi, breakfast lumayan minusnya sprei dan handuk sudah agak lusuh, sangat kurang colokan listrik.",hotel lama toilet sudah direnovasi. sprei dan handuk sudah agak lusuh,"hotel lama toilet sudah direnovasi, breakfast lumayan minusnya sprei dan handuk sudah agak lusuh, sangat kurang colokan listrik."
4228,Kebersihan,none,positif,Tiket,Hotel Santika Mega City Bekasi,12/29/2025,kebersihan terjaga. layanan luar biasa.,,kebersihan terjaga.
5041,Kebersihan,none,positif,Tiket,Hotel Santika Mega City Bekasi,7/3/2020,"secara keseluruhan baik, tetap tingkatkan pelayanan prima dan kebersihan",,"secara keseluruhan baik, tetap tingkatkan pelayanan prima dan kebersihan"
5539,Kebersihan,none,positif,Tiket,Hotel Santika Cirebon,9/9/2024,kebersihan terjaga maksimal. kolam renang dengan pemandangan indah. kolam renang dengan pemandangan indah.,,kebersihan terjaga maksimal.
5618,Kebersihan,none,negatif,Tiket,Hotel Santika Cirebon,12/1/2021,pengharum ruangan? bau linen sangat menyengat sehingga saya tidak bisa tidur. ada lubang di handuk.,,bau linen sangat menyengat sehingga saya tidak bisa tidur.
8861,Kebersihan,none,negatif,Traveloka,Hotel Santika Cirebon,4/1/2026,air conditioner mati dan penghisap udara kamar mandi mati. bayangkan suasana kamarnya dan baunya? bau kotoran semerbak masuk kamar tidur anak kami. tidak ada tindakan apa-apa sesudah kami mengadu ke pihak hotel.,,bau kotoran semerbak masuk kamar tidur anak kami.
8901,Kebersihan,none,positif,Traveloka,Hotel Santika Cirebon,5/21/2025,"hotel santika memang pilihan tepat sebagai akomodasi saat melakukan perjalanan dinas. lokasinya yang berada di tengah kota membuat perjalanan dari hotel ke lokasi tujuan sangat mudah dicapai, lebih lanjut ada pelayanan tambahan karena setiap pagi dicuci secara cuma-cuma sehingga mobil kami tetap bersih sehingga terlihat professional saat sampai di kantor.",,"lokasinya yang berada di tengah kota membuat perjalanan dari hotel ke lokasi tujuan sangat mudah dicapai, lebih lanjut ada pelayanan tambahan karena setiap pagi dicuci secara cuma-cuma sehingga mobil kami tetap bersih sehingga terlihat professional saat sampai di kantor."
8943,Kebersihan,none,negatif,Traveloka,Hotel Santika Cirebon,7/31/2024,"staf ramah, cuma kenapa mobil saya aja yang tidak dicuci. resto untuk sarapan crowded dan pelayannya tidak sigap. banyak sekali piring kotor didiamkan.",,banyak sekali piring kotor didiamkan.
12145,Kebersihan,none,positif,Traveloka,Hotel Santika Mega City Bekasi,6/2/2021,"puas banget sama pelayanan, kebersihan dan fasilitasnya. cuma pas di kamar saya air conditioner nya kurang dingin padahal temperatur sudah paling kecil. overall baik kok tapi! bakal staycation ke sini lagi next time.",,"puas banget sama pelayanan, kebersihan dan fasilitasnya."
12253,Kebersihan,positif,none,Traveloka,Hotel Santika Mega City Bekasi,2/19/2020,"kamar berisp, air conditioner dingin, kamar mandi bersi, makanan cukup lengkap dan esak.",kamar bersih kamar mandi bersih,
13249,Kebersihan,negatif,none,Traveloka,Hotel Santika Mega City Bekasi,8/16/2017,"tempatnya kurang nyaman, dekat dengan mall tapi mallnya banyak tutup. terus kamar mandinya airnya menggenang.",kamar mandinya airnya menggenang,
503,Pelayanan,netral,positif,Agoda,Hotel Santika Bandung,2/1/2023,"hotel lokasi strategis, pelayanan cukup ramah, namun ada beberapa yang menjadi catatan perbaikan: 1. kondisi air conditioner panas 2. kebersihan perlu ditingkatkan",pelayanan cukup ramah,"hotel lokasi strategis, pelayanan cukup ramah, namun ada beberapa yang menjadi catatan perbaikan: 1."
562,Pelayanan,positif,none,Agoda,Hotel Santika Bandung,1/29/2016,"hotel dekat dengan pasat perbelanjaan, tempat makan. mobil di parkiran di cuci dengan gratis. variasi makanan harus di tambah.",mobil di parkiran di cuci dengan gratis,
1650,Pelayanan,none,negatif,Agoda,Hotel Santika Bogor,4/26/2012,"kami check ini terlambat, dateng jam setengah dua belas malam, tanpa basa-basi dan birokrasi yang panjang, kami langsung dapet kunci kamar. kami pilih kamar dengan bed twin walopun serasa sempit bahkan untuk 1 orang, interior kamar yang minimalis modern enak dipandang dan view gunung dan kota bogor. pagi hari kami sarapan, dengan menu yang beraneka macam dan enak2. sedikit kendala, kami tidak diberi tahu kalau mobil keluar masuk hotel, apakah kami bisa dapet voucher parkir, akhirnya keluar masuk hotel kami bayar parkir lagi selama dua hari, lumayan lah.",,"kami check ini terlambat, dateng jam setengah dua belas malam, tanpa basa-basi dan birokrasi yang panjang, kami langsung dapet kunci kamar."
1819,Pelayanan,none,positif,Agoda,Hotel Santika Cirebon,5/12/2024,"semua pelayan sangat ramah, kamar nyaman dan bersih, menu makan pagi ckup bervariasi dan enak. akses ke hotel cukup mudah dan bukan di jalur macet. dan yang sangat menarik adalah pagi pagi mobil di cuci dari pihak hotel.",,"semua pelayan sangat ramah, kamar nyaman dan bersih, menu makan pagi ckup bervariasi dan enak."
1834,Pelayanan,netral,positif,Agoda,Hotel Santika Cirebon,2/7/2024,"menginap semalam, kamarnya sangat bersih, stafnya cepat tanggap dan sangat ramah. fasilitasnya lengkap dan anda juga bisa meminta fasilitas lain seperti pengering rambut dan staf akan mengirimkannya ke kamar anda. sarapannya enak tapi tidak ada yang luar biasa tentang sarapan. tampilan hotelnya mungkin agak tua tapi secara keseluruhan sepadan dengan harganya.",lain seperti pengering rambut dan staf akan mengirimkannya ke kamar anda,"menginap semalam, kamarnya sangat bersih, stafnya cepat tanggap dan sangat ramah."
1836,Pelayanan,none,positif,Agoda,Hotel Santika Cirebon,1/25/2024,"tempat ini tidak jauh dari segalanya, terima kasih santika, mereka sangat ramah dan membantu dengan lengkap, sampai jumpa lagi",,"tempat ini tidak jauh dari segalanya, terima kasih santika, mereka sangat ramah dan membantu dengan lengkap, sampai jumpa lagi"
1861,Pelayanan,none,positif,Agoda,Hotel Santika Cirebon,8/14/2022,"santika adalah salah satu hotel terbaik di cirebon, terletak di pusat kota, dekat dengan stasiun kereta, mall, restoran, dll. kolam renangnya mungkin salah satu kolam terbaik yang pernah saya coba di cirebon, sangat bersih dan besar. saya suka ketika saya masuk kamar, stafnya sudah menyiapkan kamar jadi air conditioner sudah menyala jadi kamar sangat sejuk dan nyaman. mereka juga mencuci mobil kami, dan ini diluar ekspektasi. menu sarapannya sangat lengkap, bervariasi dan enak, namun keramahannya sangat baik. satu malam tidak pernah cukup.",,"menu sarapannya sangat lengkap, bervariasi dan enak, namun keramahannya sangat baik."
2386,Pelayanan,none,positif,Agoda,Hotel Santika Cirebon,12/30/2010,"tempat bersih, kamar tidak terlalu besar, tapi baik lah. penerimaan sangat ramah. parkir juga luas kolam renang kelihatan dari tempat menginap, dan kelihatannya bersih dan nyaman, sayang kami tidak sempat menikmati kolam renang.",,penerimaan sangat ramah.
2558,Pelayanan,none,positif,Agoda,Hotel Santika Depok,11/13/2020,"hotelnya bagus seperti kamarnya luas, lokasi strategis dekat dengan mall, tempat parkir dan rapi, proses check-in cukup cepat.",,"hotelnya bagus seperti kamarnya luas, lokasi strategis dekat dengan mall, tempat parkir dan rapi, proses check-in cukup cepat."
4378,Pelayanan,positif,none,Tiket,Hotel Santika Mega City Bekasi,12/4/2024,keren abiss ramaah juga dan bersih,ramaah juga,
4989,Pelayanan,none,positif,Tiket,Hotel Santika Mega City Bekasi,2/7/2022,"semuanya baik, dari fasilitas dan layanannya juga sangat memuaskan.",,"semuanya baik, dari fasilitas dan layanannya juga sangat memuaskan."
