page,review_index,nama,tanggal,tipe_traveler,rating,teks_ulasan,sumber
22,5,Sri Rejeki Samosir,8 Oktober 2025,Trip Keluarga,"5,0","Hotelnya sangat bersih, sarapannya enak dan bervariasi. Pelayanan nya OK. Pleasant stay deh. Mantap Santika Bekasi.",Ulasan terverifikasi dari tiket.com
23,1,DAN,1 Oktober 2025,Trip Pasangan,"5,0",Suasana bersih terjaga. Menu bervariasi.,Ulasan terverifikasi dari tiket.com
23,2,Rachel Neniyuli,1 Oktober 2025,Trip Keluarga,"5,0","Keren, fasilitas lengkap, breakfast nya banyak fariasinya",Ulasan terverifikasi dari tiket.com
23,3,iit lukita febriyati,30 September 2025,Perjalanan Bisnis,"5,0","Resepsionis helpfull, kamar bersih dan oke",Ulasan terverifikasi dari tiket.com
23,4,SS,27 September 2025,Perjalanan Bisnis,"5,0",baguss banget untuk stay di santika bekasi,Ulasan terverifikasi dari tiket.com
23,5,SS,27 September 2025,Perjalanan Bisnis,"5,0",pengalaman yg bagus untuk stay 4 malam di santika,Ulasan terverifikasi dari tiket.com
24,1,ITU,26 September 2025,Trip Pasangan,"5,0","Harga terjangkau, pelayanan prima.",Ulasan terverifikasi dari tiket.com
24,2,Hari Budi Santoso,24 September 2025,Perjalanan Sendirian,"5,0",Everything good apalagi berada di mall memudahkan mencari konsumsi.,Ulasan terverifikasi dari tiket.com
24,3,Nur Syamsi,23 September 2025,Perjalanan Sendirian,"5,0",Okeee,Ulasan terverifikasi dari tiket.com
24,4,Ahmad Hanbali,22 September 2025,Trip Pasangan,"3,0",Standar Santika. Walaupun ada request yg tdk diperhatikan,Ulasan terverifikasi dari tiket.com
24,5,Arif Elyana Juniarto,22 September 2025,Perjalanan Sendirian,"5,0",Kebersihan kelas satu.,Ulasan terverifikasi dari tiket.com
25,1,Tekno Sengadi,22 September 2025,Trip Keluarga,"5,0",Breakfast sangat memuaskan.,Ulasan terverifikasi dari tiket.com
25,2,Hilda Liliana,20 September 2025,Trip Keluarga,"5,0",Bersih dan staff ramah,Ulasan terverifikasi dari tiket.com
25,3,Meliana Meliana,19 September 2025,Perjalanan Sendirian,"5,0",Lumayan buat menyendiri,Ulasan terverifikasi dari tiket.com
25,4,A,15 September 2025,Perjalanan Sendirian,"5,0",Kebersihan yang sangat baik.,Ulasan terverifikasi dari tiket.com
25,5,A,10 September 2025,Trip Pasangan,"5,0","Sangat bagus dan nyaman, dan pelayanan yg ramah",Ulasan terverifikasi dari tiket.com
26,1,DS,9 September 2025,Trip Pasangan,"5,0",Suasana bersih dan menyegarkan. Menu sarapan yang lezat. Harga terbaik. Staf yang ramah dan penuh perhatian.,Ulasan terverifikasi dari tiket.com
26,2,Ritza Aries Munandar,8 September 2025,Trip Keluarga,"5,0","Bagus....kamar nya bersihh, makanan banyak pilihan....",Ulasan terverifikasi dari tiket.com
26,3,Debora Merel Otstensia Rumondor,8 September 2025,Trip Pasangan,"5,0","Baru sekali booking hotel di tiket.com lgs pilih Hotel Santika Mega City Bekasi. Ratenya murah, pelayanan amat sangat memuaskan, gercep banget saat qt komplain atau minta sesuatu. Proses check in/out mudah dan cepat. Bersih. Akses ke Mall Mega Bekasi juga mudah. Pokoknya puas nginep di hotel ini. Pengen balik lagiLihat lebih sedikit",Ulasan terverifikasi dari tiket.com
26,4,AB,25 Agustus 2025,Lainnya,"5,0",Suasana nyaman seperti di rumah. Permukaan yang bersih dan berkilau.,Ulasan terverifikasi dari tiket.com
26,5,TIDAK.,20 Agustus 2025,Perjalanan Bisnis,"4,8",Pengalaman yang mengesankan.,Ulasan terverifikasi dari tiket.com
27,1,DAN,19 Agustus 2025,Perjalanan Sendirian,"5,0",Para stafnya sangat ramah.,Ulasan terverifikasi dari tiket.com
27,2,PG,17 Agustus 2025,Trip Keluarga,"4,0",Ramah dan bersahabat. Layanan kebersihan cepat. Banyak pilihan makanan sehat.,Ulasan terverifikasi dari tiket.com
27,3,nelisunainigmailcom nelisunainigmailcom,14 Agustus 2025,Trip Keluarga,"5,0",Beragam pilihan rasa yang luar biasa. Tersedia tempat parkir yang mudah.,Ulasan terverifikasi dari tiket.com
27,4,Annisa Febryanti Safitri,13 Agustus 2025,Perjalanan Bisnis,"5,0",Resepsionis sigap. Pelayanan responsif.,Ulasan terverifikasi dari tiket.com
27,5,Jhoni Nahak,11 Agustus 2025,Perjalanan Sendirian,"4,0","Dari Segi Pelayanan Sudah Oke Hanya masukan saja,Brekfstnya kurang tidak sosis dan bubur kacang hijau",Ulasan terverifikasi dari tiket.com
28,1,Anindyah Prastiti,8 Agustus 2025,Perjalanan Sendirian,"5,0","Hotel bersih, pelayanan ramah, minusnya lokasinya ada di lantai 5 mall, agak membingungkan ketika keluar hotel di jam mall tutup",Ulasan terverifikasi dari tiket.com
28,2,Ruly Rachmadi,5 Agustus 2025,Trip Pasangan,"5,0","Bagus, pelayanan bagus, staf ramah",Ulasan terverifikasi dari tiket.com
28,3,Talitha farah damayanti,5 Agustus 2025,Trip Keluarga,"4,0",Hotelnya oke sarapan oke,Ulasan terverifikasi dari tiket.com
28,4,yulia HayNuM,4 Agustus 2025,Trip Pasangan,"5,0","Ok lah , harga hemat, makanan enak",Ulasan terverifikasi dari tiket.com
28,5,MM,2 Agustus 2025,Trip Keluarga,"3,2","kamar ok, sarapan kurang variasi",Ulasan terverifikasi dari tiket.com
29,1,ZF,30 Juli 2025,Trip Keluarga,"5,0",Layanan parkir valet tersedia. Kamar berbau bersih.,Ulasan terverifikasi dari tiket.com
29,2,ZF,30 Juli 2025,Trip Keluarga,"5,0",Pilihan menu sangat beragam. Suasana meriah.,Ulasan terverifikasi dari tiket.com
29,3,Berani Ambil Risiko,30 Juli 2025,Trip Pasangan,"5,0",Tersedia kolam renang anak.,Ulasan terverifikasi dari tiket.com
29,4,Ritza Aries Munandar,28 Juli 2025,Trip Keluarga,"5,0",Okeeeeeeeeeeeeeeeeeeeeeeeee,Ulasan terverifikasi dari tiket.com
29,5,Aulia Azahra,25 Juli 2025,Trip Pasangan,"5,0",Rapi dan teratur. Fasilitas kebugaran eksklusif.,Ulasan terverifikasi dari tiket.com
30,1,Aulia Azahra,25 Juli 2025,Trip Pasangan,"5,0",Air yang jernih sekali.,Ulasan terverifikasi dari tiket.com
30,2,Rudy Arfianto,24 Juli 2025,Trip Keluarga,"5,0","Staf kebersihan sangat teliti. Lingkungan yang ramah. Parkir luas dan nyaman. Akomodasi terjangkau, tidak mengecewakan. Lihat lebih sedikit",Ulasan terverifikasi dari tiket.com
30,3,SW,22 Juli 2025,Trip Pasangan,"5,0",Hotel bagus & pelayanan bagus,Ulasan terverifikasi dari tiket.com
30,4,Yulvi Setiyawan,21 Juli 2025,Trip Pasangan,"5,0",Kolam renang infinity yang indah. Kolam renang infinity yang indah. Parkir yang luas dan nyaman. Lingkungan kolam renang yang menenangkan. Suasana yang menyenangkan dan tenang. Staf yang sigap dan kompeten.,Ulasan terverifikasi dari tiket.com
30,5,Albert Rahadian,20 Juli 2025,Perjalanan Bisnis,"5,0",Suasana sejuk. Fasilitas kolam renang yang mewah.,Ulasan terverifikasi dari tiket.com
31,1,Alex Lioneldo,17 Juli 2025,Perjalanan Sendirian,"5,0",Hotel bersih bagus makan pagi enak,Ulasan terverifikasi dari tiket.com
31,2,SAYOGI SAYOGI,15 Juli 2025,Trip Keluarga,"5,0",Waktu paten bah joss gandos lebih baru,Ulasan terverifikasi dari tiket.com
31,3,NS,14 Juli 2025,Trip bareng Teman,"5,0","Menginap krn menonton konser di hall. Semua baik; mulai dari kamar, kamar mandi, fasilitas hotel, bfast, dll.",Ulasan terverifikasi dari tiket.com
31,4,Aziz Napitupulu,10 Juli 2025,Trip Keluarga,"5,0",Luar biasa pelayanan nya,Ulasan terverifikasi dari tiket.com
31,5,Panji Rihardhika Dewantara,10 Juli 2025,Trip Pasangan,"5,0","Kamar bagus, bersih dan nyaman, sayang ga bisa ke balkon. Pelayanan staff juga bagus, ramah2 jg.",Ulasan terverifikasi dari tiket.com
32,1,nabilaaznifa nabilaaznifa,8 Juli 2025,Trip Keluarga,"5,0",Staf yang ramah anak. Fasilitas mewah. Staf yang ramah anak dan tulus.,Ulasan terverifikasi dari tiket.com
