issue,aspect,ID_Review,Platform,Nama_Hotel,Review_Date,label,alasan,Text_Review
alasan_ada_tapi_label_none,Harga,13059,Traveloka,Hotel Santika Mega City Bekasi,1/3/2018,none,pelayanan baik banget,pelayanan dan fasilitasnya baik banget.
alasan_ada_tapi_label_none,Harga,13196,Traveloka,Hotel Santika Mega City Bekasi,9/20/2017,none,layanan yang baik,fasilitas dan layanan yang baik
alasan_ada_tapi_label_none,Harga,13434,Traveloka,Hotel Santika Mega City Bekasi,3/22/2017,none,pelayanannya baik,pelayanannya baik fasilitas hotelnya juga mantab
alasan_ada_tapi_label_none,Harga,13455,Traveloka,Hotel Santika Mega City Bekasi,3/15/2017,none,pelayanan baik,fasilitas bagus. pelayanan baik.
alasan_ada_tapi_label_none,Harga,13469,Traveloka,Hotel Santika Mega City Bekasi,3/1/2017,none,pelayanan yang ramah,"pelayanan yang ramah, makanannya enak"
alasan_ada_tapi_label_none,Harga,13659,Traveloka,Hotel Santika Tasikmalaya,12/31/2025,none,pelayanannya sangat ramah,pelayanannya sangat ramah namun untuk variasi sarapan perlu ditambahkan lagi
alasan_ada_tapi_label_none,Harga,13664,Traveloka,Hotel Santika Tasikmalaya,11/12/2025,none,pelayanan ramah,semua fasilitas mantul pelayanan ramah
alasan_ada_tapi_label_none,Harga,13728,Traveloka,Hotel Santika Tasikmalaya,12/18/2024,none,staf ramah,"hotel terfavorit, makanan banyak variasi, staf ramah"
alasan_ada_tapi_label_none,Harga,13901,Traveloka,Hotel Santika Tasikmalaya,9/16/2020,none,pelayanan memuaskan,fasilitas lengkap pelayanan memuaskan.
alasan_ada_tapi_label_none,Harga,14220,Traveloka,Hotel Santika Tasikmalaya,5/30/2018,none,pesan yang king dikasih kamar yang standard,hotelnya bagus. bersih juga. pelayanan baik. tapi pesan yang king dikasih kamar yang standard.
alasan_ada_tapi_label_none,Harga,14364,Traveloka,Hotel Santika Tasikmalaya,7/12/2017,none,pelayanan cukup memuaskan,pelayanan dan fasilitas cukup memuaskan
alasan_ada_tapi_label_none,Makanan,13024,Traveloka,Hotel Santika Mega City Bekasi,2/14/2018,none,perlu menambahkan lebih banyak saluran televisi,harga terbaik tapi perlu menambahkan lebih banyak saluran televisi
alasan_ada_tapi_label_none,Makanan,13059,Traveloka,Hotel Santika Mega City Bekasi,1/3/2018,none,fasilitasnya baik banget,pelayanan dan fasilitasnya baik banget.
alasan_ada_tapi_label_none,Makanan,13196,Traveloka,Hotel Santika Mega City Bekasi,9/20/2017,none,fasilitas yang baik,fasilitas dan layanan yang baik
alasan_ada_tapi_label_none,Makanan,13434,Traveloka,Hotel Santika Mega City Bekasi,3/22/2017,none,fasilitas hotelnya juga mantab,pelayanannya baik fasilitas hotelnya juga mantab
alasan_ada_tapi_label_none,Makanan,13455,Traveloka,Hotel Santika Mega City Bekasi,3/15/2017,none,fasilitas bagus,fasilitas bagus. pelayanan baik.
alasan_ada_tapi_label_none,Makanan,13664,Traveloka,Hotel Santika Tasikmalaya,11/12/2025,none,semua fasilitas mantul,semua fasilitas mantul pelayanan ramah
alasan_ada_tapi_label_none,Makanan,13901,Traveloka,Hotel Santika Tasikmalaya,9/16/2020,none,fasilitas lengkap,fasilitas lengkap pelayanan memuaskan.
alasan_ada_tapi_label_none,Makanan,14364,Traveloka,Hotel Santika Tasikmalaya,7/12/2017,none,fasilitas cukup memuaskan,pelayanan dan fasilitas cukup memuaskan
label_ada_tapi_alasan_kosong,Makanan,12296,Traveloka,Hotel Santika Mega City Bekasi,1/1/2020,netral,,"makanan lumayan, kamar bersih, tapi spreinya keliatan tidak diganti ada kotor walopun sedikit."
label_ada_tapi_alasan_kosong,Makanan,13266,Traveloka,Hotel Santika Mega City Bekasi,8/2/2017,negatif,,"sarapan pagi harus nambah bayar lagi padahal yang sarapan hanya 1 dewasa dan 4 anak dibawah usia 12 tahun, harapannya supaya sarapan anak gratis."
label_ada_tapi_alasan_kosong,Makanan,13469,Traveloka,Hotel Santika Mega City Bekasi,3/1/2017,positif,,"pelayanan yang ramah, makanannya enak"
label_ada_tapi_alasan_kosong,Makanan,13487,Traveloka,Hotel Santika Mega City Bekasi,2/22/2017,positif,,sarapan sangat baik dibandingkan dengan harga dan ramah dengan anak-anak di bawah 6
label_ada_tapi_alasan_kosong,Makanan,13659,Traveloka,Hotel Santika Tasikmalaya,12/31/2025,negatif,,pelayanannya sangat ramah namun untuk variasi sarapan perlu ditambahkan lagi
label_ada_tapi_alasan_kosong,Makanan,13728,Traveloka,Hotel Santika Tasikmalaya,12/18/2024,positif,,"hotel terfavorit, makanan banyak variasi, staf ramah"
label_ada_tapi_alasan_kosong,Makanan,13803,Traveloka,Hotel Santika Tasikmalaya,6/8/2022,negatif,,"kamar kurang bersih, sarapan pagi menemukan rambut."
label_ada_tapi_alasan_kosong,Makanan,14455,Traveloka,Hotel Santika Tasikmalaya,2/22/2017,positif,,baik dengan harga yang ditawarkan juga mendapatkan sarapan pagi yang diantar ke kamar.
label_ada_tapi_alasan_kosong,Makanan,14465,Traveloka,Hotel Santika Tasikmalaya,2/8/2017,negatif,,overall memuaskan cuma ada sedikit kekecewaan saat booking dengan harga yang ditawarkan mendapat fasilitas breakfast sepertinya tidak sesuai.
label_ada_tapi_alasan_kosong,Makanan,14530,Traveloka,Hotel Santika Tasikmalaya,9/28/2016,negatif,,"makanan tidak enak, harga terlalu tinggi."
alasan_ada_tapi_label_none,Fasilitas,13803,Traveloka,Hotel Santika Tasikmalaya,6/8/2022,none,sarapan pagi menemukan rambut,"kamar kurang bersih, sarapan pagi menemukan rambut."
label_ada_tapi_alasan_kosong,Fasilitas,13024,Traveloka,Hotel Santika Mega City Bekasi,2/14/2018,negatif,,harga terbaik tapi perlu menambahkan lebih banyak saluran televisi
label_ada_tapi_alasan_kosong,Fasilitas,13059,Traveloka,Hotel Santika Mega City Bekasi,1/3/2018,positif,,pelayanan dan fasilitasnya baik banget.
label_ada_tapi_alasan_kosong,Fasilitas,13196,Traveloka,Hotel Santika Mega City Bekasi,9/20/2017,positif,,fasilitas dan layanan yang baik
label_ada_tapi_alasan_kosong,Fasilitas,13434,Traveloka,Hotel Santika Mega City Bekasi,3/22/2017,positif,,pelayanannya baik fasilitas hotelnya juga mantab
label_ada_tapi_alasan_kosong,Fasilitas,13455,Traveloka,Hotel Santika Mega City Bekasi,3/15/2017,positif,,fasilitas bagus. pelayanan baik.
label_ada_tapi_alasan_kosong,Fasilitas,13664,Traveloka,Hotel Santika Tasikmalaya,11/12/2025,positif,,semua fasilitas mantul pelayanan ramah
label_ada_tapi_alasan_kosong,Fasilitas,13901,Traveloka,Hotel Santika Tasikmalaya,9/16/2020,positif,,fasilitas lengkap pelayanan memuaskan.
label_ada_tapi_alasan_kosong,Fasilitas,14364,Traveloka,Hotel Santika Tasikmalaya,7/12/2017,positif,,pelayanan dan fasilitas cukup memuaskan
