ID_Review,Platform,Nama_Hotel,Review_Date,Text_Review,text_model,Kenyamanan,Kebersihan,Pelayanan,Harga,Lokasi,Fasilitas,Makanan
27,Agoda,Hotel Santika Bandung,10/27/2025,bagus location. meskipun hotel yang sedikit berumur tapi masih terawat dan bersih. cocok untuk tinggal bersama keluarga.,bagus location. meskipun hotel yang sedikit berumur tapi masih terawat dan bersih. cocok untuk tinggal bersama keluarga.,none,positif,none,none,positif,none,none
29,Agoda,Hotel Santika Bandung,10/24/2025,"hotel terjangkau di lokasi strategis. ruangan itu luas dan tempat tidur nyaman. tapi kamar dan furniturnya cukup kuno, air conditioner tidak bisa diatur, dan handuknya terlalu tipis dan tua. semua staf baik dan cepat tanggap dalam menangani pertanyaan.","hotel terjangkau di lokasi strategis. ruangan itu luas dan tempat tidur nyaman. tapi kamar dan furniturnya cukup kuno, air conditioner tidak bisa diatur, dan handuknya terlalu tipis dan tua. semua staf baik dan cepat tanggap dalam menangani pertanyaan.",netral,none,positif,positif,positif,negatif,none
30,Agoda,Hotel Santika Bandung,10/8/2025,"hotel lama yang nyaman, dan dekat dari outlet di jalan riau dan mudah cari makanan, bagus","hotel lama yang nyaman, dan dekat dari outlet di jalan riau dan mudah cari makanan, bagus",positif,none,none,none,positif,none,none
31,Agoda,Hotel Santika Bandung,10/6/2025,nikmati tinggal di pusat kota,nikmati tinggal di pusat kota,none,none,none,none,positif,none,none
32,Agoda,Hotel Santika Bandung,9/18/2025,"pengalaman saya secara umum sangat baik di hotel ini. baru pertama kali menginap disini itu pun karena kehabisan hotel lain di weekend dan memang dadakan baru cari di hari h. memang gedung lama tapi lokasi sangat baik di tengah kota jadi sangat strategis kalau mau kemana2, kamar terbilang luas, feels bed pun sangat enak dan sekalipun double twin dijadikan satu tidak berasa ada lubang di tengah2. yang paling highlight buat saya adalah breakfast karena jenis makanannya banyak dan rasanya pun enak2, plusnya lagi saya mendapat compliment breakfast untuk anak saya yang berusia 8. compliment karena seharusnya bayar menurut staf restaurant tapi waktu check in di info anak hingga usia 8 masih gratis. sepertinya perlu disepakati lagi dalam management. tapi terima kasih anyway for the compliment.","pengalaman saya secara umum sangat baik di hotel ini. baru pertama kali menginap disini itu pun karena kehabisan hotel lain di weekend dan memang dadakan baru cari di hari h. memang gedung lama tapi lokasi sangat baik di tengah kota jadi sangat strategis kalau mau kemana2, kamar terbilang luas, feels bed pun sangat enak dan sekalipun double twin dijadikan satu tidak berasa ada lubang di tengah2. yang paling highlight buat saya adalah breakfast karena jenis makanannya banyak dan rasanya pun enak2, plusnya lagi saya mendapat compliment breakfast untuk anak saya yang berusia 8. compliment karena seharusnya bayar menurut staf restaurant tapi waktu check in di info anak hingga usia 8 masih gratis. sepertinya perlu disepakati lagi dalam management. tapi terima kasih anyway for the compliment.",positif,none,netral,positif,positif,none,positif
33,Agoda,Hotel Santika Bandung,9/13/2025,lokasi bagus dan pelayanan bagus,lokasi bagus dan pelayanan bagus,none,none,positif,none,positif,none,none
34,Agoda,Hotel Santika Bandung,9/11/2025,"saya pesan kamar ini untuk ayah saya saya, dan ayah saya suka dengan hotel ini","saya pesan kamar ini untuk ayah saya saya, dan ayah saya suka dengan hotel ini",none,none,none,none,none,none,none
35,Agoda,Hotel Santika Bandung,9/11/2025,"saya pesan kamar ini untuk ayah saya, dan ayah saya menyukainya","saya pesan kamar ini untuk ayah saya, dan ayah saya menyukainya",none,none,none,none,none,none,none
36,Agoda,Hotel Santika Bandung,9/8/2025,"hotel butik ini hanya berjarak 100 meter dari stasiun kereta bandara. pelayanannya ramah dan sebanding dengan hotel bintang lima, dan semua staf fasih berbahasa inggris. desain kamarnya cukup unik, dengan tabung di kamar mandi menghadap ke jendela. sayangnya kolam renangnya kecil. menu makanan dalam kamar bervariasi, enak, dan harga cukup bersaing dengan restoran di platinum mall. tersedia antar-jemput tuktuk gratis ke stasiun kereta. secara keseluruhan, ini adalah pengalaman menginap yang sangat menyenangkan, dan saya berharap untuk kembali lagi di masa mendatang.","hotel butik ini hanya berjarak 100 meter dari stasiun kereta bandara. pelayanannya ramah dan sebanding dengan hotel bintang lima, dan semua staf fasih berbahasa inggris. desain kamarnya cukup unik, dengan tabung di kamar mandi menghadap ke jendela. sayangnya kolam renangnya kecil. menu makanan dalam kamar bervariasi, enak, dan harga cukup bersaing dengan restoran di platinum mall. tersedia antar-jemput tuktuk gratis ke stasiun kereta. secara keseluruhan, ini adalah pengalaman menginap yang sangat menyenangkan, dan saya berharap untuk kembali lagi di masa mendatang.",netral,none,positif,positif,positif,negatif,positif
38,Agoda,Hotel Santika Bandung,9/2/2025,"hotel tua yang bersih, tapi pelayanannya bagus. saya menikmati sarapan saya yang lezat dan jamu wedang sekang. saya akan mempertimbangkan ini lagi jika saya berada di sekitar area tersebut","hotel tua yang bersih, tapi pelayanannya bagus. saya menikmati sarapan saya yang lezat dan jamu wedang sekang. saya akan mempertimbangkan ini lagi jika saya berada di sekitar area tersebut",negatif,positif,positif,none,none,none,positif
39,Agoda,Hotel Santika Bandung,8/21/2025,"hotel ini dihuni oleh kelelawar. dinding hotel seperti terlihat di foto kotoran kelelawar di lantai. gymnya satu-satunya treadmill yang rusak, pergelangan kaki saya hampir terkilir saat menggunakannya. papan langkah di bawah mekanisme rusak ketika anda menginjaknya dengan goyah. tidak ada barbel yang dipasang dengan benar. untuk meluruskannya. lebih baik tutup gym gunakan ruang itu untuk hal lain","hotel ini dihuni oleh kelelawar. dinding hotel seperti terlihat di foto kotoran kelelawar di lantai. gymnya satu-satunya treadmill yang rusak, pergelangan kaki saya hampir terkilir saat menggunakannya. papan langkah di bawah mekanisme rusak ketika anda menginjaknya dengan goyah. tidak ada barbel yang dipasang dengan benar. untuk meluruskannya. lebih baik tutup gym gunakan ruang itu untuk hal lain",none,negatif,none,none,none,negatif,none
40,Agoda,Hotel Santika Bandung,8/14/2025,"akomodasi ini menawarkan nilai yang sangat baik dengan lokasi yang strategis dan kebersihan yang terjaga. stafnya sangat ramah dan membantu, membuat pengalaman menjadi lebih menyenangkan. fasilitas yang tersedia juga memuaskan, cocok untuk berbagai kebutuhan. secara keseluruhan, ini adalah tempat yang sangat direkomendasikan bagi siapapun yang mencari kenyamanan dan pelayanan terbaik selama menginap.","akomodasi ini menawarkan nilai yang sangat baik dengan lokasi yang strategis dan kebersihan yang terjaga. stafnya sangat ramah dan membantu, membuat pengalaman menjadi lebih menyenangkan. fasilitas yang tersedia juga memuaskan, cocok untuk berbagai kebutuhan. secara keseluruhan, ini adalah tempat yang sangat direkomendasikan bagi siapapun yang mencari kenyamanan dan pelayanan terbaik selama menginap.",none,positif,positif,positif,positif,positif,none
42,Agoda,Hotel Santika Bandung,8/3/2025,menginap di santika akan membuat anda nyaman dengan lokasinya yang tepat berada di pusat kota bandung yang ramai.,menginap di santika akan membuat anda nyaman dengan lokasinya yang tepat berada di pusat kota bandung yang ramai.,positif,none,none,none,positif,none,none
43,Agoda,Hotel Santika Bandung,7/29/2025,"kamarnya luas, rapi dan bersih, kamar mandi juga bersih","kamarnya luas, rapi dan bersih, kamar mandi juga bersih",positif,positif,none,none,none,none,none
44,Agoda,Hotel Santika Bandung,7/26/2025,"letaknya di lokasi yang sangat bagus, di seberang riau junction dan dekat bandung indah plaza dengan banyak tempat makan. kamarnya luas dan sarapannya enak. staf sangat membantu dan ramah, layanan pelanggan terbaik. ini adalah hotel yang akan saya kembalikan setiap kali saya pergi ke bandung.","letaknya di lokasi yang sangat bagus, di seberang riau junction dan dekat bandung indah plaza dengan banyak tempat makan. kamarnya luas dan sarapannya enak. staf sangat membantu dan ramah, layanan pelanggan terbaik. ini adalah hotel yang akan saya kembalikan setiap kali saya pergi ke bandung.",positif,none,positif,none,positif,none,positif
46,Agoda,Hotel Santika Bandung,7/12/2025,"tarif bagus, lokasi bagus, staf ramah","tarif bagus, lokasi bagus, staf ramah",none,none,positif,positif,positif,none,none
47,Agoda,Hotel Santika Bandung,7/10/2025,"nyaman, bersih, fasilitas lengkap, lokasi strategis. kalau ke bandung mau stay di hotel ini lagi","nyaman, bersih, fasilitas lengkap, lokasi strategis. kalau ke bandung mau stay di hotel ini lagi",none,positif,none,none,positif,positif,none
48,Agoda,Hotel Santika Bandung,7/8/2025,"hotelnya bersih dengan fasilitas yang terpelihara dengan baik. yang benar-benar menonjol adalah layanan terbaiknya - mulai dari pelayan, resepsionis, hingga tim f b, setiap anggota staf benar-benar ramah dan profesional. meskipun furnitur dan kamar mandinya perlu ditingkatkan agar sesuai dengan keunggulan hotel di area lain, secara keseluruhan pengalaman menginap ini menyenangkan dan terpuji.","hotelnya bersih dengan fasilitas yang terpelihara dengan baik. yang benar-benar menonjol adalah layanan terbaiknya - mulai dari pelayan, resepsionis, hingga tim f b, setiap anggota staf benar-benar ramah dan profesional. meskipun furnitur dan kamar mandinya perlu ditingkatkan agar sesuai dengan keunggulan hotel di area lain, secara keseluruhan pengalaman menginap ini menyenangkan dan terpuji.",negatif,positif,positif,none,none,positif,none
49,Agoda,Hotel Santika Bandung,7/8/2025,"hotel tua tapi nyaman untuk ditinggali. terasa homey, lobi dan restorannya bikin betah. terdapat fasilitas sepeda gratis. saya pakai bersama kedua anak saya untuk jalan-jalan keliling, mengunjungi sate dan factory outlet terdekat, jalan-jalan. nyaman dan strategis. sarapannya biasa saja, dengan pilihan makanan tradisional yang cukup lengkap. tersedia bakery, snack gurih, kopi mesin espresso, bubur ketan, mie, dan salad lengkap. kamarnya bersih dan tvnya baik, besar. kita seharusnya tinggal di sini selama 2 malam. dekat dengan supermarket, martadinata. cocok untuk nongkrong, bip. lain kali kami akan kembali ke sini lagi. kebetulan harganya murah di hari biasa. weekend masih standar. terima kasih santika. stafnya ramah.","hotel tua tapi nyaman untuk ditinggali. terasa homey, lobi dan restorannya bikin betah. terdapat fasilitas sepeda gratis. saya pakai bersama kedua anak saya untuk jalan-jalan keliling, mengunjungi sate dan factory outlet terdekat, jalan-jalan. nyaman dan strategis. sarapannya biasa saja, dengan pilihan makanan tradisional yang cukup lengkap. tersedia bakery, snack gurih, kopi mesin espresso, bubur ketan, mie, dan salad lengkap. kamarnya bersih dan tvnya baik, besar. kita seharusnya tinggal di sini selama 2 malam. dekat dengan supermarket, martadinata. cocok untuk nongkrong, bip. lain kali kami akan kembali ke sini lagi. kebetulan harganya murah di hari biasa. weekend masih standar. terima kasih santika. stafnya ramah.",positif,positif,positif,positif,positif,positif,netral
51,Agoda,Hotel Santika Bandung,6/30/2025,selalu puas menginap disini. tempat tidur yang sangat bagus.,selalu puas menginap disini. tempat tidur yang sangat bagus.,positif,none,none,none,none,none,none
52,Agoda,Hotel Santika Bandung,6/26/2025,"saya nyaman menginap di hotel jnj. meskipun menurut saya kopinya kurang rasa, ketika saya meminta kopi yang lebih kuat, staf segera menyediakannya.","saya nyaman menginap di hotel jnj. meskipun menurut saya kopinya kurang rasa, ketika saya meminta kopi yang lebih kuat, staf segera menyediakannya.",positif,none,positif,none,none,none,negatif
53,Agoda,Hotel Santika Bandung,6/18/2025,semua fasilitas dan layanan staf baik,semua fasilitas dan layanan staf baik,none,none,positif,none,none,positif,none
55,Agoda,Hotel Santika Bandung,6/11/2025,nilai untuk uang. meskipun agak tua tapi terawat dengan baik dan lokasinya bagus,nilai untuk uang. meskipun agak tua tapi terawat dengan baik dan lokasinya bagus,none,none,none,positif,positif,none,none
57,Agoda,Hotel Santika Bandung,6/1/2025,tinggal di sini selama 1 malam tapi satu hal yang pasti adalah hotel ini bernilai uang dan memiliki makanan enak untuk sarapan!,tinggal di sini selama 1 malam tapi satu hal yang pasti adalah hotel ini bernilai uang dan memiliki makanan enak untuk sarapan!,none,none,none,positif,none,none,positif
58,Agoda,Hotel Santika Bandung,5/25/2025,perlu direnovasi juga lama mendapat lingkungan sehat karena tempatnya kumuh,perlu direnovasi juga lama mendapat lingkungan sehat karena tempatnya kumuh,negatif,none,none,none,none,none,none
59,Agoda,Hotel Santika Bandung,5/14/2025,"letaknya strategis, semua staf ramah, ruangan sangat besar (saya menginap di kamar executive). dan surprise juga pas diinfo saat cek in kalau sudah dapat paket makan malam dan sarapan. makananya lumayan enak.","letaknya strategis, semua staf ramah, ruangan sangat besar (saya menginap di kamar executive). dan surprise juga pas diinfo saat cek in kalau sudah dapat paket makan malam dan sarapan. makananya lumayan enak.",positif,none,positif,none,positif,none,positif
60,Agoda,Hotel Santika Bandung,5/10/2025,"staf sangat penuh perhatian, tidak pernah membiarkan kami membawa barang bawaan kami ke dan dari kamar kami. mampu memenuhi permintaan kami setiap saat. lokasi bagus dan banyak restoran di dekatnya.","staf sangat penuh perhatian, tidak pernah membiarkan kami membawa barang bawaan kami ke dan dari kamar kami. mampu memenuhi permintaan kami setiap saat. lokasi bagus dan banyak restoran di dekatnya.",none,none,positif,none,positif,none,none
61,Agoda,Hotel Santika Bandung,5/8/2025,"saya baru-baru ini menginap di hotel santika bandung. seperti biasa, santika tetap menjaga reputasinya sebagai hotel yang sudah lama berdiri dengan fasilitas yang terawat dan suasana yang nyaman. menu sarapannya cukup enak dan menawarkan berbagai pilihan yang enak. namun, kali ini saya sedikit kecewa. saya telah memesan kamar dengan satu tempat tidur besar, tetapi malah diberikan dua tempat tidur single yang disatukan, yang mempengaruhi kenyamanan menginap secara keseluruhan.","saya baru-baru ini menginap di hotel santika bandung. seperti biasa, santika tetap menjaga reputasinya sebagai hotel yang sudah lama berdiri dengan fasilitas yang terawat dan suasana yang nyaman. menu sarapannya cukup enak dan menawarkan berbagai pilihan yang enak. namun, kali ini saya sedikit kecewa. saya telah memesan kamar dengan satu tempat tidur besar, tetapi malah diberikan dua tempat tidur single yang disatukan, yang mempengaruhi kenyamanan menginap secara keseluruhan.",positif,none,negatif,none,none,positif,positif
62,Agoda,Hotel Santika Bandung,5/4/2025,"grup santika adalah salah satu hotel favorit saya untuk menginap di indonesia. lokasi bagus, staf membantu, kamar bersih dan besar, sarapan lengkap dan enak, dan harga terjangkau.","grup santika adalah salah satu hotel favorit saya untuk menginap di indonesia. lokasi bagus, staf membantu, kamar bersih dan besar, sarapan lengkap dan enak, dan harga terjangkau.",positif,positif,positif,positif,positif,none,positif
63,Agoda,Hotel Santika Bandung,5/2/2025,"saya suka suasana, staf yang ramah, dekat dengan pusat perbelanjaan legenda dan tidur yang nyenyak. satu hal yang mengganggu saya adalah (tidak yakin) burung atau kelelawar berjatuhan di area aula. kelihatannya seperti terjatuh tapi saya tidak yakin, semoga kunjungan berikutnya tanda itu bersih","saya suka suasana, staf yang ramah, dekat dengan pusat perbelanjaan legenda dan tidur yang nyenyak. satu hal yang mengganggu saya adalah (tidak yakin) burung atau kelelawar berjatuhan di area aula. kelihatannya seperti terjatuh tapi saya tidak yakin, semoga kunjungan berikutnya tanda itu bersih",positif,negatif,positif,none,positif,none,none
65,Agoda,Hotel Santika Bandung,4/21/2025,sangat recomend bagi yang ingin dekat kemana-mana di bandung,sangat recomend bagi yang ingin dekat kemana-mana di bandung,none,none,none,none,positif,none,none
66,Agoda,Hotel Santika Bandung,4/11/2025,lokasi terbaik dan hotel nyaman untuk menjelajahi kota bandung,lokasi terbaik dan hotel nyaman untuk menjelajahi kota bandung,positif,none,none,none,positif,none,none
67,Agoda,Hotel Santika Bandung,4/11/2025,"selalu senang menginap di hotel santika bandung, stafnya ramah dan baik dalam pelayanan. kamarnya bersih, fasilitasnya lengkap. lokasi dikelilingi pusat perbelanjaan dan kuliner. sarapannya lengkap, bervariasi, dan juga enak. saya tidak pernah bosan tinggal di sini.","selalu senang menginap di hotel santika bandung, stafnya ramah dan baik dalam pelayanan. kamarnya bersih, fasilitasnya lengkap. lokasi dikelilingi pusat perbelanjaan dan kuliner. sarapannya lengkap, bervariasi, dan juga enak. saya tidak pernah bosan tinggal di sini.",none,positif,positif,none,positif,positif,positif
68,Agoda,Hotel Santika Bandung,4/7/2025,"lokasi strategis, dekat pusat perbelanjaan. kamar nyaman. staf ramah. makanan enak.","lokasi strategis, dekat pusat perbelanjaan. kamar nyaman. staf ramah. makanan enak.",positif,none,positif,none,positif,none,positif
69,Agoda,Hotel Santika Bandung,4/6/2025,"menginap disini 3 malam strategis banget, di sekitar banyak food street tapi karena lebaran banyak yang tutup. kamar bersih dan nyaman, air conditioner dan air panas berfungsi dengan baik, sarapan bervariasi, dan staf sangat ramah dari pintu masuk hingga housekeeping.","menginap disini 3 malam strategis banget, di sekitar banyak food street tapi karena lebaran banyak yang tutup. kamar bersih dan nyaman, air conditioner dan air panas berfungsi dengan baik, sarapan bervariasi, dan staf sangat ramah dari pintu masuk hingga housekeeping.",positif,positif,positif,none,positif,none,positif
70,Agoda,Hotel Santika Bandung,4/5/2025,"akomodasi hotel ini cocok untuk keluarga yang menikmati ketenangan; tempatnya sejuk dan tenang. fasilitas standar tidak termasuk pengering rambut, dan dekat dengan bip mall dan riau junction. sekadar saran, harap ditambah lagi pilihan menu sarapannya. terima kasih: )","akomodasi hotel ini cocok untuk keluarga yang menikmati ketenangan; tempatnya sejuk dan tenang. fasilitas standar tidak termasuk pengering rambut, dan dekat dengan bip mall dan riau junction. sekadar saran, harap ditambah lagi pilihan menu sarapannya. terima kasih: )",positif,none,none,none,positif,negatif,negatif
72,Agoda,Hotel Santika Bandung,3/23/2025,makanan enak dekat kompleks perbelanjaan,makanan enak dekat kompleks perbelanjaan,none,none,none,none,positif,none,positif
73,Agoda,Hotel Santika Bandung,3/22/2025,"suasana hotel lokasi sudah cocok di santika depan riau junction, tapi sayang kasur sudah kurang layak di kamar superior, per kawat lemah jadi badan miring2 sulit tidur, tolong diganti baru tidak perlu kasur mewah, cukup standar hotel, untuk parkiran tolong diperbaiki bocoran air plafon buat cat mobil susah hilang bekasnya, sarang kelelawar kotoran kalau bisa dibersihkan juga, trims","suasana hotel lokasi sudah cocok di santika depan riau junction, tapi sayang kasur sudah kurang layak di kamar superior, per kawat lemah jadi badan miring2 sulit tidur, tolong diganti baru tidak perlu kasur mewah, cukup standar hotel, untuk parkiran tolong diperbaiki bocoran air plafon buat cat mobil susah hilang bekasnya, sarang kelelawar kotoran kalau bisa dibersihkan juga, trims",negatif,negatif,none,none,positif,negatif,none
74,Agoda,Hotel Santika Bandung,2/28/2025,"hotelnya sudah tua tapi sangat strategis, pelayanannya sangat baik, check-in mudah dan cepat, sprei dan handuk bersih dan wangi, perlengkapan mandi semua tersedia, hanya lantai kamar mandi agak kotor, sarapannya enak banyak variasinya.","hotelnya sudah tua tapi sangat strategis, pelayanannya sangat baik, check-in mudah dan cepat, sprei dan handuk bersih dan wangi, perlengkapan mandi semua tersedia, hanya lantai kamar mandi agak kotor, sarapannya enak banyak variasinya.",netral,netral,positif,none,positif,positif,positif
75,Agoda,Hotel Santika Bandung,1/31/2025,nilai terbaik untuk uang,nilai terbaik untuk uang,none,none,none,positif,none,none,none
76,Agoda,Hotel Santika Bandung,1/29/2025,tidak jauh dari pusat perbelanjaan taman,tidak jauh dari pusat perbelanjaan taman,none,none,none,none,positif,none,none
77,Agoda,Hotel Santika Bandung,1/29/2025,"menginap saat liburan imlek bersama keluarga, tempatnya bagus dan dekat dengan bip jalan riau untuk belanja, fasilitasnya bagus, dan pegawainya sangat ramah. next time saya akan kembali lagi menginap disini.","menginap saat liburan imlek bersama keluarga, tempatnya bagus dan dekat dengan bip jalan riau untuk belanja, fasilitasnya bagus, dan pegawainya sangat ramah. next time saya akan kembali lagi menginap disini.",none,none,positif,none,positif,positif,none
78,Agoda,Hotel Santika Bandung,1/28/2025,"kamarnya nyaman, bersih, stafnya sangat membantu, makanannya enak dan pilihan sarapannya banyak, pasti recomended. sedikit masukan mengenai kurangnya menu room service di kamar (entah di kamar saya saja atau di semua kamar). secara keseluruhan, sangat bagus.","kamarnya nyaman, bersih, stafnya sangat membantu, makanannya enak dan pilihan sarapannya banyak, pasti recomended. sedikit masukan mengenai kurangnya menu room service di kamar (entah di kamar saya saja atau di semua kamar). secara keseluruhan, sangat bagus.",positif,positif,positif,none,none,negatif,positif
79,Agoda,Hotel Santika Bandung,1/20/2025,"lokasi bagus, staf baik, perlu renovasi lebih lanjut untuk suasana baru, kamar bersih","lokasi bagus, staf baik, perlu renovasi lebih lanjut untuk suasana baru, kamar bersih",negatif,positif,positif,none,positif,none,none
80,Agoda,Hotel Santika Bandung,1/17/2025,"dari awal masuk air conditioner nya tidak dingin, , udh minta teknisi benerin tapi tidak ngefek. kami tidur sampe tidak pake selimut. apalgi siang, , geraah","dari awal masuk air conditioner nya tidak dingin, , udh minta teknisi benerin tapi tidak ngefek. kami tidur sampe tidak pake selimut. apalgi siang, , geraah",negatif,none,negatif,none,none,none,none
81,Agoda,Hotel Santika Bandung,1/16/2025,"dipusat kota, lokasi strategis","dipusat kota, lokasi strategis",none,none,none,none,positif,none,none
82,Agoda,Hotel Santika Bandung,1/9/2025,"sangat nyaman bersih dan pelayanan nya baik banget semua staf nya ramah dan sangat membantu apapun yang dibutuhkan kami ketinggalan kemeja dan celana jeans disimpankan dengan baik di packing dan pas kembali ambil sudah tersedia di front office terima kasih yah semua anak saya sangat suka dengan ceasar salad nya, steak nya, perfecto","sangat nyaman bersih dan pelayanan nya baik banget semua staf nya ramah dan sangat membantu apapun yang dibutuhkan kami ketinggalan kemeja dan celana jeans disimpankan dengan baik di packing dan pas kembali ambil sudah tersedia di front office terima kasih yah semua anak saya sangat suka dengan ceasar salad nya, steak nya, perfecto",positif,positif,positif,none,none,none,positif
