ID_Review,Platform,Nama_Hotel,Review_Date,Text_Review,Kenyamanan,Kebersihan,Pelayanan,Harga,Lokasi,Fasilitas,Makanan,Alasan_Kenyamanan,Alasan_Kebersihan,Alasan_Pelayanan,Alasan_Harga,Alasan_Lokasi,Alasan_Fasilitas,Alasan_Makanan
1011,Agoda,Hotel Santika Megacity Bekasi,,sangat berkesan karena bisa cepat pesan kamar dan murah melalui agoda,positif,,positif,positif,,,,sangat berkesan karena bisa cepat pesan kamar dan murah melalui agoda,,sangat berkesan karena bisa cepat pesan kamar dan murah melalui agoda,sangat berkesan karena bisa cepat pesan kamar dan murah melalui agoda,,,
1036,Agoda,Hotel Santika Megacity Bekasi,,harga kompetitif di bekasi,,,,negatif,,,,,,,harga kompetitif di bekasi,,,
1108,Agoda,Hotel Santika Bogor,2026-05-04,selalu puas dengan kebersihan keramahtamahan kompas gramedia group ini,,positif,positif,,,,,,selalu puas dengan kebersihan keramahtamahan kompas gramedia group ini,selalu puas dengan kebersihan keramahtamahan kompas gramedia group ini,,,,
1140,Agoda,Hotel Santika Bogor,2025-06-06,"hotel nya bersih, lokasi top diatas mall.",,positif,,,positif,,,,"hotel nya bersih, lokasi top diatas mall.",,,"hotel nya bersih, lokasi top diatas mall.",,
1347,Agoda,Hotel Santika Bogor,2018-04-16,"tidak ada pengawasan di area kolam renang, staf tidak jujur ​​tentang ketersediaan kamar, tidak mengkomunikasikan hak istimewa, operator jarang mengangkat panggilan, lift sangat kecil. lobi dan area parkir sangat tidak nyaman.",negatif,,negatif,,,negatif,,staf tidak jujur ​​tentang ketersediaan kamar,,staf tidak jujur ​​tentang ketersediaan kamar,,,tidak ada pengawasan di area kolam renang,
1374,Agoda,Hotel Santika Bogor,2015-11-24,bersenang-senang menginap di sini,,,,,,,,,,,,,,
1656,Agoda,Hotel Santika Bogor,2025-08-25,melihat keluarga dan anak yang menyenangkan selama liburan di hotel santika bogor,,,,,,,,,,,,,,
1721,Agoda,Hotel Santika Bogor,2024-07-20,bagus dekat dengan mall,,,,,positif,,,,,,,bagus dekat dengan mall,,
1731,Agoda,Hotel Santika Bogor,2024-04-16,"service memuaskan, masakan enak, staf ramah dan baik",,,positif,,,,positif,,,"service memuaskan, masakan enak, staf ramah dan baik",,,,"service memuaskan, masakan enak, staf ramah dan baik"
1744,Agoda,Hotel Santika Bogor,2024-02-26,"terbaik untuk kenyamanan, keamanan, lokasi yang sangat strategis dri transportasi umum serta pusat perbelanjaan.",positif,,,positif,positif,,,"terbaik untuk kenyamanan, keamanan, lokasi yang sangat strategis dri transportasi umum serta pusat perbelanjaan.",,,"terbaik untuk kenyamanan, keamanan, lokasi yang sangat strategis dri transportasi umum serta pusat perbelanjaan.","terbaik untuk kenyamanan, keamanan, lokasi yang sangat strategis dri transportasi umum serta pusat perbelanjaan.",,
1804,Agoda,Hotel Santika Bogor,2022-01-08,variasi untuk makanan pagi nya sedikit,,,,,,,negatif,,,,,,,variasi untuk makanan pagi nya sedikit
1890,Agoda,Hotel Santika Bogor,2015-07-22,sangat menyenangkan dan akan kembali lagi untuk liburan thn depan,,,,,,,,,,,,,,
1936,Agoda,Hotel Santika Bogor,2013-10-27,"kami menginap sayangnya hanya satu hari. anak2 senang bermain di kolam renang, dan jalan2 di mall malam hari",,,,,,,,,,,,,,
2010,Agoda,Hotel Santika Bogor,2012-02-04,"lokasi ya berada di dalam botani juction, memudahkan untuk mencari makan dan nerbelanja, dekat dengan pusat kota, lokasi sangat menyenangkan dan kamar sangat bersih dan besar.",,positif,,,positif,,positif,,"lokasi ya berada di dalam botani juction, memudahkan untuk mencari makan dan nerbelanja, dekat dengan pusat kota, lokasi sangat menyenangkan dan kamar sangat be",,,"lokasi ya berada di dalam botani juction, memudahkan untuk mencari makan dan nerbelanja, dekat dengan pusat kota, lokasi sangat menyenangkan dan kamar sangat be",,"lokasi ya berada di dalam botani juction, memudahkan untuk mencari makan dan nerbelanja, dekat dengan pusat kota, lokasi sangat menyenangkan dan kamar sangat be"
2089,Agoda,Hotel Santika Cirebon,2025-03-03,"saya menginap di kamar superior di hotel santika cirebon untuk kedua kalinya karena hotel ini cukup nyaman untuk bermalam. kamar tidur dan kamar mandi cukup luas dan dilengkapi dengan fasilitas yang memadai. salah satu nilai tambah yang luar biasa dari hotel ini adalah pembersihan kendaraan gratis, yang merupakan sentuhan yang bagus. menu sahurnya cukup lengkap dan enak. stafnya ramah, dan proses check-in dan check-out cepat dan efisien. secara keseluruhan, menginap di hotel ini adalah pengalaman yang sangat menyenangkan.",positif,positif,positif,positif,positif,positif,positif,saya menginap di kamar superior di hotel santika cirebon untuk kedua kalinya karena hotel ini cukup nyaman untuk bermalam.,"salah satu nilai tambah yang luar biasa dari hotel ini adalah pembersihan kendaraan gratis, yang merupakan sentuhan yang bagus.","stafnya ramah, dan proses check-in dan check-out cepat dan efisien.","salah satu nilai tambah yang luar biasa dari hotel ini adalah pembersihan kendaraan gratis, yang merupakan sentuhan yang bagus.",saya menginap di kamar superior di hotel santika cirebon untuk kedua kalinya karena hotel ini cukup nyaman untuk bermalam.,kamar tidur dan kamar mandi cukup luas dan dilengkapi dengan fasilitas yang memadai.,menu sahurnya cukup lengkap dan enak.
2237,Agoda,Hotel Santika Cirebon,2020-06-07,"kamar yang nyaman bersih. namun furniturnya agak kumuh, diperlukan peningkatan / perbaikan. secara keseluruhan, kami menikmati masa menginap kami. direkomendasikan.",positif,positif,,,,,,kamar yang nyaman bersih.,kamar yang nyaman bersih.,,,,,
2361,Agoda,Hotel Santika Cirebon,2013-01-02,tidak ada yang kurang dari luar biasa. saya datang ke tempat ini bersama istri dan bayi saya yang berumur 4 bulan. saya singgah di cirebon selama perjalanan ke semarang. saya mendapatkan istirahat yang sangat baik di cirebon dan saya sangat puas dengan pilihan saya menginap di hotel santika cirebon.,,,,,,,,,,,,,,
2677,Agoda,Hotel Santika Cirebon,2013-02-12,lokasi yang strategis namun sayangnya disebelah hotel adalah gedung pemerintahan dan pada saat sarapan pagi di hari jumat terganggu dengan suara musik senam massal. namun menu makanan cukup baik dengan menu tradisional nasi yang dibungkus dengan daun jati.,,,,netral,netral,,netral,,,,lokasi yang strategis namun sayangnya disebelah hotel adalah gedung pemerintahan dan pada saat sarapan pagi di hari jumat terganggu dengan suara musik senam mas,lokasi yang strategis namun sayangnya disebelah hotel adalah gedung pemerintahan dan pada saat sarapan pagi di hari jumat terganggu dengan suara musik senam mas,,lokasi yang strategis namun sayangnya disebelah hotel adalah gedung pemerintahan dan pada saat sarapan pagi di hari jumat terganggu dengan suara musik senam mas
2678,Agoda,Hotel Santika Cirebon,2013-02-03,"cukup bagus, variasi makanan paginya lumayan walaupun tidak banyak tapi televisi yang ada di kamar kecil sekali untuk harga yang lumayan mahal",netral,,,netral,,netral,netral,"cukup bagus, variasi makanan paginya lumayan walaupun tidak banyak tapi televisi yang ada di kamar kecil sekali untuk harga yang lumayan mahal",,,"cukup bagus, variasi makanan paginya lumayan walaupun tidak banyak tapi televisi yang ada di kamar kecil sekali untuk harga yang lumayan mahal",,"cukup bagus, variasi makanan paginya lumayan walaupun tidak banyak tapi televisi yang ada di kamar kecil sekali untuk harga yang lumayan mahal","cukup bagus, variasi makanan paginya lumayan walaupun tidak banyak tapi televisi yang ada di kamar kecil sekali untuk harga yang lumayan mahal"
2685,Agoda,Hotel Santika Cirebon,2013-01-07,"kamar bagus, , kamar mandi luas, , view mengahadap ke swiming pool. bagus abis",positif,,,,,,,"kamar bagus, , kamar mandi luas, , view mengahadap ke swiming pool.",,,,,,
2803,Agoda,Hotel Santika Depok,2025-01-10,"kami tinggal di sini dua malam. taksi sulit menemukan pintu masuk hotel. lokasinya strategis di sebelah pusat perbelanjaan kecil dan ada toko serba ada di dekatnya. tata letak ruangannya aneh. air conditioner di ruang tunggu tetapi tidak di kamar tidur, jadi kami merasa tidur di cuaca panas cukup sulit. air conditioner bermasalah dan bocor. sofa di ruang santai perlu diganti karena bernoda berat dan tidak nyaman untuk diduduki. kamar mandinya tidak sebersih yang kami inginkan, tapi baik. sarapannya enak dengan makanan lokal yang sangat kami nikmati",negatif,netral,,netral,netral,,netral,"air conditioner di ruang tunggu tetapi tidak di kamar tidur, jadi kami merasa tidur di cuaca panas cukup sulit.","sofa di ruang santai perlu diganti karena bernoda berat dan tidak nyaman untuk diduduki. ... kamar mandinya tidak sebersih yang kami inginkan, tapi baik.",,lokasinya strategis di sebelah pusat perbelanjaan kecil dan ada toko serba ada di dekatnya.,lokasinya strategis di sebelah pusat perbelanjaan kecil dan ada toko serba ada di dekatnya.,,"air conditioner di ruang tunggu tetapi tidak di kamar tidur, jadi kami merasa tidur di cuaca panas cukup sulit. ... sarapannya enak dengan makanan lokal yang sa"
2862,Agoda,Hotel Santika Depok,2024-02-09,"seperti yang saya katakan sebelumnya, salah satu hotel terbaik di kota depok. jangan pernah meragukannya.",,,,,positif,,,,,,,"seperti yang saya katakan sebelumnya, salah satu hotel terbaik di kota depok.",,
3044,Agoda,Hotel Santika Depok,2015-02-13,"bagaimanapun, sarapannya luar biasa. anda bisa menikmati hidangan dari seluruh indonesia yang berubah setiap harinya. stafnya baik dan menyenangkan. ini adalah kunjungan saya yang kedua. saya berencana untuk tinggal di sana lagi lain kali. sayangnya, ini terkait dengan handuk. itu buruk. mempertimbangkan harganya, saya rasa saya tidak punya pilihan selain berkompromi.",,negatif,positif,negatif,,negatif,negatif,,"sayangnya, ini terkait dengan handuk.",stafnya baik dan menyenangkan.,"mempertimbangkan harganya, saya rasa saya tidak punya pilihan selain berkompromi.",,"sayangnya, ini terkait dengan handuk.","mempertimbangkan harganya, saya rasa saya tidak punya pilihan selain berkompromi."
3064,Agoda,Hotel Santika Depok,2024-04-21,"lokasi dan layanan staf keduanya bagus. tapi bau kamar mandinya agak menyengat jadi saya tutup pintu kamar mandinya. meski kecil, kecoa juga muncul.",negatif,negatif,positif,,positif,,,tapi bau kamar mandinya agak menyengat jadi saya tutup pintu kamar mandinya.,tapi bau kamar mandinya agak menyengat jadi saya tutup pintu kamar mandinya.,lokasi dan layanan staf keduanya bagus.,,lokasi dan layanan staf keduanya bagus.,,
3088,Agoda,Hotel Santika Depok,2025-10-07,"staf baik sangat membantu dan yang jelas fasilitasnya bagus, makanan enak",,,positif,,,positif,positif,,,"staf baik sangat membantu dan yang jelas fasilitasnya bagus, makanan enak",,,"staf baik sangat membantu dan yang jelas fasilitasnya bagus, makanan enak","staf baik sangat membantu dan yang jelas fasilitasnya bagus, makanan enak"
3185,Agoda,Hotel Santika Depok,2021-08-28,"hotel sekelas santika msh kurang dalam fasilitas kamar, pelayanan bagus, untuk breakfast enak",netral,,netral,,,netral,netral,"hotel sekelas santika msh kurang dalam fasilitas kamar, pelayanan bagus, untuk breakfast enak",,"hotel sekelas santika msh kurang dalam fasilitas kamar, pelayanan bagus, untuk breakfast enak",,,"hotel sekelas santika msh kurang dalam fasilitas kamar, pelayanan bagus, untuk breakfast enak","hotel sekelas santika msh kurang dalam fasilitas kamar, pelayanan bagus, untuk breakfast enak"
3356,Agoda,Hotel Santika Tasikmalaya,2024-12-12,"hotel yang bagus dengan kolam renang, makanan lezat",,,,,,positif,positif,,,,,,"hotel yang bagus dengan kolam renang, makanan lezat","hotel yang bagus dengan kolam renang, makanan lezat"
3435,Agoda,Hotel Santika Tasikmalaya,2018-06-15,pemeliharaan perlu banyak ditingkatkan.,,,,,,,,,,,,,,
3636,Agoda,Hotel Santika Tasikmalaya,2025-04-18,bagus kalau nginap di hotel santika via agoda,,,,,,,,,,,,,,
3647,Agoda,Hotel Santika Tasikmalaya,2024-08-25,nyaman untuk staycation keluarga,positif,,,,,,,nyaman untuk staycation keluarga,,,,,,
3754,Agoda,Hotel Santika Tasikmalaya,2017-04-13,"harga pas, lokasi bagus, kamar bersih dan luas",netral,netral,,netral,netral,,,"harga pas, lokasi bagus, kamar bersih dan luas","harga pas, lokasi bagus, kamar bersih dan luas",,"harga pas, lokasi bagus, kamar bersih dan luas","harga pas, lokasi bagus, kamar bersih dan luas",,
3882,Agoda,Hotel Santika Tasikmalaya,2012-04-17,"proses check-in cukup baik, termasuk handling travel bag. petugas hotel cukup ramah. minus: - lift (kapasitas 1500kg) sangat lambat, dan sering muncul peringatan ""overload"" walaupun cuma berisi 4 orang dewasa. - bangunan yang relatif baru, masih sering tercium aroma cat.",,,netral,,,negatif,,,,"proses check-in cukup baik, termasuk handling travel bag. ... petugas hotel cukup ramah. ... minus: - lift (kapasitas 1500kg) sangat lambat, dan sering muncul p",,,"minus: - lift (kapasitas 1500kg) sangat lambat, dan sering muncul peringatan ""overload"" walaupun cuma berisi 4 orang dewasa.",
3943,Tiket,Hotel Santika Bandung,2025-09-13,staf nya baik semua. tambhin menu nya biar lebih byk pilihan. 2 malam disini. menyenangkan. cuma sapet kamar ujung. kalau malem seremm ajahh. krna lorkng kamar nya open space. bukan sprti hotel2 saat ini. old nya dapet. nyaman. anak2 suka kolam nya. kr a tidak langsung kena sina mataharilihat lebih sedikit,,,positif,,,,,,,staf nya baik semua.,,,,
3985,Tiket,Hotel Santika Bandung,2025-02-11,"kamarnya cozy, akses ke kota nya dekat sekali, pelayanannya excellent",positif,,positif,,positif,,,"kamarnya cozy, akses ke kota nya dekat sekali, pelayanannya excellent",,"kamarnya cozy, akses ke kota nya dekat sekali, pelayanannya excellent",,"kamarnya cozy, akses ke kota nya dekat sekali, pelayanannya excellent",,
4013,Tiket,Hotel Santika Bandung,2024-11-18,"tempat dekat rs dan riau juction. pelayanan ramah dan bersahabat. kebersihan baik hotel terjangkau, pilihan terbaik.",,positif,positif,positif,positif,,,,"kebersihan baik hotel terjangkau, pilihan terbaik.",pelayanan ramah dan bersahabat.,"kebersihan baik hotel terjangkau, pilihan terbaik.",tempat dekat rs dan riau juction.,,
4063,Tiket,Hotel Santika Bandung,2024-05-23,sinyal handphone baik. hidangan gurih yang nikmat.,,,,,,,,,,,,,,
4105,Tiket,Hotel Santika Bandung,2024-02-16,"hotel bersih, pelayanan ramah.",,positif,positif,,,,,,"hotel bersih, pelayanan ramah.","hotel bersih, pelayanan ramah.",,,,
4140,Tiket,Hotel Santika Bandung,2022-08-29,hotel nya bagus deket kemanah2 hotel nya bersih makanan nya enak,,positif,,,,,positif,,hotel nya bagus deket kemanah2 hotel nya bersih makanan nya enak,,,,,hotel nya bagus deket kemanah2 hotel nya bersih makanan nya enak
4297,Tiket,Hotel Santika Bandung,2025-01-13,"hotelnya nyaman kamarnya luas, bersih, lokasinya baik ada diantara mall jadi kalau mau beli makan dll gampang, sarapannya enak, pilihannya banyak. terima kasih santika bandung",positif,positif,,,positif,,positif,"hotelnya nyaman kamarnya luas, bersih, lokasinya baik ada diantara mall jadi kalau mau beli makan dll gampang, sarapannya enak, pilihannya banyak.","hotelnya nyaman kamarnya luas, bersih, lokasinya baik ada diantara mall jadi kalau mau beli makan dll gampang, sarapannya enak, pilihannya banyak.",,,"hotelnya nyaman kamarnya luas, bersih, lokasinya baik ada diantara mall jadi kalau mau beli makan dll gampang, sarapannya enak, pilihannya banyak.",,"hotelnya nyaman kamarnya luas, bersih, lokasinya baik ada diantara mall jadi kalau mau beli makan dll gampang, sarapannya enak, pilihannya banyak."
4330,Tiket,Hotel Santika Bandung,2024-01-22,"area yang nyaman. harga fantastis, pengalaman tak terlupakan. ada pilihan restoran di dalam hotel. staf yang luar biasa.",positif,,,negatif,,,,area yang nyaman.,,,"harga fantastis, pengalaman tak terlupakan.",,,
4470,Tiket,Hotel Santika Bandung,2024-03-16,tempat tidur anak nyaman. fasilitas up-to-date. suasana tropis di tepi kolam. resepsionis yang ramah dan sigap. menyediakan layanan shuttle ke pusat kota. menyediakan layanan shuttle ke pusat kota.,positif,,positif,,positif,,,tempat tidur anak nyaman.,,resepsionis yang ramah dan sigap.,,menyediakan layanan shuttle ke pusat kota.,,
4503,Tiket,Hotel Santika Bandung,2022-06-11,"lokasinya baik, namun hotel sudah terlalu usang, makanannya tidak enak",,,,,negatif,,negatif,,,,,"lokasinya baik, namun hotel sudah terlalu usang, makanannya tidak enak",,"lokasinya baik, namun hotel sudah terlalu usang, makanannya tidak enak"
4561,Tiket,Hotel Santika Megacity Bekasi,2026-01-13,"kamarnya bagus sangat bersih, segar, dan nyaman. taman yang terawat baik. ekonomis namun eksklusif.",positif,positif,,,,,,"kamarnya bagus sangat bersih, segar, dan nyaman.","kamarnya bagus sangat bersih, segar, dan nyaman.",,,,,
4631,Tiket,Hotel Santika Megacity Bekasi,2025-07-08,staf ramah anak. fasilitas mewah. staf yang ramah anak dan tulus.,,,positif,,,positif,,,,staf yang ramah anak dan tulus.,,,fasilitas mewah.,
4666,Tiket,Hotel Santika Megacity Bekasi,2025-04-09,parkir dengan pencahayaan yang bagus. kebersihan tidak tertandingi.,,netral,,,,positif,,,kebersihan tidak tertandingi.,,,,parkir dengan pencahayaan yang bagus.,
4788,Tiket,Hotel Santika Megacity Bekasi,2024-08-28,"tipe kamar family nya asik. ada ruang tamu. kamar mandi luar. sayangnya agak sempit. tapi fasilitas baik. kamar bersih, sprei kasur juga bersih. breakfastnya standart.",netral,netral,,,,positif,,"sayangnya agak sempit. ... kamar bersih, sprei kasur juga bersih.","kamar bersih, sprei kasur juga bersih.",,,,tapi fasilitas baik.,
4827,Tiket,Hotel Santika Megacity Bekasi,2024-07-14,ini mah sudah jelas bagus n ya,,,,,,,,,,,,,,
4849,Tiket,Hotel Santika Megacity Bekasi,2024-06-09,strategis dan di atas mall,,,,positif,positif,,,,,,strategis dan di atas mall,strategis dan di atas mall,,
4871,Tiket,Hotel Santika Megacity Bekasi,2024-05-06,lounge nyaman banget. pelayan yang responsif dan ahli di bidangnya.,positif,,,,,,,lounge nyaman banget.,,,,,,
5203,Tiket,Hotel Santika Megacity Bekasi,2019-10-28,"waktu cek in tidak bisa lebih maju 1 jam alasan kamar full itu aja yang disayangkan, so far bagus semua",netral,,,,,,,"waktu cek in tidak bisa lebih maju 1 jam alasan kamar full itu aja yang disayangkan, so far bagus semua",,,,,,
5295,Tiket,Hotel Santika Megacity Bekasi,2024-03-07,"penginapan budget. dulu hampir setipa bulan pasti sempetin staycation disini. tapi sedih karna menu pizzanya gaada, padahal itu beneran best seller banget menurut ku. kembalikan menu pizzanya yaa ehehe",,,,,,,,,,,,,,
5377,Tiket,Hotel Santika Megacity Bekasi,2021-04-20,"baik, nyaman, fasilitasnya lengkap",positif,,,,,positif,,"baik, nyaman, fasilitasnya lengkap",,,,,"baik, nyaman, fasilitasnya lengkap",
5439,Tiket,Hotel Santika Megacity Bekasi,2021-01-03,"sedikit masukan ajh untuk toilet kamar nya bau gituh, tapi untuk keseluruhan sudah baik banget. bersih dan layanannya juga bagus.",netral,netral,netral,,,,,"sedikit masukan ajh untuk toilet kamar nya bau gituh, tapi untuk keseluruhan sudah baik banget.","sedikit masukan ajh untuk toilet kamar nya bau gituh, tapi untuk keseluruhan sudah baik banget.",bersih dan layanannya juga bagus.,,,,
5461,Tiket,Hotel Santika Megacity Bekasi,2025-01-02,lumayan cuma dapat kamar yang tidak bisa lihat view luar. ketutup tembok,netral,,,,,,,lumayan cuma dapat kamar yang tidak bisa lihat view luar.,,,,,,
5466,Tiket,Hotel Santika Megacity Bekasi,2024-10-03,kebersihan di seluruh area hotel.,,positif,,,,,,,kebersihan di seluruh area hotel.,,,,,
5665,Tiket,Hotel Santika Bogor,2024-04-30,"jadi satu dengan mall dan masjid dekat, bagus",,,,,positif,,,,,,,"jadi satu dengan mall dan masjid dekat, bagus",,
5734,Tiket,Hotel Santika Bogor,2022-04-03,"suka bermalam di hotel santika bogor, tidak berisik. suasana hotel yang sangat menyenangkan dan pelayanan yang memuaskan dan petugas ramah"". jadi suka tidur di hotel ini. semua fasilitas baik banget deh. makanannyapun enak""lihat lebih sedikit",positif,,positif,,positif,positif,netral,"suasana hotel yang sangat menyenangkan dan pelayanan yang memuaskan dan petugas ramah"".",,"suasana hotel yang sangat menyenangkan dan pelayanan yang memuaskan dan petugas ramah"".",,"suka bermalam di hotel santika bogor, tidak berisik.",semua fasilitas baik banget deh.,"makanannyapun enak""lihat lebih sedikit"
5837,Tiket,Hotel Santika Cirebon,2025-11-19,menyajikan hidangan khas daerah. keamanan parkir terbaik. hemat biaya.,,,,,,positif,,,,,,,keamanan parkir terbaik.,
6078,Tiket,Hotel Santika Cirebon,2018-12-26,hotel yang pas buat keluarga kolam renang nya enak banget buat anak2. lokasinya pas tengah kota deket mall. recomended deh,,,,,,netral,netral,,,,,,hotel yang pas buat keluarga kolam renang nya enak banget buat anak2.,hotel yang pas buat keluarga kolam renang nya enak banget buat anak2.
6671,Traveloka,Hotel Santika Bandung,2019-03-02,"jika anda mau pesan kamar pastikan contoh gambar kamarnya. kalau anda hanya lihat di profil bisa kecewa, kecewa dan kecewa. tidak sesuai yang kita mau. setelah check-in baru tahu deh. dalamnya ternyata",,,,,,,,,,,,,,
6881,Traveloka,Hotel Santika Bandung,2017-11-18,"officernya ramah, makanannya selalu enak",,,positif,,,,positif,,,"officernya ramah, makanannya selalu enak",,,,"officernya ramah, makanannya selalu enak"
7140,Traveloka,Hotel Santika Bandung,2017-01-21,"lokasi strategis, menu breakfast cukup variasi, kamar nyaman and petugas ramah. sepadan dengan harganya. sayangnya wi-fi tidak berfungsi baik.",positif,,positif,positif,positif,negatif,positif,"lokasi strategis, menu breakfast cukup variasi, kamar nyaman and petugas ramah.",,"lokasi strategis, menu breakfast cukup variasi, kamar nyaman and petugas ramah.","lokasi strategis, menu breakfast cukup variasi, kamar nyaman and petugas ramah.","lokasi strategis, menu breakfast cukup variasi, kamar nyaman and petugas ramah.",sayangnya wi-fi tidak berfungsi baik.,"lokasi strategis, menu breakfast cukup variasi, kamar nyaman and petugas ramah."
7177,Traveloka,Hotel Santika Bandung,2016-12-24,"hotel bagus, pelayanan memuaskan, sarapan enak. anak2 puas berenang, dan mobil dicuci. sangat berkesan",,,positif,,,,positif,,,"hotel bagus, pelayanan memuaskan, sarapan enak.",,,,"hotel bagus, pelayanan memuaskan, sarapan enak."
7198,Traveloka,Hotel Santika Bandung,2016-10-22,lokasi strategis di tengah kota bandung,,,,positif,positif,,,,,,lokasi strategis di tengah kota bandung,lokasi strategis di tengah kota bandung,,
7321,Traveloka,Hotel Santika Bandung,2016-05-14,"kecuali makanannya, semua baik dan bagus",,,,,,,positif,,,,,,,"kecuali makanannya, semua baik dan bagus"
