ID_Review,aspect,from,to,reason
5203,Kenyamanan,none,netral,"waktu cek in tidak bisa lebih maju 1 jam alasan kamar full itu aja yang disayangkan, so far bagus semua"
5377,Fasilitas,none,positif,"baik, nyaman, fasilitasnya lengkap"
5461,Kenyamanan,none,negatif,lumayan cuma dapat kamar yang tidak bisa lihat view luar.
5466,Kebersihan,none,positif,kebersihan di seluruh area hotel.
5665,Lokasi,none,positif,"jadi satu dengan mall dan masjid dekat, bagus"
5734,Kenyamanan,none,negatif,"suka bermalam di hotel santika bogor, tidak berisik."
5734,Pelayanan,none,positif,"suasana hotel yang sangat menyenangkan dan pelayanan yang memuaskan dan petugas ramah""."
5734,Fasilitas,none,positif,semua fasilitas baik banget deh.
5734,Makanan,none,positif,"makanannyapun enak""lihat lebih sedikit"
6881,Pelayanan,none,positif,"officernya ramah, makanannya selalu enak"
6881,Makanan,none,positif,"officernya ramah, makanannya selalu enak"
7140,Kenyamanan,none,positif,"lokasi strategis, menu breakfast cukup variasi, kamar nyaman and petugas ramah."
7140,Lokasi,none,positif,"lokasi strategis, menu breakfast cukup variasi, kamar nyaman and petugas ramah."
7415,Lokasi,none,positif,"keunggulan hotel ini adalah lokasinya yang strategis, dengan supermarket dan restoran tepat di depannya."
7761,Pelayanan,none,positif,semua orang ramah.
7792,Kebersihan,none,negatif,"di ruangan kamar, berasa banyak debu, ngeres, badan saya gatel-gatel setiap bangun tidur, tapi so far baik yang lain."
7874,Pelayanan,none,positif,semuanya ramah dan sangat membantu.
7874,Lokasi,none,positif,"lokasi strategis, ke mall bisa punya akses langsung lewat lantai basement."
7874,Makanan,none,positif,"makanan lumayan variatif, tersedia kolam renang buat anak."
7970,Pelayanan,none,positif,"alhamdulillah staffnya ramah, kalau ada kesempatan staycation lagi saya akan kesini lagi."
7970,Makanan,none,positif,makanan enak sangat bervariasi.
8006,Kenyamanan,none,negatif,mungkin sedikit masukan untuk tayangan televisinya di review kembali karena pas di kamar saya kok tampilannya tidak jernih dan sepertinya tidak ada televisi kab
8255,Kebersihan,none,positif,"hotelnya bersih, dekat dengan mal, jadi mau makan dan belanja gampang, pelayanannya ramah dan membantu, breakfast enak dan bervariasi, ada jamu juga, best pokok"
8255,Lokasi,none,positif,"hotelnya bersih, dekat dengan mal, jadi mau makan dan belanja gampang, pelayanannya ramah dan membantu, breakfast enak dan bervariasi, ada jamu juga, best pokok"
8255,Makanan,none,positif,"hotelnya bersih, dekat dengan mal, jadi mau makan dan belanja gampang, pelayanannya ramah dan membantu, breakfast enak dan bervariasi, ada jamu juga, best pokok"
8331,Pelayanan,none,positif,"ramah, dekat kemana saja, sarapannya pun enak-enak."
8331,Makanan,none,positif,"ramah, dekat kemana saja, sarapannya pun enak-enak."
9016,Lokasi,none,positif,"tempat bersih dan nyaman, view bagus dan berada di pusat kota"
9361,Pelayanan,none,positif,"bersih, hangat, nyaman dan semua staf sangat membantu."
9361,Fasilitas,none,positif,"kamar besar dan nyaman, makanan enak, parkir luas, ada kolam renang dan anak-anak saya senang bermain di kolam renang."
9361,Makanan,none,positif,"kamar besar dan nyaman, makanan enak, parkir luas, ada kolam renang dan anak-anak saya senang bermain di kolam renang."
9407,Pelayanan,none,positif,breakfast nya dilayani tapi pelayannya kurang sigap.
9431,Kenyamanan,none,positif,"ini pertama kalinya nginep di sini, proses check in cepat, kamar bagus bersih, air conditioner dingin, televisi banyak channel dan lengkap isinya."
9431,Kebersihan,none,positif,"ini pertama kalinya nginep di sini, proses check in cepat, kamar bagus bersih, air conditioner dingin, televisi banyak channel dan lengkap isinya."
9705,Kebersihan,none,positif,"kamar bersih, nyaman, pelayanan ramah, hanya 1 yang kurang tidak ada televisi cable kartun untuk anak-anak"
9705,Pelayanan,none,positif,"kamar bersih, nyaman, pelayanan ramah, hanya 1 yang kurang tidak ada televisi cable kartun untuk anak-anak"
9712,Kenyamanan,none,positif,"semua pegawainya ramah dan membantu, kamarnya bersih, cukup tenang, enak banget buat istirahat, kolam renangnya juga bersih, aman buat anak-anak, kaporitnya jug"
9712,Harga,none,positif,"makanannya enak, apalagi paket barbeque malamnya bagus banget, harganya juga terjangkau."
9712,Makanan,none,positif,"semua pegawainya ramah dan membantu, kamarnya bersih, cukup tenang, enak banget buat istirahat, kolam renangnya juga bersih, aman buat anak-anak, kaporitnya jug"
9856,Kenyamanan,none,negatif,"pelayanan khas santika, namun kondisi hotel yang sudah tua sehingga banyak hal yang kurang optimal."
9968,Kenyamanan,none,positif,"saya pesan 2 kamar yang executive dan suite, yang kamar executive sempat masuk air dari jendela karena hujan tapi cepat diatasi setelah kami telepon room servic"
9968,Pelayanan,none,positif,"saya pesan 2 kamar yang executive dan suite, yang kamar executive sempat masuk air dari jendela karena hujan tapi cepat diatasi setelah kami telepon room servic"
10309,Kenyamanan,none,netral,"secara keseluruhan baik, hanya tidak ada wi-fi (tergantung ketersediaan kamar), televisi masih lcd jadul bukan internet televisi (tergantung ketersediaan kamar)"
10309,Fasilitas,none,negatif,"secara keseluruhan baik, hanya tidak ada wi-fi (tergantung ketersediaan kamar), televisi masih lcd jadul bukan internet televisi (tergantung ketersediaan kamar)"
10837,Kenyamanan,none,positif,"senang sekali menginap di hotel santika depok, pelayanan sangat ramah, kamar sangat nyaman, rapi dan bersih, dan breakfast menunya sangat enak dan memuaskan."
10837,Kebersihan,none,positif,"senang sekali menginap di hotel santika depok, pelayanan sangat ramah, kamar sangat nyaman, rapi dan bersih, dan breakfast menunya sangat enak dan memuaskan."
10837,Pelayanan,none,positif,"senang sekali menginap di hotel santika depok, pelayanan sangat ramah, kamar sangat nyaman, rapi dan bersih, dan breakfast menunya sangat enak dan memuaskan."
11093,Makanan,none,positif,layanan hebat dan sarapan enak.
11096,Kebersihan,none,positif,"kamarnya bersih, nyaman, dan makanannya enak."
11096,Makanan,none,positif,"kamarnya bersih, nyaman, dan makanannya enak."
11125,Kenyamanan,none,netral,kenyamanan saat istirahat/tidur kurang karena terdengar suara yang berisik seperti suara mesin/pompa air) mungkin karena dapat kamar dekat area pompa/mesin.
11125,Lokasi,none,positif,kenyamanan saat istirahat/tidur kurang karena terdengar suara yang berisik seperti suara mesin/pompa air) mungkin karena dapat kamar dekat area pompa/mesin.
11201,Kenyamanan,none,netral,kamarnya kecil type deluxe breakfast baik menunya kamar mandi agak bau selebihnya baik.
11482,Kenyamanan,none,positif,"besar dan bersih, membuat saya merasa seperti di kamar saya sendiri"
11482,Kebersihan,none,positif,"besar dan bersih, membuat saya merasa seperti di kamar saya sendiri"
11710,Kenyamanan,none,netral,"kebersihan baik, kamarnya small, perlengkapan body masih kurang, cukur, bodylotion tidak ada, akses internet tidak normal, dengan tarif kamar yang ada harusnya "
11710,Kebersihan,none,positif,"kebersihan baik, kamarnya small, perlengkapan body masih kurang, cukur, bodylotion tidak ada, akses internet tidak normal, dengan tarif kamar yang ada harusnya "
11710,Fasilitas,none,negatif,"kebersihan baik, kamarnya small, perlengkapan body masih kurang, cukur, bodylotion tidak ada, akses internet tidak normal, dengan tarif kamar yang ada harusnya "
12009,Kebersihan,none,negatif,banyak semut berjalan di teko listriknya.
12010,Kebersihan,none,negatif,sedikit terganggu dengan adanya semut kecil keluar dari besek makan.
12148,Kenyamanan,none,negatif,"kamarnya kecil, check-in baru bisa jam 2 siang jadi harus nunggu lama."
12148,Makanan,none,positif,"breakfastnya enak, beragam, dan jam 6 pagi sudah ready."
12361,Kenyamanan,none,netral,"lokasi bagus, tapi pintu kamar mandi di room saya rusak."
12401,Kenyamanan,none,netral,"perlengkapan di kamar mandi, sudah tidak layak."
12405,Kenyamanan,none,negatif,sepi tidak berisik dengan suasana jalanan + langsung terkoneksi dengan pusat perbelanjaan.
12405,Fasilitas,none,positif,kolam renang baik buat anak-anak.
12405,Makanan,none,positif,varian sarapan juga banyak enak.
12484,Kenyamanan,none,netral,"kamar bersih, receptionist ramah, tapi kalau mau gofood agak susah karena hotelnya di atas mall, menu breakfast kurang banyak."
12484,Pelayanan,none,positif,"kamar bersih, receptionist ramah, tapi kalau mau gofood agak susah karena hotelnya di atas mall, menu breakfast kurang banyak."
12665,Makanan,none,positif,"jika tidak, makanannya enak, ada begitu banyak pilihan menu dari sarapan."
12672,Makanan,none,negatif,"petugas resepsionis tidak memberikan informasi detail kepada pelanggan, dia tidak tersenyum dan makanannya tidak enak"
13294,Makanan,none,positif,"padahal hanya ada 1 pengunjung yang di layani saat itu, dan tidak ramah dan senyum sama sekali, namanya laurnya enak"
13406,Makanan,none,positif,"mulai dari pelayanan, tempat, dan makanan semua enak nyaman."
13894,Makanan,none,positif,makanan sih enak ko
13918,Lokasi,none,positif,"enak dan nyaman, lokasinya strategis"
14137,Pelayanan,none,positif,"stafnya ramah, makanannya enak, dan mereka menyajikan menu tradisional yang tidak akan anda temukan di tempat lain."
14137,Fasilitas,none,positif,"kolam renang yang bagus, meskipun saya tidak pernah memiliki kesempatan untuk mencoba gym."
14137,Makanan,none,positif,"stafnya ramah, makanannya enak, dan mereka menyajikan menu tradisional yang tidak akan anda temukan di tempat lain."
14573,Lokasi,none,positif,"lokasi hotel strategis, dekat dengan kuliner dan tempat bordir khas tasik"
14806,Kebersihan,none,positif,"pelayanan ramah, hotel yang bersih, sarapan yang variatif dan tempat yang strategis di tengah kota."
14806,Pelayanan,none,positif,"pelayanan ramah, hotel yang bersih, sarapan yang variatif dan tempat yang strategis di tengah kota."
14806,Lokasi,none,positif,"pelayanan ramah, hotel yang bersih, sarapan yang variatif dan tempat yang strategis di tengah kota."
14845,Kebersihan,none,positif,sangat bersih.
14913,Pelayanan,none,positif,dan cinta keramahan.
15026,Kenyamanan,none,positif,"lokasi strategis, sarapan enak, kamar luas."
15026,Lokasi,none,positif,"lokasi strategis, sarapan enak, kamar luas."
15026,Makanan,none,positif,"lokasi strategis, sarapan enak, kamar luas."
